Compound Id	Self-accelerating decomposition temperature
1	80.8
2	80.9
3	70.4
4	65.8
5	19.2
6	19.9
7	77.8
8	80
9	49
10	77.1
11	12.7
12	7.8
13	64
14	120.4
15	65
16	55
17	65
18	23.1
19	69
20	21.6
21	36
22	50.2
23	60
24	80.7
25	17.4
26	15.4
27	15.1
28	26.9
29	38.6
30	64.4
31	62.2
32	64.7
33	85.7
34	80
35	84.3
36	10.8
37	67
38	38.3
39	9.3
40	31
41	84.8
