Compound Id	average structural information content (order 2)
40	0.8772
41	0.9045
42	0.9095
43	0.865
44	0.8681
45	0.8725
46	0.913
47	0.8793
48	0.914
49	0.8871
50	0.8968
51	0.8554
52	0.9073
53	0.9136
54	0.8853
55	0.8968
56	0.916
57	0.8594
58	0.8594
59	0.9145
60	0.879
61	0.8974
62	0.9271
63	0.9401
64	0.8917
65	0.9109
66	0.8691
67	0.8691
68	0.9105
69	0.9105
70	0.8592
71	0.9025
