Compound Id	relative number of nitrogen atoms
1	0.0476
2	0.0513
3	0.027
4	0.0227
5	0.0233
6	0.0556
7	0.025
8	0.025
9	0.0233
10	0.025
11	0.1163
12	0.1429
13	0.1163
14	0.1163
15	0.1163
16	0.1163
17	0.1429
18	0.1163
19	0.1163
20	0.1163
21	0.102
22	0.1714
23	0.1579
24	0.1579
25	0.1389
26	0.0333
27	0.1429
28	0.0476
29	0.0909
30	0.125
31	0.0769
32	0.0769
33	0.087
34	0.0833
35	0.0941
36	0.1176
37	0.0833
38	0.125
39	0.1463
