Compound Id	calculated logarithm of octanol-water partition coefficient
40	-3.1
41	-3.04
42	-2.66
43	-4.1
44	-5
45	-3.6
46	-3.4
47	-3.2
48	-2.14
49	-2.72
50	-3.09
51	-4.2
52	-2.6
53	-5.2
54	-5.2
55	-5.5
56	-3.4
57	-4.2
58	-3.5
59	-2.21
60	-4.1
61	-2.69
62	-4.2
63	-4.2
64	-3.42
65	-1.3
66	-4.2
67	-4.2
68	-3.39
69	-3.08
70	-4.7
71	-2.4
