Compound Id	Experimentally determined mutagenic class
1	M
2	M
3	M
4	M
5	M
6	M
7	M
8	M
9	nM
10	M
11	nM
12	M
13	M
14	nM
15	M
16	M
17	M
18	M
19	M
20	M
21	M
22	M
23	M
24	M
25	M
26	M
27	M
28	M
29	M
30	M
31	nM
32	M
33	M
34	M
35	M
36	nM
37	M
38	M
39	M
40	M
41	M
42	M
43	M
44	M
45	nM
46	M
47	M
48	M
49	M
50	M
51	M
52	M
53	M
54	M
55	M
56	nM
57	M
58	M
59	M
60	M
61	nM
62	M
63	M
64	M
65	M
66	M
67	M
68	M
69	M
70	M
71	M
72	M
73	nM
74	nM
75	nM
76	nM
77	nM
78	nM
79	nM
80	nM
81	nM
82	nM
83	nM
84	nM
85	nM
86	nM
87	nM
88	nM
89	nM
90	nM
91	nM
92	nM
93	nM
94	nM
95	nM
96	nM
97	nM
98	nM
99	nM
100	nM
101	nM
102	nM
103	nM
104	nM
105	nM
106	nM
107	nM
108	nM
109	nM
110	nM
111	nM
