Compound Id	S
502855	-0.881
6191	-0.41
26325183	-0.372
5709	-0.285
6153	-0.26
16425	-0.2
8521	-0.191
23150	-0.187
76894	-0.182
2041618	-0.173
8520	-0.169
66656	-0.163
26824	-0.156
18019	-0.155
11434292	-0.149
26325084	-0.12
6190	-0.12
11919	-0.12
10696	-0.093
26325083	-0.088
10451	-0.083
23101	-0.071
122090	-0.07
26325082	-0.059
26325081	-0.051
512621	-0.049
10449	-0.045
26325080	-0.037
66655	-0.031
10652594	-0.021
14021447	-0.017
67991	-0.012
109705	-0.01
17619	-0.01
9256	0
692	0
291	0
6084	0
6094	0
7555	0
6120	0
7712	0
6308	0
9646	0
10781	0
15802	0
17976	0
7767	0
7604	0
7010	0
6163	0
6340	0
8560	0
11094	0
11023	0
11055	0
10786	0
7619	0
10755	0
11551	0
349	0
11035	0
11104	0
10795	0
10445	0
7849	0
17558	0
13439	0
13402	0
14840	0
13448	0
13619	0
7890	0
11882	0
11883	0
10540	0
7929	0
11897	0
11899	0
12017	0
12072	0
11900	0
11901	0
11146	0
11902	0
10542	0
11906	0
8878	0
11585	0
11557190	0.013
10452	0.014
10784857	0.016
108106	0.016
127983	0.02
78828	0.028
68328	0.046
67414	0.048
13837650	0.05
13853215	0.05
9392	0.05
10765	0.06
7674	0.06
14998	0.069
10614293	0.07
61149	0.08
6156	0.08
12201	0.08
11109	0.08
24142	0.08
13622	0.08
16180	0.08
7891	0.08
12446	0.08
29025	0.08
12635	0.08
11121	0.08
7713	0.08
12809	0.08
7833	0.08
7556	0.08
7954	0.08
555074	0.08
7957	0.08
4516601	0.08
56442	0.08
4483639	0.08
4516599	0.08
4512361	0.08
4483638	0.08
4449912	0.08
4512642	0.08
18410	0.08
22408	0.08
66675	0.083
10113	0.09
9484	0.1
23208	0.1
6085	0.1
7024	0.1
15438	0.1
8896	0.1
14751	0.1
221117	0.1
7787	0.1
8908	0.1
8909	0.1
8910	0.1
71433	0.103
22814	0.11
9095782	0.12
6151	0.12
14299946	0.128
6188	0.13
11099	0.14
73583	0.15
7340	0.15
8158	0.15
11110	0.15
9642	0.15
12577	0.16
11996	0.16
10756390	0.167
62827	0.17
7626	0.17
10265264	0.17
13835550	0.17
56117	0.176
11230	0.18
63631	0.18
11086	0.18
21106179	0.183
11841	0.19
6402	0.19
1406720	0.2
2056044	0.2
1114	0.2
14692	0.2
10179173	0.2
21800	0.2
8544	0.2
7788	0.2
4927801	0.21
9088156	0.21
29040	0.21
10325078	0.21
55188	0.21
7624	0.21
68224	0.215
24263	0.22
6364	0.22
11749	0.22
14672	0.22
11228	0.22
11864	0.22
12209	0.22
11857	0.22
391428	0.22
10733068	0.224
454638	0.23
12456	0.23
17880	0.23
11845	0.23
11806	0.23
9990	0.23
6309	0.23
7557	0.23
558883	0.23
56020	0.23
10124	0.23
6111	0.23
10265270	0.23
14198	0.233
7794	0.24
7180	0.24
9286	0.24
9411	0.24
14441700	0.24
6148	0.24
6149	0.24
15765	0.24
553642	0.24
15413	0.249
7182	0.25
10669	0.25
66567	0.25
6132	0.25
8569	0.25
12220	0.25
7823	0.25
11849	0.25
10441	0.25
3168	0.25
11833	0.25
455420	0.25
10709	0.25
7558	0.25
6095	0.25
10179239	0.25
12197	0.26
11761	0.26
6108	0.26
69914	0.267
59573	0.269
70850	0.27
38403	0.27
11671339	0.27
7956	0.27
55090	0.27
11180	0.27
274	0.28
6145	0.29
10053	0.29
28993	0.29
59483	0.296
11811	0.3
7777	0.3
15482	0.3
454215	0.3
7856	0.3
8562	0.3
10054	0.3
7730	0.3
11739	0.3
11056	0.3
6146	0.3
9461	0.3
654	0.3
11194	0.3
6165	0.3
11216	0.3
62230	0.3
16791	0.3
18717	0.3
11210	0.3
518	0.3
11117	0.3
205483	0.308
10979	0.31
61346	0.31
6186	0.31
391	0.31
69371	0.311
69569	0.313
6310	0.32
7606	0.32
7181	0.32
99596	0.32
23255	0.32
6123	0.32
4514529	0.32
11351244	0.32
499714	0.327
78467	0.327
16841	0.33
2062437	0.33
61266	0.33
15954	0.33
11819	0.33
7622	0.33
99440	0.33
11239	0.33
11543	0.33
10790	0.33
6187	0.33
2656	0.33
6827	0.33
20939	0.336
9016	0.34
7817	0.34
11788	0.34
13835316	0.34
6270	0.343
454209	0.35
9633	0.35
9377	0.35
9243	0.35
11148	0.35
923	0.35
6121	0.35
8576	0.35
7851	0.35
15387	0.35
6315	0.35
7811	0.35
7835	0.35
7769	0.35
7716	0.35
7564	0.35
6101	0.35
6089	0.35
6118	0.35
8577	0.35
14349	0.35
7852	0.35
14680	0.35
7776	0.35
7330	0.35
6122	0.35
63863	0.357
2282428	0.36
15486	0.36
7732	0.36
18920	0.36
11861	0.36
123993	0.36
11036	0.36
