Compound Id	Maximum acceptor superdelocalizability
1	0.2911
2	0.2851
3	0.2855
4	0.3311
5	0.2930
6	0.2674
7	0.2755
8	0.3311
9	0.2703
10	0.3047
11	0.3320
12	0.2938
13	0.2884
14	0.2975
15	0.2882
16	0.2927
17	0.2657
18	0.2682
19	0.2961
20	0.3119
21	0.3216
22	0.3013
23	0.2643
24	0.3072
25	0.2904
26	0.2768
27	0.2883
28	0.3172
29	0.3223
30	0.3146
31	0.2991
32	0.2894
33	0.2880
34	0.2779
35	0.2977
36	0.2986
37	0.3128
38	0.2844
39	0.2979
40	0.3147
41	0.3162
42	0.3011
43	0.3289
44	0.2965
45	0.3233
46	0.3281
47	0.3197
48	0.3132
49	0.3276
50	0.2745
51	0.3215
52	0.3155
53	0.3321
54	0.3176
55	0.3544
56	0.3109
57	0.2966
58	0.3108
59	0.3204
60	0.3140
61	0.3017
62	0.2896
63	0.3082
64	0.3823
65	0.3038
66	0.3400
67	0.3159
68	0.3277
69	0.3290
70	0.3320
71	0.3567
72	0.2966
73	0.3360
74	0.3087
75	0.3381
76	0.2988
77	0.3414
78	0.3094
79	0.3768
80	0.2978
81	0.2951
82	0.3098
83	0.3907
84	0.2845
85	0.2930
86	0.3508
87	0.3587
88	0.3814
89	0.2959
90	0.3304
91	0.3089
92	0.2943
93	0.3704
94	0.3390
95	0.3152
96	0.3054
97	0.3421
98	0.3120
99	0.3049
100	0.3096
101	0.3370
102	0.3036
103	0.3157
104	0.2716
105	0.3058
106	0.3065
107	0.3121
108	0.3310
109	0.3203
110	0.2979
111	0.3393
112	0.3643
113	0.3427
114	0.3135
115	0.3023
116	0.3198
117	0.3630
118	0.3390
119	0.2925
120	0.3497
121	0.3255
122	0.3624
123	0.3520
124	0.3259
125	0.3367
126	0.3374
127	0.3768
128	0.2985
129	0.3518
130	0.3053
131	0.3026
132	0.3524
133	0.3686
134	0.3355
135	0.3378
136	0.3617
137	0.3748
138	0.3056
139	0.3288
140	0.3506
141	0.3332
142	0.3347
143	0.3356
144	0.3281
145	0.3109
146	0.3927
147	0.3782
148	0.3237
149	0.3762
150	0.3792
151	0.2685
152	0.3688
153	0.3326
154	0.3271
155	0.3672
156	0.3066
157	0.3673
158	0.3491
159	0.3235
160	0.3579
161	0.3584
162	0.3021
163	0.3612
164	0.3080
165	0.3743
166	0.3658
167	0.3635
168	0.3633
169	0.2928
170	0.3254
171	0.3039
172	0.3375
173	0.3205
174	0.3458
175	0.3402
176	0.3249
177	0.3732
178	0.4008
179	0.3767
180	0.3760
181	0.3427
182	0.3774
183	0.3712
184	0.3473
185	0.3898
186	0.2961
187	0.3687
188	0.3016
189	0.3894
190	0.4094
191	0.4121
192	0.4243
193	0.4121
194	0.4060
195	0.4321
196	0.3989
197	0.4132
198	0.4044
199	0.4092
200	0.4343
201	0.4565
202	0.4659
203	0.4276
