Compound Id	Energy of the lowest unoccupied molecular orbital
1	-0.3480
2	-0.6933
3	-0.7243
4	-1.0888
5	-0.5909
6	-0.3891
7	-0.3880
8	-1.4318
9	-0.4832
10	-1.1988
11	-1.2620
12	-1.1690
13	-1.1265
14	-1.0199
15	-0.8204
16	-0.6766
17	-0.3440
18	-0.3485
19	-0.9963
20	-1.3444
21	-1.2900
22	-1.0658
23	-0.3596
24	-0.6767
25	-1.1139
26	-0.5146
27	-0.9920
28	-1.0435
29	-1.2687
30	-0.7351
31	-0.9488
32	-0.5092
33	-1.1918
34	-0.4205
35	-1.0091
36	-1.0161
37	-1.3329
38	-0.3110
39	-1.0602
40	-0.5293
41	-1.4028
42	-1.0670
43	-1.4907
44	-1.0442
45	-1.5445
46	-1.6762
47	-1.3358
48	-0.9844
49	-1.3016
50	-0.1956
51	-1.3528
52	-1.2738
53	-1.7554
54	-0.6704
55	-1.2233
56	-0.7944
57	-0.8652
58	-1.3589
59	-1.4610
60	-1.3015
61	-0.7608
62	-1.0947
63	-0.9222
64	-1.8649
65	-0.9825
66	-1.4127
67	-1.4846
68	-1.2724
69	-1.6489
70	-1.3929
71	-1.6062
72	-1.0333
73	-1.3440
74	-0.7918
75	-1.9463
76	-0.7402
77	-1.5732
78	-1.4898
79	-1.9330
80	-0.9761
81	-0.6702
82	-1.1591
83	-1.8946
84	-0.4114
85	-0.8535
86	-1.8463
87	-1.4775
88	-1.9525
89	-0.9452
90	-2.1368
91	-0.9673
92	-0.9961
93	-1.6782
94	-1.3151
95	-0.9384
96	-1.1381
97	-1.4418
98	-1.0142
99	-1.0693
100	-1.4185
101	-1.0753
102	-0.7936
103	-1.2187
104	-0.8874
105	-1.6252
106	-1.1033
107	-0.9073
108	-1.3268
109	-1.1947
110	-0.8449
111	-1.5495
112	-1.6847
113	-1.5542
114	-1.2255
115	-0.9486
116	-1.2869
117	-1.7085
118	-0.9741
119	-0.8550
120	-1.8404
121	-0.9550
122	-1.4344
123	-1.9123
124	-1.2029
125	-1.2860
126	-1.2155
127	-2.1927
128	-0.9491
129	-1.3553
130	-1.3080
131	-1.1799
132	-1.2288
133	-1.7451
134	-1.5793
135	-1.5537
136	-1.7893
137	-1.8076
138	-1.0623
139	-1.2959
140	-1.2939
141	-1.4892
142	-1.5249
143	-1.3487
144	-0.9850
145	-1.3267
146	-2.2561
147	-1.6687
148	-1.3084
149	-1.8968
150	-1.6689
151	-0.7041
152	-1.8412
153	-1.2250
154	-1.3407
155	-2.2103
156	-0.6880
157	-1.4300
158	-1.4514
159	-1.2624
160	-1.2720
161	-2.0161
162	-0.9425
163	-1.3404
164	-1.0664
165	-1.4192
166	-1.4777
167	-1.7890
168	-1.5435
169	-1.0683
170	-1.2623
171	-1.0050
172	-1.2443
173	-1.1938
174	-1.5807
175	-1.2367
176	-1.2296
177	-1.7068
178	-2.1520
179	-1.7138
180	-1.8231
181	-1.4327
182	-1.6539
183	-1.8331
184	-1.4204
185	-2.0745
186	-0.7039
187	-1.8493
188	-0.9149
189	-1.9522
190	-2.0613
191	-1.7643
192	-2.3828
193	-1.7643
194	-2.0731
195	-2.0382
196	-2.2399
197	-2.0970
198	-2.0925
199	-2.3360
200	-2.1277
201	-2.4456
202	-2.3008
203	-2.2138
