Compound Id	Hydrophobicity
1	0.47
2	0.40
3	0.23
4	-0.15
5	1.77
6	1.56
7	1.40
8	1.34
9	1.07
10	0.84
11	-0.55
12	0.47
13	1.22
14	0.99
15	-0.08
16	1.72
17	2.07
18	2.21
19	1.21
20	0.77
21	1.34
22	1.24
23	2.07
24	2.29
25	1.54
26	1.70
27	1.18
28	0.84
29	1.55
30	2.29
31	1.37
32	1.61
33	1.21
34	1.82
35	2.30
36	2.42
37	1.40
38	1.82
39	1.26
40	1.37
41	1.47
42	1.85
43	1.74
44	2.37
45	0.82
46	1.56
47	2.02
48	0.30
49	1.69
50	1.00
51	1.89
52	2.45
53	1.47
54	2.16
55	1.48
56	2.55
57	2.95
58	1.42
59	1.75
60	2.53
61	2.30
62	2.07
63	0.71
64	1.79
65	2.03
66	2.55
67	1.86
68	1.42
69	1.94
70	0.33
71	1.68
72	3.03
73	2.39
74	1.79
75	1.35
76	2.75
77	1.86
78	1.84
79	1.79
80	1.53
81	1.71
82	2.00
83	1.23
84	1.60
85	0.88
86	0.59
87	1.72
88	1.37
89	2.83
90	1.35
91	2.37
92	2.91
93	2.25
94	1.47
95	1.56
96	2.35
97	2.94
98	1.79
99	2.16
100	1.95
101	2.52
102	1.85
103	3.09
104	2.75
105	2.33
106	2.27
107	2.05
108	2.19
109	2.42
110	2.39
111	2.74
112	1.26
113	2.41
114	3.05
115	2.53
116	2.47
117	1.79
118	2.52
119	3.22
120	1.98
121	0.92
122	1.06
123	1.49
124	1.98
125	1.79
126	1.89
127	1.75
128	0.96
129	3.09
130	3.19
131	3.48
132	3.05
133	1.29
134	1.02
135	3.15
136	0.59
137	1.67
138	1.43
139	1.91
140	3.03
141	3.09
142	3.12
143	3.25
144	1.80
145	2.45
146	1.06
147	2.46
148	2.64
149	2.29
150	2.61
151	3.46
152	1.69
153	3.33
154	2.46
155	1.47
156	3.77
157	1.74
158	3.57
159	3.03
160	3.41
161	2.36
162	3.50
163	3.69
164	1.91
165	4.38
166	3.61
167	2.08
168	3.47
169	3.87
170	2.33
171	2.47
172	3.63
173	2.93
174	2.77
175	3.21
176	2.47
177	1.59
178	1.47
179	1.83
180	2.13
181	3.07
182	3.93
183	3.61
184	3.52
185	1.86
186	1.39
187	2.01
188	3.74
189	2.96
190	2.14
191	1.73
192	1.31
193	0.44
194	2.50
195	2.97
196	2.93
197	2.29
198	2.85
199	2.00
200	3.05
201	0.84
202	1.37
203	3.44
