Compound Id	Distribution coefficient at pH 7.35
1	0.640
2	1.100
3	1.560
4	2.020
5	2.480
6	0.470
7	2.090
8	1.510
9	2.000
10	1.370
11	1.970
12	0.880
13	0.760
14	0.050
15	0.060
16	0.280
17	1.220
18	3.350
19	3.880
20	-0.980
21	1.620
22	2.370
23	2.740
24	1.340
25	1.340
26	4.260
27	1.050
28	2.130
29	3.070
30	3.030
