Compound Id	Electronegativity
1	-4.251
2	-4.211
3	-4.223
4	-4.179
5	-4.175
6	-4.151
7	-4.436
8	-4.509
9	-4.565
10	-5.348
11	-5.097
12	-4.294
13	-4.364
14	-4.455
15	-4.243
16	-4.076
17	-4.375
18	-4.369
19	-4.268
20	-5.454
21	-4.553
22	-4.743
23	-5.003
24	-4.290
25	-4.194
26	-4.259
27	-5.462
28	-4.485
29	-5.056
30	-5.178
