Compound Id	Maximum acceptor superdelocalizability
1	0.333
2	0.317
3	0.317
4	0.322
5	0.326
6	0.317
7	0.316
8	0.322
9	0.325
10	0.316
11	0.324
12	0.315
13	0.315
14	0.327
15	0.316
16	0.316
17	0.328
18	0.322
19	0.333
20	0.332
21	0.324
22	0.316
23	0.317
24	0.322
25	0.322
26	0.335
27	0.318
28	0.317
29	0.310
30	0.317
31	0.324
32	0.324
33	0.315
34	0.315
35	0.316
36	0.357
37	0.357
38	0.336
39	0.325
40	0.327
41	0.331
42	0.352
43	0.341
44	0.316
45	0.318
46	0.316
47	0.318
48	0.336
49	0.345
50	0.320
51	0.317
52	0.320
53	0.319
54	0.326
55	0.318
56	0.322
57	0.323
58	0.327
59	0.325
60	0.317
61	0.317
62	0.338
63	0.324
64	0.354
65	0.335
66	0.352
67	0.317
68	0.324
69	0.326
70	0.319
71	0.321
72	0.324
73	0.318
74	0.328
75	0.318
76	0.339
77	0.317
