Compound Id	Hydrophobicity
1	1.56
2	2.67
3	3.38
4	2.48
5	1.21
6	1.48
7	1.99
8	1.54
9	2.13
10	2.52
11	1.36
12	1.65
13	2.31
14	1.25
15	2.26
16	1.99
17	2.33
18	2.26
19	1.74
20	1.47
21	1.36
22	1.72
23	1.71
24	2.48
25	1.76
26	3.08
27	1.79
28	1.19
29	1.81
30	3.96
31	2.48
32	1.76
33	3.37
34	3.89
35	2.92
36	2.39
37	2.25
38	2.51
39	1.18
40	1.72
41	3.01
42	3.50
43	3.69
44	3.43
45	3.17
46	3.17
47	3.84
48	1.75
49	1.47
50	1.38
51	0.97
52	0.69
53	1.03
54	1.33
55	1.03
56	0.42
57	0.79
58	0.72
59	1.33
60	2.17
61	1.37
62	3.42
63	1.86
64	1.84
65	2.28
66	1.48
67	1.35
68	2.99
69	1.92
70	2.62
71	2.80
72	2.65
73	1.81
74	2.15
75	1.21
76	2.77
77	1.58
