Compound Id	Bond dissociation energy
1	14.704
2	14.694
3	14.635
4	14.635
5	14.544
6	14.549
7	14.614
8	14.621
9	14.639
10	14.534
11	14.631
12	14.632
13	14.849
14	14.931
15	14.558
16	14.619
17	14.840
18	14.742
19	14.721
20	14.710
21	14.834
22	14.711
23	14.762
24	14.628
25	14.611
26	14.589
27	14.615
28	14.649
29	14.609
30	14.671
