ID	pLC50rat
000075-63-8	0.2486
000075-89-8	2.3281
000076-05-1	4.057
000076-13-1	0.6873
000076-15-3	1.5004
000079-38-9	2.0662
000079-52-7	2.68
000079-53-8	3.1643
000098-08-8	3.3146
000098-16-8	5.5637
000098-46-4	5.3418
000098-56-6	3.9142
000116-14-3	0.398
000116-15-4	4.1269
000124-73-2	2.6483
000127-21-9	4.6175
000151-67-7	0.8329
000303-04-8	4.1631
000306-83-2	0.6793
000308-48-5	3.754
000344-07-0	4.6552
000354-25-6	2.0487
000354-33-6	1.6154
000354-58-5	0.1588
000359-70-6	2.4171
000360-53-2	3.7824
000360-89-4	3.3926
000368-66-1	2.3088
000376-53-4	6.6091
000376-89-6	6.4794
000382-10-5	2.0612
000400-44-2	4.8206
000420-46-2	-0.8079
000422-56-0	0.7357
000422-64-0	4.0246
000424-40-8	5.3576
000434-64-0	2.3157
000447-14-3	4.2959
000507-55-1	0.8069
000675-14-9	4.6391
000678-26-2	3.3803
000684-16-2	2.7808
000692-50-2	3.3011
000811-97-2	1.8326
000920-66-1	1.9301
006226-25-1	2.4232
013838-16-9	1.1198
026675-46-7	1.0813
028523-86-6	0.8418
037360-98-8	1.6576
058109-34-5	2.6533
077227-99-7	2.9189
