Compound Id	PBT Index
1	3.85
2	-1.09
3	0.53
4	2.02
5	-1.25
6	-2.5
7	2.64
8	-1.38
9	-2.2
10	-2.37
11	-0.05
12	-2.29
13	-0.59
14	-3.08
15	-2.29
16	0.33
17	2.32
18	-0.6
19	-2.94
20	-2.48
21	-1.99
22	-0.81
23	1.91
24	4.16
25	-0.23
26	0.1
27	-1.93
28	-0.4
29	1.4
30	-2.48
31	-0.01
32	-2.28
33	0.18
34	-1.88
35	-1.37
36	0.8
37	-1.45
38	0.25
39	0.96
40	2.15
41	0.77
42	-0.35
43	2.03
44	-0.09
45	1.01
46	-0.38
47	-0.59
48	-0.47
49	-0.68
50	0.57
51	0.46
52	-0.61
53	0.23
54	0.91
55	0.56
56	0.66
57	1.04
58	-0.01
59	-1.22
60	1.39
61	-0.19
62	-0.94
63	0.6
64	2.97
65	1.1
66	-0.17
67	0.33
68	-1.78
69	0.29
70	-0.19
71	-0.63
72	-0.5
73	-0.81
74	0.05
75	-0.24
76	-0.77
77	-0.23
78	0.78
79	-0.29
80	-0.19
81	0.12
82	1.63
83	-0.98
84	-0.39
85	-0.25
86	-1.56
87	-0.87
88	-0.89
89	-2.05
90	-1.44
91	-1.69
92	-1.44
93	-1.39
94	0.01
95	-0.57
96	0.88
97	2.25
98	0.82
99	-0.25
100	-0.31
101	0.82
102	-1.77
103	-1.31
104	-0.86
105	-0.13
106	-1.24
107	-2.26
108	-1.95
109	-0.98
110	-0.58
111	-0.95
112	-1.03
113	-0.3
114	-1.49
115	-0.95
116	-0.57
117	-0.55
118	0.04
119	-0.86
120	-0.22
121	0.08
122	-0.31
123	2.1
124	-0.54
125	2.1
126	-0.01
127	-0.35
128	-0.9
129	-0.42
130	0.42
131	-2.52
132	-1.63
133	-0.9
134	-2.36
135	-0.36
136	0.14
137	1.54
138	-0.42
139	-0.65
140	-1.04
141	-1.03
142	0.41
143	2.45
144	1.88
145	0.12
146	0.15
147	0.97
148	-0.57
149	0.88
150	0.18
151	1.52
152	1.17
153	-1.34
154	-1.34
155	-1.32
156	3.41
157	-1.6
158	-0.9
159	2.75
160	2.86
161	-0.74
162	0.47
163	-1.55
164	0.72
165	2.47
166	0.39
167	0.32
168	1.76
169	3.87
170	2.52
171	1.32
172	0.28
173	3.72
174	5.02
175	2.78
176	2.02
177	2.16
178	1.85
179	2.32
180	1.13
