Compound Id	2-day Tetrahymena toxicity as log(1/IGC50)
3	3.42
12	4.65
13	4.55
14	3.62
17	2.82
25	3.04
42	3.87
52	3.17
53	3.49
60	3.13
62	2.87
65	3.20
71	4.01
72	3.82
73	3.27
74	3.62
76	3.91
77	4.07
78	2.86
79	3.70
82	4.11
83	4.89
85	3.30
87	5.02
88	5.35
89	3.62
90	2.63
91	3.61
98	3.52
100	3.56
102	3.07
104	3.13
105	3.68
110	2.98
113	3.38
116	2.07
