Compound Id	ALOGP [ALogP]
13837650	1.512
29015	-0.262
258	-0.973
7714	0.231
7882	-2.701
7837	-1.837
7812	-1.549
932	-2.125
6040	-1.261
1004	-0.685
10445	2.450
6320	-0.696
6312	0.124
6146	0.573
21011	-0.984
3644	-0.408
29000	-0.164
175	-0.244
6102	0.045
236	0.0
7224	0.035
7673	0.889
6321	-0.168
29012	-0.594
5730	3.585
7676	0.744
5977	1.617
7787	-1.728
7679	-1.058
14840	-2.201
8569	-1.180
121365	-1.638
6104	1.073
3168	0.551
12181	0.080
7890	-2.777
682	-0.108
8525	0.271
7219	0.307
9614	0.480
8560	-1.337
7767	-1.049
864	-0.358
6335	0.021
14672	0.982
7674	-0.219
7641	1.284
11752	-0.272
11815	-0.351
13014	-1.062
6334	-0.523
28994	-0.601
12814	-0.774
7849	-1.913
349	-1.625
6967	1.284
7712	-0.761
7636	0.472
7521	1.284
29080	-0.978
7737	-0.707
1108	0.642
13619	-2.489
