Compound Id	ChiCluster [SC-3]
13837650	0.0
29015	0.0
258	0.0
7714	0.0
7882	0.0
7837	0.0
7812	0.0
932	0.0
6040	0.0
1004	0.0
10445	1.969
6320	0.408
6312	0.408
6146	2.0
21011	0.408
3644	0.577
29000	0.408
175	0.577
6102	0.0
236	0.0
7224	0.204
7673	0.289
6321	0.408
29012	0.408
5730	2.0
7676	0.289
5977	0.577
7787	0.0
7679	0.289
14840	0.0
8569	0.0
121365	0.289
6104	0.0
3168	0.0
12181	0.5
7890	0.0
682	0.0
8525	0.408
7219	0.204
9614	0.289
8560	0.0
7767	0.0
864	0.0
6335	0.408
14672	1.561
7674	0.289
7641	0.577
11752	0.408
11815	0.0
13014	0.471
6334	0.408
28994	0.0
12814	0.471
7849	0.0
349	0.0
6967	0.471
7712	0.0
7636	0.577
7521	0.577
29080	1.207
7737	0.0
1108	0.289
13619	0.0
