Compound Id	HybridizationRatio
502855	0.2
6191	1.0
26325183	0.125
5709	0.0
6153	1.0
16425	N/A
8521	1.0
23150	1.0
8520	1.0
66656	1.0
26824	1.0
18019	1.0
26325084	0.833
6190	1.0
11919	1.0
10696	1.0
26325083	0.818
10451	1.0
23101	1.0
122090	0.778
26325082	0.8
26325081	0.778
10449	1.0
26325080	0.75
66655	0.714
14021447	0.714
67991	1.0
109705	0.333
17619	1.0
692	0.0
291	1.0
6084	1.0
6094	1.0
7555	1.0
6120	1.0
7712	1.0
6308	1.0
9646	1.0
10781	1.0
15802	1.0
17976	1.0
7767	1.0
7604	1.0
7010	1.0
6163	1.0
6340	1.0
8560	1.0
11094	1.0
11023	1.0
11055	1.0
10786	1.0
7619	1.0
10755	1.0
11551	1.0
349	1.0
11035	1.0
11104	1.0
10795	1.0
10445	1.0
7849	1.0
17558	1.0
13439	1.0
13402	1.0
14840	1.0
13448	1.0
13619	1.0
7890	1.0
11882	1.0
11883	1.0
10540	1.0
7929	1.0
11897	1.0
11899	1.0
12017	1.0
12072	1.0
11900	1.0
11901	1.0
11146	1.0
11902	1.0
10542	1.0
11906	1.0
8878	1.0
11585	0.125
11557190	0.667
10452	1.0
108106	1.0
127983	N/A
78828	0.6
68328	0.5
67414	1.0
13837650	1.0
13853215	1.0
9392	1.0
10765	0.6
7674	1.0
14998	1.0
10614293	1.0
6156	1.0
12201	0.667
11109	0.667
24142	0.867
13622	0.857
16180	0.846
7891	0.833
12446	0.667
29025	0.778
12635	0.818
11121	0.714
7713	0.6
12809	0.8
7833	0.75
7556	0.5
7954	0.333
555074	0.714
7957	0.5
4516601	0.75
56442	0.5
4483639	0.6
4516599	0.75
4512361	0.75
4483638	0.6
4449912	0.5
4512642	0.75
18410	1.0
22408	N/A
66675	1.0
10113	0.6
9484	1.0
6085	0.0
7024	1.0
15438	1.0
8896	1.0
14751	1.0
221117	1.0
7787	1.0
8908	1.0
8909	1.0
8910	1.0
71433	0.6
22814	N/A
9095782	1.0
6151	1.0
6188	1.0
11099	0.2
73583	1.0
7340	1.0
8158	1.0
11110	0.333
9642	0.0
11996	1.0
10756390	0.333
62827	1.0
7626	1.0
10265264	1.0
56117	1.0
11230	1.0
63631	1.0
11086	0.714
11841	1.0
6402	0.8
1406720	0.867
1114	1.0
14692	0.6
10179173	1.0
21800	1.0
8544	0.6
7788	0.667
4927801	1.0
10325078	1.0
55188	1.0
68224	0.333
24263	0.8
6364	0.8
11749	1.0
14672	1.0
11228	1.0
11857	0.714
391428	0.8
10733068	0.333
454638	0.867
9990	1.0
6309	0.2
7557	0.0
558883	0.2
56020	0.2
10124	0.333
6111	1.0
10265270	1.0
14198	0.8
7180	0.6
9411	0.75
6149	1.0
15765	1.0
553642	0.75
15413	1.0
7182	0.6
10669	0.6
8569	1.0
12220	1.0
7823	1.0
11849	1.0
10441	1.0
3168	1.0
11833	1.0
455420	1.0
10709	1.0
10179239	1.0
11761	1.0
6108	N/A
69914	0.333
59573	1.0
11671339	0.333
7956	1.0
55090	1.0
10053	1.0
28993	0.4
10054	1.0
9461	0.5
16791	1.0
11117	0.333
205483	0.125
10979	0.6
61346	1.0
6186	1.0
69371	1.0
69569	1.0
7181	0.6
99596	1.0
11351244	0.429
16841	1.0
61266	0.0
6187	1.0
2656	1.0
6827	1.0
20939	0.6
7817	0.667
11788	1.0
13835316	0.0
6270	1.0
454209	1.0
9633	1.0
9377	1.0
9243	1.0
11148	1.0
923	N/A
6121	1.0
6315	1.0
6118	1.0
8577	1.0
14349	1.0
7852	1.0
14680	1.0
7776	1.0
7330	0.2
6122	1.0
7732	0.5
11729	1.0
6307	1.0
13255	1.0
10512	1.0
13837797	0.333
6098	0.0
10536	1.0
7827	1.0
9233	1.0
18607	1.0
5730	1.0
10526	1.0
120464	1.0
24590970	1.0
7733	0.0
7850	1.0
11865	1.0
7714	1.0
10437	1.0
6097	1.0
12219	1.0
7848	1.0
61487	1.0
11863	1.0
7810	1.0
7766	1.0
7711	1.0
7552	1.0
6092	1.0
12010	1.0
11830	1.0
10497	1.0
31029	1.0
6100	1.0
12228	0.0
6042	1.0
13836713	0.333
13803	1.0
7815	1.0
7560	1.0
6103	1.0
6635	0.0
6087	1.0
7721	1.0
6083	1.0
1039	1.0
6088	1.0
13837281	0.0
56232	1.0
5979	1.0
13837190	1.0
7074	0.625
7170	0.5
10534	0.143
10410	0.4
68503	0.6
14694	1.0
7090	0.143
7028	1.0
10487	1.0
13492	0.538
15747	0.571
8356	0.4
18971812	1.0
14688	1.0
71876	0.727
7128	0.333
7183	0.4
7088	0.4
15461	0.455
13299573	1.0
7073	0.875
2340753	1.0
8554	1.0
10340	0.2
13487	0.5
7385	0.333
8531	0.4
7448	0.4
764	0.0
10325184	1.0
6406	0.4
12066	1.0
7738	0.0
10404	0.455
7419	0.4
7219	0.25
11660	0.333
6999	0.4
18688	0.857
7737	1.0
1108	0.143
236	0.0
7521	0.25
7641	0.25
7659	0.333
11871	1.0
55130	0.857
10433	0.857
11992	0.833
10253	0.4
60886	0.0
83962	0.917
12161	1.0
7671	0.875
10446	0.833
62249	0.833
11526	0.667
7672	1.0
7786	1.0
8335	0.4
7657	0.857
22453	0.857
7065	0.833
13875283	0.143
7553	0.333
11409	0.333
3631	1.0
13835836	1.0
55084	0.889
7694	0.875
7482	0.857
11716	0.875
11045	0.857
7515	0.833
13836549	0.0
13836674	0.333
6967	0.25
6977	0.333
21168808	0.2
960	0.938
61213	1.0
7472	0.833
11207996	0.833
29016	0.857
7747	0.833
7627	0.8
10571	0.8
7076	0.625
7003	0.286
9614	0.0
7739	0.0
8883	1.0
7757	0.917
7511	0.9
7509	0.889
29005	0.875
10420	0.857
7478	0.8
7475	0.833
7463	0.8
21111806	0.0
21111820	0.2
21171407	0.333
11910	0.8
13850082	0.583
7872	0.9
7875	0.917
7913	0.929
7670	0.889
8568	0.875
14846	0.9
7800	0.889
11843	0.857
29012	0.833
10797	0.857
7538	0.875
7536	0.857
11755	0.75
7706	0.8
7761	0.833
10492	0.8
11680	0.8
11706	0.833
10653	0.75
68179	1.0
11727	1.0
21108550	0.0
9724	1.0
11731	1.0
8950	0.111
14866	0.333
6720	0.9
7559	0.0
10236	0.333
7012	0.8
11065	0.8
28981	0.875
99681	0.75
8525	0.75
6176	0.833
7081	0.833
6313	0.75
9903	0.333
55123	0.857
12012	0.833
7534	0.875
10791	0.833
11125	0.8
7782	0.75
6316	1.0
9325	0.0
123860	1.0
28986	0.857
6335	0.667
7616	0.25
7129	0.111
10788	0.833
7621	0.833
8329688	1.0
10777	0.8
441	0.875
7838	0.857
5949	0.833
29029	0.889
7772	0.8
256	0.75
512	0.667
21169510	0.75
7676	0.0
13875281	0.143
7220	0.0
7248	0.111
11661	0.111
12674	0.5
8097	0.4
12972	0.909
9976	0.889
7514	0.857
215929	0.875
11025	0.833
7734	0.667
7016	0.8
1095	1.0
2038738	0.0
12259	0.455
13836589	1.0
172	0.5
13836520	0.667
13875230	0.143
18219	1.0
10801109	1.0
29004	1.0
7871	0.909
21153	0.917
7802	0.875
12218	0.9
12632	0.889
7760	0.857
11095	0.833
21106173	1.0
7607	0.8
13866746	0.0
7577	0.5
7506	0.7
9228	0.0
7239	0.143
11647	0.875
7530	1.0
1266019	0.583
109838	1.0
6321	0.75
13874867	0.6
6314	0.25
4510484	0.625
62530	0.375
13842613	0.286
7391	0.25
7242	0.286
26325086	1.0
13862665	0.4
15443	0.857
124968	0.0
9581	0.143
66809	0.167
221082	0.111
13875320	0.143
6642	0.5
13835376	1.0
127750	1.0
13857694	0.0
7673	0.0
7662	0.0
363458	1.0
7684	1.0
61111	0.0
13875196	0.143
11042	0.286
24972	0.429
28992	0.333
13875160	0.143
13875258	0.143
9994	1.0
29015	1.0
4446445	0.625
4444608	0.5
394562	0.25
13839199	0.167
18724	0.444
7238	0.143
21105959	0.25
13866817	0.0
13875392	0.143
13839575	1.0
6322	0.25
558020	0.0
21132380	0.286
13677	0.167
65750	0.5
63903	0.375
10940	0.286
13865438	0.25
13868640	0.0
29001	0.6
21106135	0.25
13837988	0.0
10400	0.0
8067	0.0
13839109	0.833
21105905	0.286
11077	0.286
906	0.0
13865426	0.667
10710415	0.5
21106560	0.286
20843	0.333
15965	0.3
70682	1.0
13658	0.5
11862	1.0
7710	1.0
7809	1.0
7765	1.0
6794	0.4
26516	0.25
17131	0.333
21106520	0.167
924	0.25
13862559	0.0
6788	0.091
13861343	1.0
73412	1.0
8904	0.0
13874733	0.167
24535	0.556
25552	0.5
10437215	0.429
11087	0.0
10909	0.167
10918	0.167
15489	0.0
2441	0.9
10939	0.857
11784	0.0
8868	0.0
7518	0.0
21106019	0.0
24533	0.333
1020	0.0
2039535	0.333
8374	0.364
21106586	0.714
11756	1.0
71089	0.2
7688	0.2
8902	0.0
10937	0.286
6897	0.222
17443	0.2
6883	0.125
11785	0.0
7240	0.0
503239	0.333
21106571	0.0
10908	0.167
3463	0.6
16388	0.7
6828	0.0
7161	0.5
8141	0.8
7679	0.833
4444456	0.333
66996	0.0
13840690	0.143
11667	0.143
13864445	0.0
21108548	0.0
21106163	0.0
14256731	0.727
6311	1.0
30595	0.222
13865424	0.125
13229	1.0
7175	0.222
7157	0.222
917	0.5
13875356	0.0
12044	0.077
12682	0.231
71628	1.0
9363	0.0
6296	0.667
70715	0.0
62632	1.0
78998	1.0
11884	1.0
16177	1.0
15853	1.0
67360	1.0
11866	1.0
15846	1.0
29026	1.0
11846	1.0
7770	1.0
7717	1.0
62808	0.0
21106366	0.222
7420	0.333
21168831	0.25
455090	0.333
71437	1.0
13063	0.167
558878	0.5
25886	0.333
71430	1.0
559096	1.0
13868660	0.0
707	1.0
387	1.0
10018	1.0
61001	0.222
20570	0.286
21106540	0.0
15855	0.5
7790	1.0
8903	0.0
62489	0.167
8899	0.0
13634	0.0
13630	0.0
553578	0.5
66565	0.0
10437135	0.333
66021	0.0
7221	0.0
7383	0.25
6339	1.0
6736	0.091
10851	0.167
10850	0.167
23977588	0.778
24043	0.5
12069	1.0
191367	1.0
11799	1.0
7615	1.0
11265	1.0
67653	1.0
21106032	1.0
1348	0.25
66896	0.611
62534	0.143
62408	0.143
7389	0.0
38364	0.0
12045	0.077
2003	0.667
17784	1.0
12637	1.0
21106524	0.125
13875212	0.0
19475	0.333
13647	1.0
21168826	0.125
6780	0.0
10841	0.167
25889	1.0
25890	1.0
10227261	0.667
220998	1.0
12954	1.0
13851576	0.143
12047	0.077
16736498	0.778
6478	0.167
8912	1.0
10849	0.167
11038	0.0
89076	0.071
199342	0.5
19477	1.0
6287	1.0
13811	0.889
14169248	1.0
10437074	0.0
21105878	0.25
21168813	0.222
235	0.0
8186	0.222
13872122	0.333
8098	0.0
6737	0.0
6789	0.0
15861	0.231
4445317	0.615
11632	1.0
13885245	0.3
8674	0.25
7132	0.125
11783	0.0
27488	0.0
10813	0.167
7202	0.143
30516	1.0
26325090	1.0
21112023	0.125
13876539	0.125
68676	0.125
551	0.0
11776	0.0
66895	0.5
66887	0.462
9893	0.3
63518	0.417
59482	0.364
6881	0.222
13839308	0.143
10586285	0.1
218253	0.0
7689	0.0
63310	0.333
7299	0.077
10829	0.167
12957	1.0
84036	1.0
