Compound Id	ChiPath [SP-0]
502855	10.552
6191	7.0
26325183	14.071
5709	6.690
6153	4.5
16425	6.408
8521	17.328
23150	7.707
8520	14.121
66656	N/A
26824	14.121
18019	17.328
26325084	34.778
6190	7.0
11919	7.328
10696	12.828
26325083	31.571
10451	16.036
23101	10.914
122090	11.621
26325082	28.364
26325081	25.157
10449	19.243
26325080	21.950
66655	8.414
14021447	18.743
67991	7.707
109705	14.353
17619	N/A
692	2.0
291	0.0
6084	2.0
6094	2.707
7555	3.414
6120	3.577
7712	4.121
6308	4.284
9646	4.5
10781	6.784
15802	7.113
17976	7.492
7767	4.828
7604	4.992
7010	4.992
6163	5.207
6340	5.155
8560	5.536
11094	5.699
11023	5.699
11055	5.914
10786	5.862
7619	5.862
10755	5.914
11551	5.699
349	6.243
11035	6.406
11104	6.569
10795	6.732
10445	6.784
7849	6.950
17558	7.113
13439	7.707
13402	7.328
14840	7.657
13448	8.414
13619	8.364
7890	9.071
11882	9.778
11883	10.485
10540	11.899
7929	14.728
11897	15.435
11899	16.142
12017	16.849
12072	17.556
11900	18.263
11901	18.971
11146	19.678
11902	20.385
10542	23.213
11906	26.042
8878	4.690
11585	8.268
11557190	15.536
10452	9.621
108106	18.485
127983	2.0
78828	12.328
68328	9.121
67414	13.864
13837650	3.414
13853215	7.0
9392	7.0
10765	4.284
7674	5.113
14998	5.914
10614293	6.784
6156	4.5
12201	4.992
11109	4.828
24142	11.192
13622	10.485
16180	9.778
7891	9.071
12446	4.992
29025	6.950
12635	8.364
11121	5.536
7713	4.121
12809	7.657
7833	6.243
7556	3.414
7954	2.707
555074	5.536
7957	3.577
4516601	6.243
56442	3.414
4483639	4.121
4516599	6.243
4512361	6.243
4483638	4.121
4449912	3.414
4512642	6.243
18410	7.234
22408	0.0
66675	7.0
10113	4.284
9484	4.5
6085	2.0
7024	4.406
15438	5.820
8896	3.536
14751	5.820
221117	5.983
7787	4.243
8908	4.950
8909	5.657
8910	7.071
71433	5.207
22814	0.0
9095782	7.0
6151	4.5
6188	7.0
11099	4.121
73583	7.0
7340	9.941
8158	5.699
11110	4.828
9642	2.707
11996	5.914
10756390	15.657
62827	6.784
7626	5.862
10265264	5.983
56117	7.328
11230	4.284
63631	5.155
11086	5.113
11841	7.276
6402	7.353
1406720	10.845
1114	3.577
14692	7.657
10179173	5.983
21800	5.983
8544	3.536
7788	4.243
4927801	23.107
10325078	7.0
55188	5.914
68224	15.657
24263	7.353
6364	7.353
11749	4.992
14672	5.207
11228	4.284
11857	4.950
391428	7.353
10733068	19.571
454638	10.845
9990	3.414
6309	4.284
7557	3.414
558883	4.121
56020	4.121
10124	5.155
6111	2.121
10265270	6.812
14198	7.353
7180	7.560
9411	7.492
6149	4.5
15765	5.983
553642	5.657
15413	8.743
7182	7.560
10669	7.560
8569	6.950
12220	8.364
7823	5.536
11849	5.536
10441	3.414
3168	4.121
11833	4.828
455420	6.950
10709	4.121
10179239	6.812
11761	5.862
6108	2.707
69914	11.743
59573	5.914
11671339	11.743
7956	2.707
55090	5.207
10053	4.5
28993	7.983
10054	4.5
9461	6.621
16791	6.243
11117	4.243
205483	8.268
10979	7.560
61346	7.707
6186	7.0
69371	7.707
69569	10.914
7181	7.560
99596	6.077
11351244	4.690
16841	6.077
61266	16.928
6187	7.0
2656	8.113
6827	8.226
20939	7.560
7817	5.536
11788	5.113
13835316	3.577
6270	10.157
454209	5.207
9633	6.950
9377	5.536
9243	2.707
11148	2.0
923	2.707
6121	3.577
6315	4.284
6118	3.577
8577	8.364
14349	7.657
7852	6.950
14680	6.243
7776	4.828
7330	3.536
6122	3.577
7732	4.121
11729	3.414
6307	4.284
13255	5.276
10512	4.828
13837797	5.536
6098	2.707
10536	6.950
7827	5.536
9233	4.121
18607	4.121
5730	4.5
10526	5.536
120464	5.914
24590970	6.077
7733	4.121
7850	6.950
11865	6.243
7714	4.121
10437	3.414
6097	2.707
12219	7.657
7848	6.950
61487	5.207
11863	6.243
7810	5.536
7766	4.828
7711	4.121
7552	3.414
6092	2.707
12010	5.536
11830	4.828
10497	4.121
31029	3.414
6100	2.707
12228	N/A
6042	4.5
13836713	3.414
13803	6.621
7815	5.536
7560	3.414
6103	2.707
6635	8.309
6087	2.0
7721	4.121
6083	2.0
1039	2.707
6088	2.0
13837281	5.155
56232	9.450
5979	7.0
13837190	4.121
7074	8.146
7170	9.138
10534	4.950
10410	7.397
68503	7.328
14694	5.207
7090	7.613
7028	4.406
10487	5.113
13492	9.356
15747	10.063
8356	7.397
18971812	7.0
14688	12.278
71876	10.104
7128	6.690
7183	7.560
7088	7.613
15461	8.320
13299573	7.707
7073	8.146
2340753	5.207
8554	4.243
10340	4.406
13487	8.648
7385	6.527
8531	7.397
7448	7.397
764	5.983
10325184	5.207
6406	5.862
12066	3.536
7738	3.536
10404	7.941
7419	7.234
7219	5.820
11660	6.690
6999	7.724
18688	7.492
7737	3.536
1108	5.113
236	4.243
7521	5.983
7641	5.983
7659	6.853
11871	6.243
55130	7.276
10433	7.276
11992	6.569
10253	7.560
60886	13.774
83962	10.560
12161	7.328
7671	8.146
10446	6.784
62249	6.784
11526	4.992
7672	5.113
7786	4.828
8335	7.397
7657	7.276
22453	7.276
7065	6.569
13875283	5.983
7553	3.414
11409	6.690
3631	8.362
13835836	6.406
55084	8.527
7694	7.820
7482	7.113
11716	7.820
11045	7.113
7515	6.406
13836549	9.464
13836674	3.414
6967	5.983
6977	6.853
21168808	4.406
960	13.477
61213	5.207
7472	6.569
11207996	6.569
29016	7.276
7747	6.569
7627	5.862
10571	5.862
7076	7.983
7003	7.276
9614	5.113
7739	3.536
8883	6.552
7757	10.648
7511	9.234
7509	8.527
29005	7.820
10420	7.113
7478	6.406
7475	6.406
7463	5.699
21111806	5.983
21111820	4.406
21171407	3.414
11910	5.207
13850082	11.190
7872	9.234
7875	10.648
7913	12.063
7670	8.146
8568	7.820
14846	9.234
7800	8.527
11843	7.113
29012	6.406
10797	6.732
7538	7.820
7536	7.113
11755	4.992
7706	5.699
7761	6.406
10492	5.699
11680	5.699
11706	6.406
10653	4.992
68179	6.950
11727	3.414
21108550	5.983
9724	7.353
11731	3.414
8950	6.527
14866	9.190
6720	8.431
7559	3.414
10236	6.853
7012	4.992
11065	4.992
28981	7.113
99681	10.768
8525	4.992
6176	6.077
7081	5.699
6313	4.284
9903	6.104
