Compound Id	Weight
502855	194.057909
6191	137.990419
26325183	296.061949
5709	123.032028
6153	87.993613
16425	145.962490
8521	384.145993
23150	162.089618
8520	310.127201
66656	148.073968
26824	310.127201
18019	384.145993
26325084	778.239950
6190	153.960869
11919	144.133427
10696	296.075166
26325083	704.221158
10451	370.093957
23101	236.108410
122090	248.108410
26325082	630.202367
26325081	556.183575
10449	444.112748
26325080	482.164784
66655	174.089618
14021447	408.145993
67991	201.980374
109705	282.009104
17619	134.058318
692	30.010565
291	16.0313
6084	30.046950
6094	44.0626
7555	58.078250
6120	58.078250
7712	72.0939
6308	72.0939
9646	72.0939
10781	114.140851
15802	128.156501
17976	128.156501
7767	86.109551
7604	86.109551
7010	86.109551
6163	86.109551
6340	86.109551
8560	100.125201
11094	100.125201
11023	100.125201
11055	100.125201
10786	100.125201
7619	100.125201
10755	100.125201
11551	100.125201
349	114.140851
11035	114.140851
11104	114.140851
10795	114.140851
10445	114.140851
7849	128.156501
17558	128.156501
13439	128.156501
13402	128.156501
14840	142.172151
13448	142.172151
13619	156.187801
7890	170.203451
11882	184.219101
11883	198.234751
10540	226.266051
7929	282.328652
11897	296.344302
11899	310.359952
12017	324.375602
12072	338.391252
11900	352.406902
11901	366.422552
11146	380.438202
11902	394.453852
10542	450.516453
11906	506.579053
8878	96.0939
11585	151.063329
11557190	334.127201
10452	222.056374
108106	408.200366
127983	29.997989
78828	260.108410
68328	186.089618
67414	306.150275
13837650	97.969006
13853215	169.931318
9392	169.931318
10765	70.078250
7674	98.109551
14998	118.081392
10614293	113.133026
6156	88.070827
12201	84.0939
11109	84.0939
24142	210.234751
13622	196.219101
16180	182.203451
7891	168.187801
12446	84.0939
29025	126.140851
12635	154.172151
11121	98.109551
7713	70.078250
12809	140.156501
7833	112.125201
7556	56.0626
7954	42.046950
555074	98.109551
7957	56.0626
4516601	112.125201
56442	56.0626
4483639	70.078250
4516599	112.125201
4512361	112.125201
4483638	70.078250
4449912	56.0626
4512642	112.125201
18410	140.156501
22408	77.945072
66675	146.094704
10113	70.078250
9484	84.018685
6085	28.0313
7024	84.0939
15438	112.125201
8896	70.078250
14751	112.125201
221117	112.125201
7787	84.0939
8908	98.109551
8909	112.125201
8910	140.156501
71433	100.070827
22814	33.997237
9095782	130.040563
6151	119.934512
6188	185.901768
11099	68.0626
73583	165.956390
7340	185.214350
8158	101.120450
11110	82.078250
9642	40.0313
11996	102.104465
10756390	344.075166
62827	134.015491
7626	102.104465
10265264	112.125201
56117	148.091956
11230	73.089149
63631	87.1048
11086	96.0939
11841	130.135765
6402	136.125201
1406720	204.187801
1114	59.073499
14692	138.140851
10179173	112.125201
21800	112.125201
8544	68.0626
7788	82.078250
4927801	510.250458
10325078	213.880803
55188	102.104465
68224	344.075166
24263	136.125201
6364	136.125201
11749	88.088815
14672	88.088815
11228	74.073165
11857	96.0939
391428	136.125201
10733068	430.093957
454638	204.187801
9990	54.046950
6309	68.0626
7557	54.046950
558883	68.0626
56020	68.0626
10124	82.078250
6111	42.046950
10265270	138.140851
14198	136.125201
7180	136.125201
9411	142.024164
6149	135.904961
15765	112.125201
553642	110.109551
15413	178.102521
7182	136.125201
10669	136.125201
8569	130.135765
12220	158.167066
7823	102.104465
11849	102.104465
10441	60.057515
3168	74.073165
11833	88.088815
455420	130.135765
10709	74.073165
10179239	138.140851
11761	118.081622
6108	75.944142
69914	258.056374
59573	120.060656
11671339	258.056374
7956	46.041865
55090	106.054928
10053	135.988762
28993	136.125201
10054	92.039278
9461	126.029249
16791	110.109551
11117	80.0626
205483	150.079313
10979	136.125201
61346	167.976519
6186	201.872217
69371	178.066775
69569	275.999165
7181	136.125201
99596	147.965812
11351244	92.0626
16841	135.970291
61266	333.984032
6187	201.872217
2656	154.135765
6827	166.172151
20939	136.125201
7817	100.088815
11788	99.1048
13835316	95.953355
6270	208.113086
454209	94.059407
9633	132.131429
9377	104.100129
9243	48.037528
11148	34.021878
923	44.001063
6121	78.023628
6315	92.039278
6118	121.973112
8577	174.144222
14349	160.128572
7852	146.112922
14680	132.097272
7776	104.065971
7330	66.046950
6122	169.959248
7732	72.057515
11729	76.034671
6307	135.988762
13255	100.088815
10512	106.054928
13837797	98.073165
6098	61.992328
10536	146.112922
7827	118.081622
9233	90.050321
18607	90.050321
5730	151.875411
10526	120.070578
120464	120.070578
24590970	191.915296
7733	70.041865
7850	148.101878
11865	134.086228
7714	92.039278
10437	78.023628
6097	64.007978
12219	206.067013
