Compound Id	ChiCluster [SC-3]
6313	0.408
9903	0.333
55123	0.0
12012	0.0
7534	0.577
10791	0.569
11125	0.0
7782	0.0
6316	0.408
9325	0.471
123860	0.0
28986	0.289
6335	0.408
7616	0.408
7129	0.5
10788	0.569
7621	0.816
8329688	1.561
10777	0.667
441	0.0
7838	0.0
5949	0.0
29029	0.0
7772	0.0
256	0.0
512	0.0
21169510	1.570
7676	0.289
13875281	0.471
7220	0.204
7248	0.493
11661	0.493
12674	0.333
8097	0.333
12972	0.289
9976	0.289
7514	0.289
215929	0.289
11025	0.289
7734	0.0
7016	0.289
1095	0.0
2038738	0.204
12259	1.049
13836589	0.0
172	0.0
13836520	0.204
13875230	0.577
18219	0.0
10801109	0.754
29004	0.866
7871	0.408
21153	0.408
7802	0.408
12218	0.408
12632	0.408
7760	0.408
11095	0.408
21106173	0.866
7607	0.408
13866746	1.049
7577	0.0
7506	0.697
9228	0.577
7239	0.204
11647	0.612
7530	0.577
1266019	1.105
109838	0.0
6321	0.408
13874867	0.697
6314	0.408
4510484	0.204
62530	0.204
13842613	0.577
7391	0.204
7242	0.204
26325086	1.496
13862665	0.408
15443	0.204
124968	0.289
9581	0.493
66809	0.204
221082	0.204
13875320	0.471
6642	1.155
13835376	0.0
127750	0.0
13857694	0.577
7673	0.289
7662	0.866
363458	0.289
7684	0.289
61111	0.289
13875196	0.493
11042	0.577
24972	0.760
28992	0.577
13875160	0.577
13875258	0.577
9994	0.0
29015	0.0
4446445	0.0
4444608	0.0
394562	0.0
13839199	0.289
18724	1.510
7238	0.204
21105959	0.402
13866817	0.577
13875392	0.577
13839575	0.0
6322	0.408
558020	0.289
21132380	0.577
13677	0.469
65750	0.204
63903	0.204
10940	0.471
13865438	0.493
13868640	0.577
29001	0.816
21106135	0.493
13837988	0.471
10400	0.408
8067	1.155
13839109	0.408
21105905	0.204
11077	0.577
906	0.333
13865426	0.697
10710415	0.577
21106560	0.204
20843	0.471
15965	0.402
70682	0.0
13658	0.943
11862	0.0
7710	0.0
7809	0.0
7765	0.0
6794	0.333
26516	0.204
17131	0.754
21106520	0.289
924	0.5
13862559	0.760
6788	0.622
13861343	1.655
73412	0.0
8904	0.0
13874733	0.289
24535	0.811
25552	0.333
10437215	0.204
11087	0.289
10909	0.911
10918	0.911
15489	0.622
2441	1.803
10939	0.471
11784	0.289
8868	0.333
7518	0.577
21106019	0.493
24533	0.204
1020	0.0
2039535	0.204
8374	0.402
21106586	0.761
11756	0.408
71089	0.289
7688	0.289
8902	0.0
10937	0.471
6897	0.402
17443	0.204
6883	0.402
11785	0.289
7240	0.204
503239	0.5
21106571	0.953
10908	0.805
3463	2.610
16388	1.276
6828	0.333
7161	0.971
8141	0.289
7679	0.289
4444456	0.0
66996	0.289
13840690	0.204
11667	0.493
13864445	0.664
21108548	0.577
21106163	0.943
14256731	0.866
6311	0.408
30595	0.607
13865424	0.493
13229	1.021
7175	0.691
7157	0.691
917	0.538
13875356	0.577
12044	0.538
12682	1.093
71628	0.204
9363	0.289
6296	1.784
70715	0.289
62632	0.0
78998	0.0
11884	0.0
16177	0.0
15853	0.0
67360	0.0
11866	0.0
15846	0.0
29026	0.0
11846	0.0
7770	0.0
7717	0.0
62808	0.289
21106366	0.612
7420	0.204
21168831	0.204
455090	0.5
71437	1.539
13063	0.537
558878	0.697
25886	0.204
71430	0.408
559096	0.939
13868660	0.577
707	1.155
387	0.667
10018	0.0
61001	2.010
20570	0.5
21106540	0.856
15855	0.971
7790	0.0
8903	0.0
62489	0.204
8899	0.0
13634	0.204
13630	0.289
553578	0.697
66565	0.577
10437135	0.204
66021	0.289
7221	0.204
7383	0.204
6339	0.667
6736	0.538
10851	0.827
10850	0.827
23977588	2.685
24043	0.204
12069	0.408
191367	0.408
11799	0.408
7615	0.408
11265	0.803
67653	0.0
21106032	0.0
1348	0.289
66896	0.402
62534	0.493
62408	0.402
7389	0.204
38364	0.664
12045	0.622
2003	2.686
17784	1.510
12637	0.0
21106524	0.402
13875212	0.471
19475	0.289
13647	0.5
21168826	0.493
6780	0.333
10841	0.731
25889	0.5
25890	0.204
10227261	1.394
220998	0.204
12954	0.204
13851576	0.204
12047	0.622
16736498	2.685
6478	0.611
8912	0.0
10849	0.827
11038	0.577
89076	0.612
199342	2.003
19477	0.204
6287	0.927
13811	0.526
14169248	0.204
10437074	0.289
21105878	0.408
21168813	0.789
235	0.204
8186	0.789
13872122	0.204
8098	0.333
6737	0.538
6789	0.622
15861	1.010
4445317	1.812
11632	0.204
13885245	0.493
8674	0.408
7132	0.5
11783	0.289
27488	0.664
10813	0.749
7202	0.704
30516	0.204
26325090	0.0
21112023	0.789
13876539	0.204
68676	0.874
551	0.605
11776	0.866
66895	0.402
66887	0.402
9893	0.402
63518	0.402
59482	0.402
6881	0.402
13839308	0.204
10586285	1.972
218253	0.538
7689	0.289
63310	0.856
7299	0.408
10829	0.744
12957	0.289
84036	0.204
68152	1.570
24041	0.289
19953955	0.0
14556	0.402
21106140	0.537
1361549	0.408
10831	0.744
23886	0.744
33421	0.749
70714	0.289
15755	0.827
14995	0.744
14994	0.744
67470	0.827
15476	0.827
15756	0.911
6592	0.605
21943	0.289
10106	0.927
19956441	0.0
11930	0.859
10384035	0.204
65936	0.204
14227	0.789
11584	0.691
13867714	0.333
19957731	0.0
120489	0.204
7302	0.408
16387	0.911
502245	1.015
5708	0.204
16159	0.569
13648	0.5
13835126	0.789
34863	0.954
23730	0.289
23621376	0.0
21106146	0.789
12231	0.471
15619	1.116
15789876	1.683
7224	0.204
11600	0.493
21106144	0.705
13863774	0.789
7138	0.5
6604	0.827
25677	1.165
6840	0.667
12816	0.204
21111781	0.333
15475	0.731
15477	0.749
15478	0.805
15524	0.911
158870	1.032
157093	1.116
83374	1.116
457144	1.038
135925	0.954
457145	1.032
8807	0.611
19476	0.289
28969	0.612
13863629	0.204
7278	0.493
13644	0.5
21106014	0.402
6852	0.537
6735	0.538
30572	0.977
21106013	0.789
26260	1.038
4932499	1.128
12586	0.927
7964	2.664
6193	2.481
15620	0.954
11708	0.577
13859497	0.537
9943	0.204
456015	0.204
63906	0.493
15621	1.032
11632871	0.0
13856009	0.5
8876	0.333
21106020	0.789
15488	0.622
84188	0.936
136000	0.936
135983	1.020
136001	1.020
136002	0.942
136003	1.010
84235	1.093
82755	1.321
82712	1.243
157094	1.299
103011	1.327
102798	1.165
82762	1.215
13849665	1.070
24326358	0.896
5894	0.408
68437	0.936
26010	0.731
30600	0.827
33455	0.827
33934	0.827
33932	0.827
34866	0.936
34665	1.032
34664	1.032
37904	0.942
34864	1.038
34188	1.038
34865	1.038
11974	0.943
33416	0.0
15409	0.493
21106036	0.994
8855	0.333
2915	0.605
13328	2.818
7225	0.204
7685	0.289
21111817	0.402
20124	0.622
2923	0.607
21106470	0.333
56793	1.147
454495	1.147
40191	1.243
56791	1.243
35581	1.243
56774	1.357
82765	1.454
2185	0.408
13853953	0.705
457140	0.923
27793	1.042
82754	1.128
457138	1.212
102897	1.212
457139	1.134
102947	1.147
97173	1.225
102720	1.225
102801	1.147
102833	1.128
102721	1.225
102856	1.147
102933	1.202
103066	1.230
97172	1.276
7030	0.289
62484	0.691
87265	0.493
12699	0.811
21429023	2.803
13837303	0.744
78	0.204
13837329	0.744
65701	0.789
59577	0.402
2283071	1.215
13104	0.469
21106008	0.537
247721	0.493
4489	0.577
13835706	1.429
2275	0.289
3918	1.162
106355	1.134
102741	1.435
97055	1.407
97198	1.435
5993	0.408
28682	0.5
13856959	0.606
553649	0.408
13848341	0.577
10864	0.705
10169	0.611
8860	0.667
6838	0.667
34874	1.128
36972	1.128
56788	1.225
533188	1.225
35579	1.225
16182	1.321
46262	1.215
35580	1.321
82818	1.230
56790	1.134
56795	1.230
33458	1.134
82777	1.327
35584	1.221
56785	1.327
56792	1.327
34189	1.321
34859	1.550
84346	1.550
56760	1.646
56755	1.550
33666	1.742
13867413	0.289
6781	0.636
13865630	0.577
7241	0.204
12061	0.204
15473	0.911
17099	0.805
17098	0.911
33933	0.911
15474	0.911
34868	1.020
37905	0.923
34869	1.020
37918	1.020
37915	1.116
34867	1.116
25605	1.010
26011	1.116
34870	1.010
34666	1.116
21924	1.116
36973	1.339
37744	1.339
46894	1.339
45444	1.435
56769	1.339
56780	1.435
34847	1.435
39406	1.435
35081	1.532
56781	1.426
56771	1.532
6842	0.667
10101	0.927
13835351	0.606
6773	0.526
102834	1.253
102722	1.331
154865	1.321
96948	1.417
102743	1.339
102857	1.395
154866	1.423
106356	1.327
102787	1.339
97240	1.357
102742	1.339
136966	0.493
13054	0.493
7636	0.577
21105699	0.333
29107	0.667
7029	0.289
19231	0.204
67460	0.204
9873	0.798
17868	0.333
6524	1.560
8243	0.744
6528	0.744
13837319	0.744
8241	0.744
11422	0.692
6855	0.833
69982	2.232
97257	1.445
97224	1.541
102923	1.463
96868	1.513
96864	1.513
97234	1.532
97233	1.532
154062	1.519
97142	1.550
2075	1.150
21106148	0.704
6023	0.402
65763	0.902
56782	1.742
36977	1.742
83414	1.839
84348	1.656
82823	1.839
11586	0.902
1278	0.605
62472	0.902
26563	0.0
36975	1.321
56778	1.417
43354	1.417
37779	1.321
45445	1.513
36974	1.513
35585	1.407
