Compound Id	EccentricConnectivityIndex
11756	31
71089	45
7688	45
8902	36
10937	54
6897	116
17443	60
6883	90
11785	45
7240	60
503239	69
21106571	76
10908	126
3463	166
16388	218
6828	140
7161	99
8141	29
7679	45
4444456	24
66996	45
13840690	60
11667	77
13864445	63
21108548	58
21106163	80
14256731	195
6311	19
30595	99
13865424	77
13229	92
7175	113
7157	101
917	124
13875356	54
12044	151
12682	145
71628	74
9363	45
6296	70
70715	45
62632	384
78998	338
11884	254
16177	216
15853	182
67360	150
11866	74
15846	122
29026	96
11846	54
7770	38
7717	24
62808	45
21106366	92
7420	107
21168831	81
455090	69
71437	91
13063	135
558878	122
25886	70
71430	78
559096	252
13868660	58
707	102
387	24
10018	36
61001	123
20570	69
21106540	76
15855	99
7790	36
8903	36
62489	60
8899	20
13634	60
13630	45
553578	122
66565	54
10437135	81
66021	45
7221	60
7383	81
6339	24
6736	99
10851	119
10850	117
23977588	233
24043	36
12069	87
191367	65
11799	47
7615	31
11265	50
67653	122
21106032	38
1348	29
66896	442
62534	102
62408	90
7389	81
38364	63
12045	153
2003	198
17784	50
12637	182
21106524	67
13875212	54
19475	29
13647	69
21168826	71
6780	90
10841	117
25889	43
25890	146
10227261	254
220998	174
12954	116
13851576	60
12047	168
16736498	233
6478	114
8912	144
10849	117
11038	58
89076	284
199342	205
19477	74
6287	88
13811	101
14169248	70
10437074	45
21105878	100
21168813	80
235	60
8186	88
13872122	107
8098	90
6737	99
6789	108
15861	137
4445317	153
11632	70
13885245	146
8674	90
7132	69
11783	45
27488	63
10813	108
7202	113
30516	94
26325090	122
21112023	88
13876539	81
68676	124
551	144
11776	63
66895	254
66887	214
9893	116
63518	178
59482	144
6881	90
13839308	81
10586285	171
218253	151
7689	45
63310	76
7299	174
10829	108
12957	45
84036	54
68152	43
24041	85
19953955	54
14556	116
21106140	151
1361549	225
10831	108
23886	162
33421	162
70714	45
15755	117
14995	108
14994	108
67470	119
15476	117
15756	123
6592	144
21943	63
10106	153
19956441	74
11930	43
10384035	81
65936	60
14227	80
11584	113
13867714	140
19957731	150
120489	60
7302	174
16387	221
502245	186
5708	36
16159	36
13648	69
13835126	88
34863	173
23730	29
23621376	38
21106146	80
12231	54
15619	139
15789876	405
7224	60
11600	59
21106144	76
13863774	88
7138	69
6604	119
25677	184
6840	180
12816	60
21111781	80
15475	117
15477	108
15478	126
15524	130
158870	126
157093	134
83374	139
457144	128
135925	117
457145	128
8807	114
19476	45
28969	92
13863629	44
7278	118
13644	69
21106014	67
6852	135
6735	99
30572	85
21106013	80
26260	128
4932499	152
12586	153
7964	104
6193	113
15620	117
11708	58
13859497	111
9943	60
456015	60
63906	77
15621	128
11632871	256
13856009	69
8876	82
21106020	88
15488	153
84188	126
136000	128
135983	141
136001	132
136002	126
136003	137
84235	145
82755	148
82712	137
157094	156
103011	145
102798	126
82762	148
13849665	356
24326358	151
5894	19
68437	126
26010	164
30600	164
33455	179
33934	181
33932	164
34866	175
34665	192
34664	175
37904	175
34864	175
34188	190
34865	194
11974	80
33416	210
15409	180
21106036	95
8855	90
2915	144
13328	197
7225	60
7685	45
21111817	67
20124	108
2923	74
21106470	90
56793	186
454495	186
40191	203
56791	205
35581	186
56774	197
82765	216
2185	212
13853953	76
457140	135
27793	144
82754	146
457138	156
102897	154
457139	146
102947	137
97173	150
102720	143
102801	135
102833	152
102721	143
102856	137
102933	156
103066	150
97172	164
7030	29
62484	113
87265	77
12699	183
21429023	192
13837303	210
78	60
13837329	148
65701	88
59577	61
2283071	148
13104	194
21106008	122
247721	182
4489	58
13835706	172
2275	23
3918	227
106355	141
102741	154
97055	167
97198	159
5993	19
28682	69
13856959	265
553649	212
13848341	96
10864	76
10169	261
8860	180
6838	288
34874	188
36972	205
56788	207
533188	188
35579	188
16182	226
46262	205
35580	207
82818	188
56790	203
56795	209
33458	188
82777	205
35584	207
56785	188
56792	226
34189	188
34859	210
84346	229
56760	231
56755	210
33666	252
13867413	45
6781	89
13865630	148
7241	60
12061	107
15473	166
17099	181
17098	183
33933	166
15474	200
34868	177
37905	192
34869	196
37918	177
37915	194
34867	177
25605	192
26011	196
34870	194
34666	177
21924	213
36973	199
37744	216
46894	218
45444	220
56769	199
56780	199
34847	199
39406	218
35081	239
56781	218
56771	218
6842	180
10101	41
13835351	153
6773	149
102834	155
102722	165
154865	167
96948	165
102743	157
102857	175
154866	167
106356	165
102787	161
97240	146
102742	152
136966	77
13054	118
7636	42
21105699	140
29107	24
7029	29
19231	60
67460	135
9873	189
17868	140
6524	326
8243	468
6528	578
13837319	370
8241	284
11422	101
6855	148
69982	84
97257	176
97224	176
102923	166
96868	186
96864	186
97234	178
97233	176
154062	186
97142	170
2075	331
21106148	113
6023	90
65763	112
56782	244
36977	223
83414	267
84348	242
82823	246
11586	153
1278	170
62472	139
26563	324
36975	220
56778	201
43354	241
37779	218
45445	222
36974	201
35585	220
34848	241
84344	218
34850	222
82819	201
56772	201
82820	241
16415	216
56779	224
56768	241
56777	220
84345	220
34668	220
16736486	192
8111	180
642951	152
13300034	230
96965	197
33198	187
82783	231
34852	233
37000	212
37019	212
56765	254
39198	254
82740	229
56761	231
56756	231
56766	235
83413	233
34851	233
36976	212
56767	254
56763	256
5775	669
21106145	112
11422351	96
56787	207
35583	209
82807	190
56794	190
33386	228
33457	205
47912	211
82817	207
46893	209
33280	209
35582	190
33304	228
46263	207
553171	96
10488	45
34667	196
34871	179
34873	215
56784	194
34872	198
970	170
556589	131
29153	200
11917	348
204209	305
21106581	126
15827	208
70806	201
4437893	355
9824	153
2908	279
33407	282
36985	257
35205	259
15637	236
82821	282
8329	234
2625	332
86007	280
13835344	113
76154	110
73390	116
11773	90
11582	101
7172	112
2991	183
34853	256
37745	233
36978	235
34190	214
34191	256
36771	233
36710	235
56757	256
549017	231
84347	233
56764	237
56758	235
47914	214
56762	256
33984	256
33983	256
34860	246
82738	246
36982	248
36979	225
47915	269
56783	269
36981	269
37004	244
36980	248
222538	90
13848793	108
7176	113
7211	126
65523	90
13090	183
82751	297
36989	272
8800	187
62060	254
2975965	292
33282	243
46285	220
46284	224
82806	222
56776	203
47913	243
32952	243
45446	222
43353	243
56773	222
26325089	567
6588	130
2849146	90
10437335	116
33281	230
56786	209
56789	211
33456	192
46264	230
9187483	377
5978	12
10257	98
2699	348
5739	284
6577	194
8816	246
659	9
13835294	198
8817	280
526	113
7199	113
6514	263
36990	284
35912	284
45448	259
36987	261
36988	284
13860	69
33986	271
36983	269
36986	248
45447	244
35566	271
47916	271
46137	246
550258	250
33985	271
2928	290
8788	286
15484	312
20132	276
7315	263
6453	211
6753	189
9797	314
192748	178
8799	303
10437836	158
2121	161
34854	258
46136	258
82736	235
56759	237
36984	258
6621	83
17347	78
15517	105
56775	245
56770	224
11283	261
36029	305
35206	299
64155	153
34192	286
82822	286
8763	326
8804	313
5557	379
75956	308
6775	80
2246	318
5113	381
26325182	188
11672	100
105291	68
35108	273
29117	192
33316	260
5678	424
156255	36
18336	142
4449	54
12549	270
374462	30
13662	88
10437239	89
8351654	68
83191	466
5774	521
5145918	382
58496	670
92468	642
11439687	194
92494	578
91432	303
8124942	468
24722	592
133166	443
8101973	364
509179	438
67594	192
4228778	536
10162	577
4444479	696
4444107	418
21108577	138
5552	496
21486195	801
4911	402
75995	904
2424	137
4444362	1237
14441700	24
23055	24
14829	12
6093	6
13848808	99
21105897	127
6898	129
4268	204
8058	238
8060	282
7566	14
62310	157
6338	19
10498	24
6057	277
21105848	97
518	0
7546	25
7013	29
10292746	228
13835550	14
6128	9
175	9
6745	112
10343	134
2041618	147
10784857	228
274	6
6106	6
62826	41
8543	24
6630	63
13837787	76
10772140	19
6148	12
62589	45
7686	45
56144	55
7791	36
6105	6
13837537	36
21106570	89
6135	9
2927	277
8262	130
3548	240
11434292	105
7624	38
38403	72
2282428	29
9251	29
13571291	14
71312	29
11153	6
3973	41
75951	96
68832	54
92731	48
6102	6
76894	178
4624	383
7794	76
70850	19
11811	24
7777	38
15482	150
7856	96
8562	54
7730	24
654	6
2062437	29
13837280	19
72551	122
7630	38
23208	6
11864	74
11845	54
454215	29
9254	29
9253	29
83734	29
553742	14
15077490	29
2018460	43
22191	72
72793	94
12442	14
2018165	19
7406	140
2271976	435
1448	123
21782117	228
12209	38
9286	24
391	0
4514529	0
16641	6
6125	9
6104	6
11911	24
6119	9
7551	14
15427	107
9256	29
4444553	417
10652594	161
21106179	9
71390	9
107412	41
558928	14
24641	118
2916	6
558875	14
2297441	181
29282	231
9120	135
12730	301
4471584	377
9088156	168
12456	122
17880	96
11806	24
7558	14
6095	6
6086	2
2293678	29
10364	60
29036	9
21111822	58
7681	45
13863618	67
12874	196
59483	84
2056044	88
3441	29
13638	64
11154	6
6326	19
10801842	81
4768	181
6774	97
20848	181
5932	464
10756	97
61149	84
6130	9
5977	9
13838404	9
7223	60
15495	193
5198	292
21105594	844
58234	73
21105591	696
12577	24
6145	12
6310	19
7606	31
23255	19
6123	9
8576	150
7851	96
15387	122
7811	54
7835	74
7769	38
7716	24
7564	14
6101	6
6089	2
217	0
13835977	14
7703	47
60329	38
7727	24
1609	38
6342	24
13869414	77
21106077	944
10481872	779
6179	29
7234	60
18941	213
4760	196
12705	181
11003	174
2169	166
10837	119
6916	206
8093	234
8030	205
12197	14
30713	24
6790	108
5027	151
552744	31
21112738	14
7677	45
48024	45
8319	99
26286843	325
29040	29
6132	9
6301	109
13850142	99
390927	99
19709	101
60121	90
13869434	67
13869462	67
13840647	63
13860491	67
9349	58
14620	181
14916	262
992	98
9016	29
8935	127
21106519	129
12133	166
4103087	134
5376	367
2760	639
9786472	775
196288	933
139025	1111
60858	234
12933	140
10181341	92
7736	20
447	67
4759	196
33617	196
30881	214
4447447	328
28552	214
3438	721
3544	203
4444102	355
21106059	636
10675065	63
4514586	0
13854944	31
13860641	67
13853758	88
21159695	102
21106525	77
13854136	54
13835151	58
10991	71
13860692	54
29008	20
13860775	67
4745	286
13303	166
7466	45
11699	83
4366810	122
10422	96
11695	61
13869480	71
10892	89
13849981	109
15093	115
206493	116
13842001	54
13854248	54
11961	76
6002	435
7480	53
21106058	783
13836399	74
5889	45
299166	88
6835	168
3534	393
5162	418
75662	894
21106365	180
499714	49
558917	122
11629	109
14627	99
512621	50
3693	304
5026296	73
13836021	24
1087	6
4514549	0
13302	154
256210	108
13849989	122
15016	486
13836591	38
2654	301
13856352	81
15520	1024
3841535	333
18717	43
455353	96
16778	54
7705	47
7728	24
59447	45
7528	58
13835459	36
13848467	107
13869451	54
13871489	170
13869339	58
13860817	67
21111772	80
13853943	76
21106518	80
6658	85
11369	76
11180	29
11739	56
11056	38
6146	12
11194	41
6165	24
11216	52
62230	61
11210	41
11732	38
7459	45
11024	45
5830	81
57726	91
72556	135
11610	118
124	115
238	69
15803	95
7026	29
7678	45
9970	53
13837686	54
10008	45
6807	181
21108576	88
11488212	95
27749	201
3216	362
4470736	676
4343	453
8103122	354
3652	414
49179	632
5791	349
70660	122
15954	54
11819	56
7622	38
99440	45
11239	24
11543	54
10790	36
15486	135
18920	87
11861	111
123993	61
11036	63
11029	61
11794	47
10511	65
21011	31
11678	45
3644	9
6320	19
10947	29
10787	36
11793	47
7236	60
55443	167
453675	201
69340	135
10992	71
5439	31
71193	99
2700	333
10251740	51
7190	88
11525	29
4481813	14
13871721	24
6974	54
16804	102
11778	63
11954	76
13860720	67
76394	77
7131	69
13876103	128
13871718	107
4575338	289
2937774	140
206561	113
7310	146
