Compound Id	PetitjeanShapeIndex [topoShape]
7081	1.0
6313	0.5
9903	0.333
55123	1.0
12012	0.75
7534	1.0
10791	1.0
11125	1.0
7782	0.667
6316	0.5
9325	0.333
123860	0.8
28986	1.0
6335	0.5
7616	1.0
7129	0.667
10788	1.0
7621	1.0
8329688	0.5
10777	0.5
441	1.0
7838	0.75
5949	1.0
29029	0.8
7772	0.667
256	1.0
512	0.5
21169510	0.667
7676	0.333
13875281	0.333
7220	0.667
7248	0.667
11661	1.0
12674	0.75
8097	0.667
12972	1.0
9976	1.0
7514	1.0
215929	0.75
11025	0.667
7734	1.0
7016	1.0
1095	0.0
2038738	0.667
12259	0.667
13836589	0.667
172	1.0
13836520	1.0
13875230	0.333
18219	1.0
10801109	1.0
29004	0.333
7871	1.0
21153	0.833
7802	0.75
12218	0.8
12632	1.0
7760	1.0
11095	0.667
21106173	0.333
7607	1.0
13866746	0.667
7577	0.5
7506	1.0
9228	0.667
7239	0.667
11647	1.0
7530	0.667
1266019	1.0
109838	1.0
6321	0.5
13874867	0.667
6314	0.5
4510484	1.0
62530	1.0
13842613	0.333
7391	1.0
7242	0.667
26325086	0.333
13862665	0.667
15443	0.667
124968	0.333
9581	0.667
66809	0.667
221082	1.0
13875320	0.333
6642	0.25
13835376	0.75
127750	0.75
13857694	0.333
7673	0.333
7662	0.333
363458	0.333
7684	0.333
61111	0.333
13875196	1.0
11042	0.667
24972	0.667
28992	0.667
13875160	0.667
13875258	0.667
9994	0.0
29015	0.0
4446445	1.0
4444608	1.0
394562	1.0
13839199	0.333
18724	0.667
7238	0.667
21105959	0.667
13866817	0.667
13875392	0.333
13839575	1.0
6322	0.5
558020	0.333
21132380	0.333
13677	1.0
65750	1.0
63903	1.0
10940	0.333
13865438	1.0
13868640	0.667
29001	1.0
21106135	0.667
13837988	0.333
10400	0.8
8067	0.25
13839109	0.75
21105905	0.667
11077	0.333
906	0.667
13865426	1.0
10710415	1.0
21106560	0.667
20843	0.333
15965	1.0
70682	0.8
13658	0.667
11862	0.75
7710	1.0
7809	1.0
7765	0.667
6794	1.0
26516	1.0
17131	1.0
21106520	0.333
924	0.667
13862559	0.667
6788	1.0
13861343	0.5
73412	0.667
8904	0.0
13874733	0.333
24535	1.0
25552	0.667
10437215	0.75
11087	0.333
10909	0.75
10918	1.0
15489	1.0
2441	1.0
10939	0.333
11784	0.333
8868	0.333
7518	0.667
21106019	1.0
24533	0.667
1020	0.0
2039535	1.0
8374	0.8
21106586	1.0
11756	1.0
71089	0.333
7688	0.333
8902	0.0
10937	0.333
6897	0.75
17443	0.667
6883	1.0
11785	0.333
7240	0.667
503239	0.667
21106571	0.667
10908	0.5
3463	1.0
16388	0.8
6828	0.75
7161	1.0
8141	0.5
7679	0.333
4444456	1.0
66996	0.333
13840690	0.667
11667	1.0
13864445	0.333
21108548	0.667
21106163	0.667
14256731	1.0
6311	0.5
30595	1.0
13865424	1.0
13229	1.0
7175	0.75
7157	1.0
917	1.0
13875356	0.333
12044	0.75
12682	0.75
71628	1.0
9363	0.333
6296	0.333
70715	0.333
62632	1.0
78998	0.875
11884	0.857
16177	1.0
15853	0.833
67360	1.0
11866	0.75
15846	0.8
29026	1.0
11846	1.0
7770	0.667
7717	1.0
62808	0.333
21106366	1.0
7420	0.75
21168831	1.0
455090	0.667
71437	0.333
13063	0.75
558878	1.0
25886	1.0
71430	1.0
559096	0.6
13868660	0.667
707	0.25
387	0.5
10018	0.0
61001	1.0
20570	0.667
21106540	0.667
15855	1.0
7790	0.0
8903	0.0
