Compound Id	WeightedPath [WTPT-4]
502855	10.540
6191	0.0
26325183	6.292
5709	4.815
6153	0.0
16425	0.0
8521	11.455
23150	2.768
8520	8.553
66656	2.764
26824	8.656
18019	11.776
26325084	26.048
6190	0.0
11919	0.0
10696	11.604
26325083	23.146
10451	14.509
23101	5.653
122090	5.726
26325082	20.244
26325081	17.342
10449	17.412
26325080	14.440
66655	2.804
14021447	11.538
67991	2.768
109705	0.0
17619	2.759
692	2.0
291	0.0
6084	0.0
6094	0.0
7555	0.0
6120	0.0
7712	0.0
6308	0.0
9646	0.0
10781	0.0
15802	0.0
17976	0.0
7767	0.0
7604	0.0
7010	0.0
6163	0.0
6340	0.0
8560	0.0
11094	0.0
11023	0.0
11055	0.0
10786	0.0
7619	0.0
10755	0.0
11551	0.0
349	0.0
11035	0.0
11104	0.0
10795	0.0
10445	0.0
7849	0.0
17558	0.0
13439	0.0
13402	0.0
14840	0.0
13448	0.0
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
8878	0.0
11585	5.182
11557190	8.636
10452	8.683
108106	12.273
127983	2.0
78828	5.735
68328	2.841
67414	9.184
13837650	0.0
13853215	0.0
9392	0.0
10765	0.0
7674	0.0
14998	2.737
10614293	0.0
6156	0.0
12201	0.0
11109	0.0
24142	0.0
13622	0.0
16180	0.0
7891	0.0
12446	0.0
29025	0.0
12635	0.0
11121	0.0
7713	0.0
12809	0.0
7833	0.0
7556	0.0
7954	0.0
555074	0.0
7957	0.0
4516601	0.0
56442	0.0
4483639	0.0
4516599	0.0
4512361	0.0
4483638	0.0
4449912	0.0
4512642	0.0
18410	0.0
22408	0.0
66675	0.0
10113	0.0
9484	0.0
6085	0.0
7024	0.0
15438	0.0
8896	0.0
14751	0.0
221117	0.0
7787	0.0
8908	0.0
8909	0.0
8910	0.0
71433	0.0
22814	0.0
9095782	0.0
6151	0.0
6188	0.0
11099	0.0
73583	0.0
7340	0.0
8158	0.0
11110	0.0
9642	0.0
11996	2.737
10756390	11.939
62827	0.0
7626	2.759
10265264	0.0
56117	5.585
11230	0.0
63631	0.0
11086	0.0
11841	2.880
6402	0.0
1406720	0.0
1114	0.0
14692	0.0
10179173	0.0
21800	0.0
8544	0.0
7788	0.0
4927801	15.346
10325078	0.0
55188	2.628
68224	11.939
24263	0.0
6364	0.0
11749	2.647
14672	2.591
11228	2.587
11857	0.0
391428	0.0
10733068	14.928
454638	0.0
9990	0.0
6309	0.0
7557	0.0
558883	0.0
56020	0.0
10124	0.0
6111	0.0
10265270	0.0
14198	0.0
7180	0.0
9411	5.223
6149	0.0
15765	0.0
553642	0.0
15413	8.542
7182	0.0
10669	0.0
8569	2.927
12220	2.963
7823	2.854
11849	2.817
10441	2.561
3168	2.707
11833	2.670
455420	2.703
10709	2.634
10179239	0.0
11761	0.0
6108	0.0
69914	8.934
59573	5.255
11671339	8.934
7956	2.414
55090	0.0
10053	0.0
28993	0.0
10054	0.0
9461	2.795
16791	0.0
11117	0.0
205483	2.478
10979	0.0
61346	0.0
6186	0.0
69371	0.0
69569	5.653
7181	0.0
99596	0.0
11351244	0.0
16841	0.0
61266	0.0
6187	0.0
2656	2.981
6827	0.0
20939	0.0
7817	2.817
11788	0.0
13835316	0.0
6270	11.609
454209	0.0
9633	0.0
9377	0.0
9243	0.0
11148	0.0
923	2.207
6121	0.0
6315	0.0
6118	0.0
8577	0.0
14349	0.0
7852	0.0
14680	0.0
7776	0.0
7330	0.0
6122	0.0
7732	2.707
11729	0.0
6307	0.0
13255	2.895
10512	0.0
13837797	2.854
6098	0.0
10536	0.0
7827	0.0
9233	0.0
18607	0.0
5730	0.0
10526	0.0
120464	0.0
24590970	0.0
7733	2.707
7850	0.0
11865	0.0
7714	0.0
10437	0.0
6097	0.0
12219	0.0
7848	0.0
61487	0.0
11863	0.0
7810	0.0
7766	0.0
7711	0.0
7552	0.0
6092	0.0
12010	0.0
11830	0.0
10497	0.0
31029	0.0
6100	0.0
12228	0.0
6042	0.0
13836713	0.0
13803	7.993
7815	0.0
7560	0.0
6103	0.0
6635	0.0
6087	0.0
7721	0.0
6083	0.0
1039	0.0
6088	0.0
13837281	0.0
56232	2.353
5979	0.0
13837190	5.268
7074	5.326
7170	0.0
10534	0.0
10410	0.0
68503	8.102
14694	0.0
7090	0.0
7028	2.891
10487	0.0
13492	0.0
15747	0.0
8356	0.0
18971812	0.0
14688	2.354
71876	5.395
7128	0.0
7183	0.0
7088	0.0
15461	0.0
13299573	0.0
7073	5.326
2340753	0.0
8554	2.938
10340	2.891
13487	0.0
7385	0.0
8531	0.0
7448	0.0
764	4.990
10325184	0.0
6406	5.039
12066	5.75
7738	2.875
10404	0.0
7419	0.0
7219	0.0
11660	0.0
6999	0.0
18688	5.223
7737	2.875
1108	0.0
236	0.0
7521	0.0
7641	0.0
7659	0.0
11871	0.0
55130	5.290
10433	5.305
11992	5.231
10253	0.0
60886	0.0
83962	5.356
12161	10.803
7671	5.209
10446	5.118
62249	5.042
11526	7.653
7672	0.0
7786	0.0
8335	0.0
7657	5.268
22453	5.259
7065	5.220
13875283	0.0
