Compound Id	ZagrebIndex
10791	26.0
11125	22.0
7782	18.0
6316	16.0
9325	36.0
123860	34.0
28986	28.0
6335	16.0
7616	20.0
7129	40.0
10788	26.0
7621	26.0
8329688	24.0
10777	22.0
441	30.0
7838	26.0
5949	22.0
29029	34.0
7772	18.0
256	14.0
512	10.0
21169510	38.0
7676	30.0
13875281	36.0
7220	34.0
7248	40.0
11661	40.0
12674	58.0
8097	50.0
12972	44.0
9976	36.0
7514	28.0
215929	32.0
11025	24.0
7734	14.0
7016	20.0
1095	20.0
2038738	34.0
12259	54.0
13836589	18.0
172	6.0
13836520	34.0
13875230	36.0
18219	14.0
10801109	62.0
29004	42.0
7871	44.0
21153	48.0
7802	32.0
12218	40.0
12632	36.0
7760	28.0
11095	24.0
21106173	42.0
7607	20.0
13866746	54.0
7577	10.0
7506	42.0
9228	36.0
7239	34.0
11647	44.0
7530	36.0
1266019	56.0
109838	22.0
6321	16.0
13874867	30.0
6314	16.0
4510484	32.0
62530	38.0
13842613	36.0
7391	38.0
7242	34.0
26325086	44.0
13862665	24.0
15443	34.0
124968	30.0
9581	40.0
66809	34.0
221082	38.0
13875320	36.0
6642	60.0
13835376	26.0
127750	26.0
13857694	36.0
7673	30.0
7662	42.0
363458	30.0
7684	30.0
61111	30.0
13875196	40.0
11042	36.0
24972	42.0
28992	36.0
13875160	36.0
13875258	36.0
9994	16.0
29015	24.0
4446445	30.0
4444608	22.0
394562	14.0
13839199	30.0
18724	48.0
7238	34.0
21105959	40.0
13866817	36.0
13875392	36.0
13839575	30.0
6322	16.0
558020	30.0
21132380	36.0
13677	60.0
65750	46.0
63903	38.0
10940	36.0
13865438	40.0
13868640	36.0
29001	26.0
21106135	40.0
13837988	36.0
10400	66.0
8067	60.0
13839109	32.0
21105905	34.0
11077	36.0
906	50.0
13865426	34.0
10710415	34.0
21106560	34.0
20843	36.0
15965	52.0
70682	34.0
13658	48.0
11862	26.0
7710	14.0
7809	22.0
7765	18.0
6794	48.0
26516	38.0
17131	60.0
21106520	30.0
924	40.0
13862559	42.0
6788	56.0
13861343	30.0
73412	18.0
8904	24.0
13874733	30.0
24535	50.0
25552	44.0
10437215	42.0
11087	30.0
10909	62.0
10918	62.0
15489	64.0
2441	66.0
10939	36.0
11784	30.0
8868	46.0
7518	36.0
21106019	40.0
24533	34.0
1020	24.0
2039535	38.0
8374	56.0
21106586	40.0
11756	20.0
71089	30.0
7688	30.0
8902	24.0
10937	36.0
6897	48.0
17443	34.0
6883	44.0
11785	30.0
7240	34.0
503239	40.0
21106571	48.0
10908	62.0
3463	108.0
16388	68.0
6828	58.0
7161	52.0
8141	26.0
7679	30.0
4444456	14.0
66996	30.0
13840690	34.0
11667	40.0
13864445	42.0
21108548	36.0
21106163	48.0
14256731	56.0
6311	16.0
30595	50.0
13865424	40.0
13229	44.0
7175	50.0
7157	50.0
917	60.0
13875356	36.0
12044	64.0
12682	68.0
71628	32.0
9363	30.0
6296	50.0
70715	30.0
62632	62.0
78998	58.0
11884	50.0
16177	46.0
15853	42.0
67360	38.0
11866	26.0
15846	34.0
29026	30.0
11846	22.0
7770	18.0
7717	14.0
62808	30.0
21106366	44.0
7420	42.0
21168831	38.0
455090	40.0
71437	68.0
13063	60.0
558878	42.0
25886	32.0
71430	40.0
559096	98.0
13868660	36.0
707	60.0
387	22.0
10018	24.0
61001	64.0
20570	40.0
21106540	48.0
15855	52.0
7790	24.0
8903	24.0
62489	34.0
8899	20.0
13634	34.0
13630	30.0
553578	42.0
66565	36.0
10437135	38.0
66021	30.0
7221	34.0
7383	38.0
6339	22.0
6736	56.0
10851	62.0
10850	62.0
23977588	116.0
24043	24.0
12069	32.0
191367	28.0
11799	24.0
7615	20.0
11265	36.0
67653	34.0
21106032	18.0
1348	26.0
66896	80.0
62534	44.0
62408	44.0
7389	38.0
38364	42.0
12045	64.0
2003	120.0
17784	38.0
12637	42.0
21106524	40.0
13875212	36.0
19475	20.0
13647	40.0
21168826	40.0
6780	50.0
10841	62.0
25889	30.0
25890	44.0
10227261	66.0
220998	48.0
12954	40.0
13851576	34.0
12047	64.0
16736498	116.0
6478	68.0
8912	48.0
10849	62.0
11038	36.0
89076	76.0
199342	72.0
19477	32.0
6287	44.0
13811	48.0
14169248	32.0
10437074	30.0
21105878	44.0
21168813	46.0
235	34.0
8186	46.0
13872122	42.0
8098	50.0
6737	56.0
6789	56.0
15861	68.0
4445317	68.0
11632	32.0
13885245	52.0
8674	44.0
7132	40.0
11783	30.0
27488	42.0
10813	62.0
7202	50.0
30516	36.0
26325090	34.0
21112023	46.0
13876539	38.0
68676	56.0
551	72.0
11776	42.0
66895	64.0
66887	60.0
9893	48.0
63518	56.0
59482	52.0
6881	44.0
13839308	38.0
10586285	80.0
218253	64.0
7689	30.0
63310	48.0
7299	62.0
10829	62.0
12957	24.0
84036	28.0
68152	34.0
24041	32.0
19953955	22.0
14556	48.0
21106140	58.0
1361549	64.0
10831	62.0
23886	70.0
33421	70.0
70714	30.0
15755	62.0
14995	62.0
14994	62.0
67470	62.0
15476	62.0
15756	62.0
6592	72.0
21943	28.0
10106	56.0
19956441	26.0
11930	32.0
10384035	38.0
65936	34.0
14227	46.0
11584	50.0
13867714	58.0
19957731	38.0
120489	34.0
7302	62.0
16387	68.0
502245	64.0
5708	24.0
16159	26.0
13648	40.0
13835126	46.0
34863	76.0
23730	20.0
23621376	18.0
21106146	46.0
12231	36.0
