Compound Id	ALOGP [AMR]
6313	21.381
9903	12.642
55123	29.901
12012	26.990
7534	37.689
10791	30.880
11125	24.078
7782	21.167
6316	25.24
9325	1.745
123860	39.708
28986	32.065
6335	17.413
7616	21.105
7129	14.429
10788	28.935
7621	29.587
8329688	23.878
10777	25.857
441	31.3
7838	28.388
5949	25.477
29029	34.211
7772	22.565
256	19.653
512	16.742
21169510	37.221
7676	5.616
13875281	11.118
7220	10.147
7248	15.649
11661	15.649
12674	20.441
8097	15.554
12972	43.711
9976	37.888
7514	32.065
215929	34.977
11025	29.153
7734	17.635
7016	26.242
1095	23.041
2038738	6.199
12259	27.511
13836589	24.056
172	11.718
13836520	30.920
13875230	11.118
18219	34.774
10801109	46.910
29004	30.225
7871	41.6
21153	44.511
7802	32.865
12218	38.688
12632	35.776
7760	29.953
11095	27.042
21106173	30.225
7607	24.130
13866746	4.363
7577	13.341
7506	48.385
9228	6.488
7239	13.490
11647	29.672
7530	36.038
1266019	60.449
109838	28.350
6321	21.218
13874867	27.308
6314	20.723
4510484	39.005
62530	13.262
13842613	11.465
7391	11.610
7242	8.810
26325086	31.645
13862665	26.576
15443	27.554
124968	1.157
9581	8.188
66809	7.316
221082	16.051
13875320	14.101
6642	33.013
13835376	32.644
127750	31.882
13857694	11.231
7673	8.599
7662	16.847
363458	28.352
7684	29.063
61111	0.873
13875196	8.188
11042	11.235
24972	17.197
28992	11.465
13875160	11.118
13875258	14.101
9994	13.955
29015	22.087
4446445	35.623
4444608	29.8
394562	22.270
13839199	5.733
18724	19.127
7238	7.316
21105959	12.818
13866817	11.231
13875392	14.101
13839575	35.1
6322	20.843
558020	1.184
21132380	11.235
13677	10.351
65750	19.499
63903	13.676
10940	11.235
13865438	12.818
13868640	17.198
29001	26.09
21106135	12.818
13837988	11.231
10400	7.551
8067	33.694
13839109	32.750
21105905	10.351
11077	11.004
906	0.0
13865426	31.602
10710415	32.135
21106560	10.351
20843	11.465
15965	19.814
70682	44.092
13658	22.93
11862	38.269
7710	29.534
7809	35.357
7765	32.446
6794	22.879
26516	23.110
17131	21.947
21106520	5.502
924	14.291
13862559	16.847
6788	5.502
13861343	24.603
73412	29.462
8904	0.0
13874733	5.502
24535	24.866
25552	17.621
10437215	15.142
11087	13.946
10909	11.004
10918	11.004
15489	5.616
2441	43.763
10939	29.524
11784	5.616
8868	1.619
7518	14.215
21106019	11.910
24533	8.810
1020	0.0
2039535	11.610
8374	22.726
21106586	36.407
11756	15.231
71089	5.899
7688	5.733
8902	0.0
10937	11.004
6897	16.282
17443	7.316
6883	11.988
11785	5.616
7240	10.147
503239	14.291
21106571	22.462
10908	11.004
3463	75.801
16388	53.217
6828	0.0
7161	46.593
8141	20.268
7679	23.179
4444456	25.277
66996	5.992
13840690	10.328
11667	12.931
13864445	16.847
21108548	14.819
21106163	22.462
14256731	55.131
6311	21.285
30595	17.491
13865424	11.796
13229	46.617
7175	17.491
7157	17.491
917	22.528
13875356	17.198
12044	5.502
12682	16.506
71628	38.339
9363	1.184
6296	42.646
70715	8.801
62632	54.497
78998	51.586
11884	45.763
16177	42.851
15853	39.939
67360	37.028
11866	28.293
15846	34.116
29026	31.205
11846	25.381
7770	22.470
7717	19.558
62808	0.873
21106366	15.320
7420	18.105
21168831	14.780
455090	14.291
71437	48.503
13063	10.351
558878	50.239
25886	38.376
71430	28.429
559096	59.381
13868660	19.562
707	54.081
387	18.992
10018	19.808
61001	17.205
20570	14.291
21106540	22.462
15855	46.593
7790	17.559
8903	0.0
62489	7.316
8899	7.794
13634	10.147
13630	8.599
553578	50.239
66565	2.367
10437135	11.610
66021	6.102
7221	10.147
7383	17.763
6339	42.030
6736	5.502
10851	11.004
10850	11.004
23977588	76.989
24043	28.037
12069	25.960
191367	23.049
11799	20.137
7615	17.226
11265	39.048
67653	38.125
21106032	26.479
1348	8.595
66896	41.998
62534	12.944
62408	12.944
7389	7.442
38364	19.830
12045	5.502
2003	78.029
17784	38.148
12637	35.580
21106524	11.796
13875212	17.198
19475	23.743
13647	21.753
21168826	11.796
6780	0.0
10841	11.004
25889	33.843
25890	44.437
10227261	59.528
220998	47.349
12954	41.525
13851576	13.311
12047	5.502
16736498	76.989
6478	9.731
8912	44.174
10849	11.004
11038	22.545
89076	74.214
199342	39.529
19477	35.082
6287	40.980
13811	49.905
14169248	32.587
10437074	5.616
21105878	14.632
21168813	16.273
235	6.294
8186	16.273
13872122	21.088
8098	0.0
6737	5.616
6789	5.616
15861	16.506
4445317	62.281
11632	35.702
13885245	20.831
8674	14.632
7132	10.770
11783	8.599
27488	19.830
10813	11.004
7202	14.218
30516	38.614
26325090	33.326
21112023	11.643
13876539	10.843
68676	23.220
551	1.619
11776	25.797
66895	30.352
66887	27.440
9893	18.706
63518	24.529
59482	21.617
6881	15.794
13839308	10.748
10586285	13.876
218253	5.616
7689	6.102
63310	35.763
7299	4.601
10829	11.004
12957	27.876
84036	32.170
68152	33.854
24041	33.7
19953955	22.562
14556	16.282
21106140	29.533
1361549	34.891
10831	11.004
23886	11.231
33421	11.231
70714	8.599
15755	11.231
14995	11.231
14994	11.231
67470	11.231
15476	11.231
15756	11.231
6592	4.601
21943	30.788
10106	51.576
19956441	25.474
11930	32.729
10384035	11.610
65936	6.199
14227	16.386
11584	20.588
13867714	0.0
19957731	34.209
120489	7.316
7302	1.619
16387	48.556
502245	24.854
5708	28.638
16159	34.205
13648	10.770
13835126	16.386
34863	16.847
23730	24.344
23621376	19.030
21106146	9.392
12231	32.942
15619	16.506
15789876	73.972
7224	6.199
11600	13.646
21106144	9.392
13863774	9.392
7138	3.89
6604	11.231
25677	22.462
6840	6.220
12816	6.294
21111781	13.610
15475	11.231
15477	11.231
15478	11.231
15524	11.231
158870	16.847
157093	16.847
83374	16.847
457144	16.847
135925	16.847
457145	16.847
8807	10.319
19476	29.213
28969	11.716
13863629	7.913
7278	16.538
13644	10.770
21106014	11.910
6852	7.316
6735	8.599
30572	29.444
21106013	9.506
26260	16.506
4932499	22.008
12586	55.533
7964	51.362
6193	54.274
15620	16.506
11708	27.892
13859497	13.766
9943	6.294
456015	13.490
63906	14.893
15621	16.506
11632871	58.129
13856009	10.770
8876	0.0
21106020	9.506
15488	5.616
84188	16.847
136000	16.847
135983	16.847
136001	16.847
136002	16.847
136003	16.847
84235	16.847
82755	22.462
82712	22.462
157094	22.462
103011	22.462
102798	22.462
82762	22.462
13849665	71.776
24326358	36.489
5894	20.051
68437	16.506
26010	11.231
30600	11.231
33455	11.231
33934	11.231
33932	11.231
34866	16.847
34665	16.847
34664	16.847
37904	16.847
34864	16.847
34188	16.847
34865	16.847
11974	34.396
33416	55.218
