Compound Id	Binding affinity
1a	7.17587
1b	7.60206
1c	7.07935
1d	7.5376
1e	7.74473
1f	7.47756
1g	7.90309
1h	7.90309
1i	7.84466
1j	7.77728
2a	7.67162
2b	7.17587
2c	6.95468
2d	7.39794
2e	7.69897
2f	7.77728
2g	8.1463
2h	8.1463
2i	8.11407
2j	7.95468
3a	5.90309
3b	5.95468
3c	6.30103
3d	6.30103
3e	6.17587
3f	6
3g	6.17587
3h	6.25493
3i	6.50446
3j	5.95468
4a	6.69897
4b	7.47756
4c	7.17587
4d	7.30103
4e	7.30103
4f	6.65365
4g	6.84466
4h	7
4i	7.17587
4j	6.47756
