Compound Id,A
18,0.9
65,0.56
71,1.22
78,0
123,0.49
124,0.313
132,0.883
171,0.62
172,0
173,0.55
175,0.04
185,0.9
191,0.704
217,0.16
230,0.586
235,0
236,0
238,0.315
256,0
258,0.37
259,0.61
274,0.05
278,0.76
291,0
305,0.5
331,0.643
349,0
361,1.63
370,0.62
376,1.1
387,0
391,0.1
392,0.66
415,0.43
434,0.691
440,0.94
441,0
447,0.22
512,0
518,0.03
526,0
551,0
577,0.6
592,0.72
654,0.08
659,0
682,0.37
692,0
693,0.64
707,0
733,0.47
744,0.97
748,0.4
763,0.78
764,0
768,0.65
773,0.42
776,0.44
789,1.376
844,0.99
864,0.43
880,0.417
906,0
913,0.931
917,0
923,0
924,0
932,0.37
937,0.82
953,0.485
955,0.82
960,0
967,0.61
970,0
971,0.6
992,0.208
1004,0.37
1005,0.61
1015,0.78
1019,0.54
1020,0
1039,0
1043,1.3
1078,0.984
1087,0.28
1095,0
1108,0
1114,0
1141,0.43
1143,0.83
1151,0.9
1253,1.187
1262,0.416
1278,0
1348,0
1446,1.06
1448,0.09
1577,0.94
1609,0.16
1664,0.43
1710,0.85
1906,0.756
2003,0
2068,0.54
2075,0
2079,0.59
2121,0
2157,0.398
2169,0.17
2185,0
2206,0.58
2241,0.49
2246,0
2275,0
2424,0
2441,0
2457,0.449
2581,0.37
2606,0.59
2625,0
2654,0.29
2656,0
2699,0
2700,0.33
2760,0.21
2863,0.62
2908,0
2915,0
2916,0.11
2923,0
2925,0.55
2927,0.06
2928,0
2991,0
3008,0.534
3168,0
3210,0.374
3216,0.32
3277,0.62
3322,0.456
3350,1.081
3438,0.221
3441,0.13
3463,0
3513,0.96
3534,0.26
3544,0.225
3548,0.06
3584,0.57
3631,0
3644,0.33
3652,0.32
3693,0.275
3741,0.5
3756,0.62
3918,0
3951,0.62
3973,0.07
4067,1.34
4268,0.01
4333,0.561
4343,0.32
4380,0.743
4449,0
4489,0
4575,0.62
4590,0.393
4599,2.034
4611,0.535
4624,0.074
4744,0.57
4745,0.23
4759,0.22
4760,0.17
4768,0.13
4777,0.44
4878,1.09
4911,0
4962,0.62
4963,0.685
5004,1.1
5026,0.755
5027,0.18
5091,0.415
5113,0
5139,0.693
5142,1.039
5162,0.26
5198,0.15
5233,0.36
5236,0.5
5376,0.21
5439,0.33
5541,0.71
5542,0.46
5550,0.4
5551,0.385
5552,0
5553,1.06
5554,0.86
5557,0
5593,0.657
5596,0.61
5633,0.4
5660,0.5
5678,0
5708,0
5709,0
5730,0
5739,0
5768,2.19
5774,0
5775,0
5791,0.32
5807,0.54
5830,0.31
5882,0.778
5889,0.26
5894,0
5915,0.79
5932,0.14
5949,0
5976,0.46
5977,0.15
5978,0
5979,0
5993,0
6002,0.25
6013,0.81
6023,0
6033,0.55
6035,0.81
6040,0.37
6042,0
6045,1.67
6057,0.02
6066,1.06
6079,0.851
6083,0
6084,0
6085,0
6086,0.12
6087,0
6088,0
6089,0.16
6092,0
6093,0.01
6094,0
6095,0.12
6097,0
6098,0
6100,0
6101,0.16
6102,0.07
6103,0
6104,0.1
6105,0.06
6106,0.05
6108,0
6111,0
6118,0
6119,0.1
6120,0
6121,0
6122,0
6123,0.16
6125,0.1
6128,0.04
6130,0.15
6132,0.2
6135,0.06
6145,0.16
6146,0.31
6148,0.06
6149,0
6151,0
6153,0
6156,0
6163,0
6164,0.37
6165,0.31
6176,0
6177,0.61
6179,0.17
6186,0
6187,0
6188,0
6190,0
6191,0
6193,0
6270,0
6287,0
6296,0
6301,0.2
6307,0
6308,0
6309,0
6310,0.16
6311,0
6312,0.37
6313,0
6314,0
6315,0
6316,0
6320,0.33
6321,0
6322,0
6326,0.13
6330,0.55
6333,0.6
6334,0.4
6335,0
6338,0.02
6339,0
6340,0
6341,0.61
6342,0.16
6364,0
6371,0.99
6402,0
6406,0
6453,0
6478,0
6480,0.44
6492,0.93
6514,0
6524,0
6528,0
6550,0.4
6577,0
6586,0.65
6588,0
6592,0
6593,0.487
6600,0.45
6604,0
6610,0.48
6621,0
6630,0.05
6633,0.38
6635,0
6642,0
6646,0.54
6649,0.6
6658,0.3
6665,1.25
6674,0.64
6675,0.74
6688,0.46
6706,0.62
6720,0
6735,0
6736,0
6737,0
6739,0.66
6745,0.04
6753,0
6773,0
6774,0.13
6775,0
6780,0
6781,0
6788,0
6789,0
6790,0.18
6794,0
6807,0.32
6827,0
6828,0
6835,0.26
6838,0
6840,0
6842,0
6852,0
6855,0
6881,0
6883,0
6897,0
6898,0.01
6907,0.59
6916,0.176
6950,0.67
6967,0
6974,0.35
6977,0
6988,0.93
6999,0
7001,0.73
7003,0
7010,0
7012,0
7013,0.03
7016,0
7018,0.65
7021,0.45
7024,0
7026,0.32
7028,0
7029,0
7030,0
7042,0.82
7044,0.799
7064,0.61
7065,0
7073,0
7074,0
7076,0
7081,0
7088,0
7090,0
7092,0.55
7098,0.85
7128,0
7129,0
7131,0.351
7132,0
7138,0
7140,0.535
7142,1.127
7145,0.4
7146,1.56
7150,1.35
7151,0.71
7155,0.585
7157,0
7161,0
7170,0
7172,0
7175,0
7176,0
7180,0
7181,0
7182,0
7183,0
7189,0.79
7190,0.347
7199,0
7202,0
7208,1.03
7211,0
7219,0
7220,0
7221,0
7223,0.15
7224,0
7225,0
7234,0.17
7236,0.33
7238,0
7239,0
7240,0
7241,0
7242,0
7248,0
7278,0
7279,0.41
7299,0
7302,0
7310,0.36
7315,0
7330,0
7340,0
7383,0
7385,0
7389,0
7391,0
7397,0.44
7406,0.09
7419,0
7420,0
7434,0.37
7443,0.55
7448,0
7459,0.31
7463,0
7466,0.24
7469,0.61
7472,0
7475,0
7478,0
7480,0.252
7482,0
7506,0
7509,0
7511,0
7514,0
7515,0
7518,0
7521,0
7528,0.3
7530,0
7533,0.37
7534,0
7536,0
7538,0
7546,0.03
7551,0.1
7552,0
7553,0
7555,0
7556,0
7557,0
7558,0.12
7559,0
7560,0
7564,0.16
7566,0.02
7568,0.38
7577,0
7600,0.379
7604,0
7606,0.16
7607,0
7615,0
7616,0
7619,0
7621,0
7622,0.33
7624,0.07
7626,0
7627,0
7630,0.08
7636,0
7641,0
7657,0
7659,0
7662,0
7670,0
7671,0
7672,0
7673,0
7674,0
7676,0
7677,0.19
7678,0.32
7679,0
7681,0.12
7684,0
7685,0
7686,0.06
7688,0
7689,0
7694,0
7701,0.62
7703,0.16
7705,0.3
7706,0
7710,0
7711,0
7712,0
7713,0
7714,0
7716,0.16
7717,0
7721,0
7727,0.16
7728,0.3
7730,0.08
7732,0
7733,0
7734,0
7736,0.22
7737,0
7738,0
7739,0
7745,0.97
7747,0
7757,0
7760,0
7761,0
7765,0
7766,0
7767,0
7769,0.16
7770,0
7772,0
