Compound Id	Complementary Information Content, neighbor symmetry of the first order
1	2.5
2	2.01
3	2.52
4	2.52
5	2.52
6	1.96
7	2.66
8	2.58
9	1.82
10	2.66
11	2.66
12	2.66
13	2.66
14	2.17
15	1.89
16	2.58
17	2.17
18	1.63
19	1.75
20	1.92
21	1.34
22	1.38
23	1.38
24	1.38
25	1.38
26	1.38
27	1.38
28	1.61
29	1.61
30	1.61
31	1.61
32	1.61
33	1.61
34	1.73
35	1.73
36	2.05
37	2.05
38	2.05
39	2.13
40	2.66
41	2.55
42	1.55
43	1.55
44	1.89
45	1.89
46	1.89
47	2.58
48	2.93
