Compound Id	48-h Algal toxicity as log(1/EC50)
1	3.74
2	5.04
3	4.85
4	4.96
5	4.52
6	4.06
7	3.94
8	3.95
9	4.01
10	3.26
11	4.52
12	4.31
13	3.44
14	3.71
15	3.65
16	4.32
17	3.88
18	3.33
19	3.48
20	3.4
21	4.68
22	2.56
23	2.34
24	3.19
25	2.89
26	2.79
27	3.98
28	3.74
29	3.82
30	2.8
31	4.37
32	3.1
33	3.51
34	3.75
35	3.57
36	4.16
37	2.46
38	3.62
39	3.81
40	4.63
