Compound Id, LogBCF
1, 0.3
2, 0.78
3, 0.9
4, 1.59
5, 0.95
6, 1.74
7, 1.48
8, 1.83
9, 2.92
10, 3.83
11, 0.64
12, 1.12
13, 1.13
15, 1.24
17, 1.27
18, 1.5
20, 1.55
21, 2.65
22, 4.52
23, 1.64
24, 2.58
25, 2.59
26, 2.64
27, 2.83
28, 3.2
29, 3.23
31, 3.42
32, 3.43
34, 3.63
35, 3.66
36, 4
38, 2.48
39, 2.52
40, 2.65
41, 3.11
42, 3.26
43, 3.36
44, 3.38
45, 3.76
47, 3.86
48, 3.87
49, 4.26
50, 1.7
51, 2.8
52, 2.83
53, 3.04
54, 3.1
55, 3.66
56, 3.79
57, 3.85
58, 3.44
60, 3.63
61, 3.79
62, 4.04
64, 4.1
65, 4.4
66, 4.43
69, 3.26
70, 3.28
71, 3.37
72, 3.55
74, 3.78
75, 3.85
76, 3.9
79, 4.02
84, 4.63
86, 4.83
89, 4.87
90, 4.93
92, 5.08
93, 5.38
96, 5.43
98, 5.71
102, 5.82
105, 5.88
107, 5.93
108, 5.97
109, 3.93
110, 3.96
111, 4.19
112, 4.8
114, 2.36
115, 2.55
116, 2.76
117, 2.82
118, 3.16
119, 3.21
121, 3.36
123, 3.85
124, 4.06
127, 2.94
128, 3.34
129, 3.53
130, 3.62
131, 4.03
132, 0.91
137, 1.56
138, 1.57
139, 1.6
140, 1.67
141, 1.74
142, 1.86
144, 2.03
145, 2.15
146, 2.18
147, 2.33
149, 2.43
150, 2.45
151, 2.71
152, 2.71
153, 2.74
154, 3.78
155, 0.23
156, 0.34
157, 0.41
159, 1.48
160, 1.48
162, 2.17
165, 2.69
168, 2.79
169, 3.03
171, 1.48
172, 1.76
173, 2.07
174, 2.34
175, 2.66
176, 2.79
177, 2.89
178, 2.91
179, 3.39
180, -0.22
181, 0.18
182, 0.76
183, 1.04
184, 2.94
185, 2.94
186, 3.1
187, 4.18
188, 4.51
189, 0.16
193, 1.4
194, 1.6
198, 2
199, 2.05
204, 2.2
205, 2.23
206, 2.4
207, 2.88
208, 3.04
209, 3.2
210, 0.97
211, 1.56
212, 1.8
213, 2
214, 2.17
215, 2.37
216, 2.68
217, 3.05
218, 3.18
219, 3.78
220, 1.15
221, 1.22
222, 1.41
223, 1.41
224, 1.68
225, 2.03
226, 2.61
227, 2.84
228, 2.86
229, 2.95
230, 3.09
231, 3.62
232, 3.71
233, 4.14
234, 4.16
235, 4.57
236, 4.58
237, 4.71
238, 4.84
14, 1.19
16, 1.27
19, 1.55
30, 3.42
33, 3.48
37, 1.85
46, 3.77
59, 3.56
63, 4.04
67, 4.53
68, 2.69
73, 3.75
77, 4.02
78, 4.02
80, 4.2
81, 4.23
82, 4.25
83, 4.27
85, 4.77
87, 4.84
88, 4.84
91, 5
94, 5.4
95, 5.43
97, 5.54
99, 5.77
100, 5.81
101, 5.81
103, 5.84
104, 5.88
106, 5.92
113, 2.13
120, 3.24
122, 3.54
125, 4.5
126, 2.56
133, 1.03
134, 1.24
135, 1.25
136, 1.5
143, 1.97
148, 2.41
158, 0.57
161, 1.98
163, 2.31
164, 2.61
166, 2.7
167, 2.73
170, 3.17
190, 0.64
191, 0.91
192, 0.92
195, 1.84
196, 1.89
197, 1.89
200, 2.07
201, 2.07
202, 2.1
203, 2.16
