Compound Id,Liquid vapor pressure
PBDE-001,-0.788
PBDE-002,-0.893
PBDE-007,-1.775
PBDE-008,-1.863
PBDE-010,-1.558
PBDE-012,-1.924
PBDE-013,-1.947
PBDE-015,-2.007
PBDE-030,-2.341
PBDE-032,-2.648
PBDE-033,-2.75
PBDE-035,-2.857
PBDE-037,-2.991
PBDE-047,-3.496
PBDE-066,-3.623
PBDE-069,-3.398
PBDE-075,-3.308
PBDE-077,-3.807
PBDE-082,-4.189
PBDE-099,-4.166
PBDE-115,-4.52
PCB-001,0.28
PCB-002,-0.009
PCB-003,-0.029
PCB-004,-0.485
PCB-005,-0.831
PCB-006,-0.761
PCB-007,-0.733
PCB-008,-0.801
PCB-009,-0.733
PCB-010,-0.475
PCB-011,-1.061
PCB-012,-1.11
PCB-013,-1.08
PCB-014,-0.9
PCB-015,-1.139
PCB-016,-1.268
PCB-017,-1.148
PCB-018,-1.108
PCB-019,-0.936
PCB-020,-1.548
PCB-021,-1.558
PCB-022,-1.588
PCB-023,-1.308
PCB-024,-1.178
PCB-025,-1.428
PCB-026,-1.388
PCB-027,-1.228
PCB-028,-1.468
PCB-029,-1.35
PCB-030,-1.014
PCB-031,-1.461
PCB-032,-1.268
PCB-033,-1.578
PCB-034,-1.298
PCB-035,-1.858
PCB-036,-1.748
PCB-037,-1.898
PCB-039,-1.698
PCB-040,-2.005
PCB-041,-1.964
PCB-042,-1.934
PCB-043,-1.784
PCB-044,-1.894
PCB-045,-1.648
PCB-046,-1.728
PCB-047,-1.814
PCB-048,-1.814
PCB-051,-1.608
PCB-052,-1.794
PCB-053,-1.558
PCB-054,-1.411
PCB-055,-2.237
PCB-056,-2.367
PCB-060,-2.277
PCB-061,-1.917
PCB-063,-2.167
PCB-064,-1.884
PCB-065,-1.854
PCB-066,-2.207
PCB-067,-2.177
PCB-069,-1.754
PCB-070,-2.262
PCB-071,-2.044
PCB-072,-1.997
PCB-074,-2.137
PCB-075,-1.744
PCB-076,-2.217
PCB-077,-2.657
PCB-078,-2.502
PCB-079,-2.472
PCB-080,-2.262
PCB-081,-2.542
PCB-082,-2.537
PCB-083,-2.567
PCB-084,-2.434
PCB-085,-2.627
PCB-086,-2.557
PCB-087,-2.641
PCB-088,-2.224
PCB-090,-2.477
PCB-091,-2.314
PCB-092,-2.407
PCB-093,-2.184
PCB-095,-2.274
PCB-097,-2.607
PCB-098,-2.214
PCB-099,-2.524
PCB-101,-2.47
PCB-102,-2.274
PCB-103,-2.054
PCB-105,-3.058
PCB-106,-2.864
PCB-107,-2.904
PCB-108,-2.854
PCB-110,-2.737
PCB-112,-2.517
PCB-113,-2.537
PCB-114,-2.904
PCB-115,-2.667
PCB-116,-2.637
PCB-117,-2.607
PCB-118,-2.923
PCB-119,-2.557
PCB-120,-2.704
PCB-121,-2.317
PCB-122,-3.004
PCB-123,-2.884
PCB-124,-3.104
PCB-125,-2.717
PCB-126,-3.313
PCB-127,-3.113
PCB-128,-3.461
PCB-129,-3.353
PCB-130,-3.263
PCB-131,-2.9
PCB-132,-3.12
PCB-133,-3.073
PCB-134,-2.91
PCB-135,-2.94
PCB-136,-2.802
PCB-137,-3.543
PCB-138,-3.289
PCB-139,-2.92
PCB-141,-3.213
PCB-143,-3.05
PCB-144,-3
PCB-145,-2.532
PCB-146,-3.113
PCB-148,-2.72
PCB-149,-2.947
PCB-151,-2.75
PCB-153,-3.165
PCB-154,-2.76
PCB-155,-2.412
PCB-156,-3.659
PCB-157,-3.7
PCB-158,-3.213
PCB-163,-3.223
PCB-167,-3.55
PCB-168,-3.163
PCB-169,-4.18
PCB-170,-4.066
PCB-171,-3.727
PCB-172,-3.856
PCB-174,-3.743
PCB-175,-3.423
PCB-176,-3.288
PCB-177,-3.603
PCB-178,-3.363
PCB-179,-3.288
PCB-180,-3.881
PCB-181,-3.533
PCB-182,-3.533
PCB-183,-3.453
PCB-185,-3.493
PCB-186,-3.328
PCB-187,-3.512
PCB-188,-3.068
PCB-189,-4.316
PCB-190,-3.966
PCB-191,-3.986
PCB-192,-3.756
PCB-193,-3.866
PCB-195,-4.348
PCB-196,-4.218
PCB-197,-3.75
PCB-198,-4.168
PCB-199,-4.228
PCB-200,-4.03
PCB-201,-3.76
PCB-202,-3.28
PCB-203,-4.198
PCB-204,-3.81
PCB-205,-4.608
PCB-206,-4.964
PCB-207,-4.496
PCB-208,-4.516
PCDD-00,-0.29
PCDD-01,-1.12
PCDD-02,-1.14
PCDD-10,-2.03
PCDD-11,-2.09
PCDD-12,-2.61
PCDD-14,-2.97
PCDD-27,-3.72
PCDD-42,-4.24
PCDD-48,-3.93
PCDD-66,-5.57
PCDD-73,-6.22
PCDD-75,-6.73
PCDE-000,0.38
PCDE-001,-0.27
PCDE-002,-0.3
PCDE-003,-0.36
PCDE-005,-1.05
PCDE-007,-0.91
PCDE-008,-1.03
PCDE-009,-0.87
PCDE-010,-0.76
PCDE-012,-1.06
PCDE-013,-1.06
PCDE-014,-0.87
PCDE-015,-1.13
PCDE-017,-1.6
PCDE-021,-1.76
PCDE-022,-1.82
PCDE-023,-1.53
PCDE-024,-1.42
PCDE-025,-1.62
PCDE-028,-1.69
PCDE-029,-1.53
PCDE-030,-1.26
PCDE-031,-1.64
PCDE-032,-1.53
PCDE-033,-1.73
PCDE-035,-1.78
PCDE-037,-1.86
PCDE-038,-1.73
PCDE-039,-1.64
PCDE-041,-2.48
PCDE-042,-2.41
PCDE-047,-2.28
PCDE-048,-2.2
PCDE-049,-2.18
PCDE-055,-2.46
PCDE-056,-2.54
PCDE-060,-2.57
PCDE-061,-2.34
PCDE-062,-2.02
PCDE-063,-2.31
PCDE-064,-2.22
PCDE-065,-1.99
PCDE-066,-2.39
PCDE-067,-2.22
PCDE-068,-2.14
PCDE-070,-2.32
PCDE-071,-2.22
PCDE-074,-2.32
PCDE-075,-2.05
PCDE-077,-2.59
PCDE-079,-2.34
PCDE-081,-2.52
PCDE-082,-3.3
PCDE-085,-3.16
PCDE-087,-3.04
PCDE-089,-3.04
PCDE-090,-2.83
PCDE-091,-2.83
PCDE-097,-3
PCDE-099,-2.87
PCDE-100,-2.66
PCDE-101,-2.76
PCDE-102,-2.69
PCDE-105,-3.29
PCDE-108,-3
PCDE-109,-3
PCDE-110,-2.91
PCDE-114,-3.15
PCDE-115,-2.83
PCDE-116,-2.76
PCDE-117,-2.8
PCDE-118,-3.02
PCDE-119,-2.74
PCDE-120,-2.74
PCDE-123,-3.02
PCDE-126,-3.25
PCDE-128,-4.06
PCDE-130,-3.73
