Compound Id	TPSA
937	0.0
127983	17.07
217	0.0
692	17.07
763	40.46
748	23.79
23208	40.130
291	0.0
11148	0.0
391	0.0
274	34.14
923	51.210
6105	0.0
21106179	0.0
6086	0.0
864	20.23
8960	52.04
22814	0.0
6153	0.0
518	0.0
278	37.3
1087	34.14
16641	29.43
6085	0.0
6089	26.02
4514529	0.0
22408	0.0
9642	0.0
13571291	23.79
693	43.09
6087	0.0
11153	0.0
6084	0.0
6102	23.79
7568	23.79
172	17.07
6132	0.0
9243	0.0
2275	26.3
12066	18.46
10205670	37.3
10441	9.23
4937830	20.23
6111	0.0
6135	43.14
6083	0.0
6128	0.0
6123	26.02
9484	0.0
6095	0.0
7956	9.23
682	20.23
1019	0.0
9990	0.0
4514586	0.0
12577	0.0
9286	0.0
11727	29.43
16425	0.0
7577	26.3
171	37.3
1143	69.11
6098	0.0
9256	0.0
9994	9.23
7954	0.0
6101	26.02
654	12.03
6108	64.18
6104	0.0
8900	0.0
6191	0.0
21106169	20.23
21112738	0.0
7559	17.07
4481813	32.59
28994	29.1
173	43.09
6088	0.0
13835235	40.46
6130	0.0
6097	0.0
6314	17.07
11228	9.23
13836713	38.8
6151	0.0
6094	0.0
70850	12.03
11811	12.03
6145	26.02
6310	26.02
773	28.68
7738	13.14
5978	42.52
12197	0.0
7566	23.79
6093	0.0
512	17.07
13872989	20.23
175	17.07
2018165	0.0
6148	0.0
12640	0.0
8902	25.78
13835336	46.25
6103	38.8
1039	25.3
7030	35.53
6333	37.3
71390	0.0
6338	43.14
6092	0.0
2005981	84.13
21106015	20.23
19475	32.67
23730	32.67
7736	15.79
12442	0.0
16841	0.0
7557	0.0
7558	0.0
10772140	37.3
11154	0.0
13835977	26.02
1004	20.23
3644	20.23
13835550	52.04
13835316	0.0
553742	0.0
558928	0.0
1577	26.02
7790	27.69
2916	0.0
8899	41.130
6190	0.0
7734	26.3
1005	37.3
6335	26.3
5894	32.67
13836674	0.0
659	36.28
29008	12.03
11749	9.23
11910	17.07
7012	17.07
11065	17.07
6164	20.23
11239	20.23
5977	0.0
7330	0.0
62827	0.0
7546	12.53
7737	9.23
11756	52.370
4514549	0.0
3102535	24.11
363458	21.260
7556	0.0
56442	0.0
4449912	0.0
7957	0.0
7564	26.02
1114	3.24
7777	12.03
7606	26.02
8904	25.78
8903	25.78
6149	0.0
6125	0.0
29040	0.0
454215	0.0
7029	26.3
7739	28.24
9391	20.23
7733	9.23
394562	17.07
6322	17.07
60524	32.59
6330	43.09
6334	29.1
5993	20.310
6100	0.0
13837190	18.46
13835224	40.46
7728	29.46
13839553	40.46
558020	25.78
62808	25.78
124968	25.78
14829	0.0
21111820	28.24
10437	0.0
6121	0.0
558875	0.0
8544	0.0
7553	0.0
11526	35.53
592	57.53
10771217	37.3
10498	23.79
6119	0.0
81815	43.14
14694	0.0
30713	0.0
7555	0.0
6120	0.0
24043	32.67
19476	32.67
6177	37.3
8012	37.3
12957	32.67
13875283	0.0
1020	12.89
10340	13.14
12225	0.0
1348	17.82
844	74.6
29015	18.46
10018	18.46
7717	23.79
6311	23.79
7732	9.23
6321	17.07
13871721	20.23
62597	20.23
6313	17.07
256	17.07
9016	0.0
9254	0.0
14441700	0.0
61213	0.0
7727	35.25
13836021	32.26
8733	46.25
13863629	30.21
9363	12.89
61111	12.89
7560	38.8
11729	25.3
10606755	20.23
38403	9.23
7636	35.53
374462	52.04
3951	37.3
7616	26.3
552744	37.3
8896	0.0
7615	43.14
387	43.14
5439	52.32
13837650	0.0
13853215	0.0
9392	0.0
7552	0.0
6118	0.0
733	60.69
454209	0.0
66565	12.89
7817	9.23
7081	17.07
11809	20.23
