Compound Id	XLogP
937	-0.467
127983	0.028
217	0.0
692	0.021
763	-1.044
748	-0.357
23208	-0.816
291	0.739
11148	0.903
391	0.419
274	2.435
923	-0.095
6105	1.245
21106179	1.663
6086	0.418
864	-0.499
8960	-2.164
22814	0.0
6153	2.316
518	N/A
278	-0.316
1087	-0.543
16641	0.691
6085	1.262
6089	-0.566
4514529	0.512
22408	0.0
9642	3.335
13571291	0.320
693	-1.044
6087	1.04
11153	1.382
6084	1.478
6102	0.031
7568	0.268
172	0.334
6132	1.8
9243	1.261
2275	-0.139
12066	-0.243
10205670	0.020
10441	0.443
4937830	1.009
6111	1.707
6135	0.348
6083	1.378
6128	1.542
6123	0.317
9484	2.058
6095	1.017
7956	0.020
682	-0.076
1019	0.468
9990	1.616
4514586	0.85
12577	2.263
9286	2.028
11727	1.72
16425	2.25
7577	0.005
171	-0.08
1143	-1.686
6098	1.549
9256	2.544
9994	0.168
7954	1.786
6101	-0.143
654	-0.176
6108	1.777
6104	1.519
8900	0.002
6191	3.06
21106169	0.926
21112738	1.043
7559	0.293
4481813	0.577
28994	-0.526
173	-0.808
6088	1.578
13835235	-1.208
6130	1.937
6097	1.398
6314	0.474
11228	0.903
13836713	1.297
6151	2.59
6094	2.047
70850	0.707
11811	0.605
6145	0.734
6310	0.512
773	-0.109
7738	1.018
5978	0.090
12197	1.517
7566	0.284
6093	1.857
512	0.587
13872989	0.116
175	0.185
2018165	1.884
6148	2.195
12640	0.5
8902	0.934
13835336	-1.275
6103	1.305
1039	1.311
7030	0.202
6333	0.212
71390	2.275
6338	0.605
6092	1.736
2005981	-0.801
21106015	0.266
19475	0.178
23730	0.148
7736	0.822
12442	1.941
16841	2.681
7557	1.956
7558	1.481
10772140	0.157
11154	2.057
13835977	0.049
1004	0.282
3644	0.384
13835550	-1.342
13835316	1.933
553742	2.258
558928	2.258
1577	-0.533
7790	-0.159
2916	2.195
8899	0.723
6190	3.197
7734	0.428
1005	0.173
6335	0.241
5894	-0.275
13836674	1.390
659	-0.718
29008	0.330
11749	1.098
11910	1.081
7012	1.449
11065	1.664
6164	0.974
11239	1.039
5977	2.074
7330	2.074
62827	2.628
7546	0.628
7737	0.526
11756	0.876
4514549	1.05
3102535	0.639
363458	-0.116
7556	2.25
56442	2.31
4449912	2.31
7957	1.848
7564	0.215
1114	0.063
7777	1.174
7606	1.292
8904	0.004
8903	0.469
6149	2.727
6125	1.816
29040	3.019
454215	3.019
7029	0.219
7739	2.119
9391	1.386
7733	1.277
394562	0.817
6322	0.474
60524	0.428
6330	-0.555
6334	-0.290
5993	-0.384
6100	1.936
13837190	-0.033
13835224	-0.748
7728	-0.689
13839553	-0.850
558020	0.348
62808	0.428
124968	0.848
14829	2.332
21111820	2.231
10437	1.756
6121	1.695
558875	2.61
8544	2.329
7553	1.728
11526	0.412
592	-0.591
