Compound Id	LongestAliphaticChain
937	0
127983	0
217	0
692	0
763	0
748	0
23208	0
291	0
11148	0
391	0
274	0
923	0
6105	0
21106179	0
6086	0
864	0
8960	0
22814	0
6153	0
518	0
278	0
1087	0
16641	0
6085	0
6089	0
4514529	0
22408	0
9642	0
13571291	3
693	0
6087	0
11153	0
6084	0
6102	2
7568	2
172	2
6132	0
9243	0
2275	0
12066	0
10205670	2
10441	0
4937830	3
6111	0
6135	0
6083	0
6128	0
6123	0
9484	0
6095	3
7956	0
682	2
1019	0
9990	4
4514586	0
12577	2
9286	2
11727	0
16425	0
7577	0
171	2
1143	0
6098	0
9256	2
9994	0
7954	3
6101	0
654	0
6108	0
6104	0
8900	0
6191	2
21106169	2
21112738	3
7559	3
4481813	0
28994	0
173	0
6088	0
13835235	2
6130	0
6097	0
6314	3
11228	0
13836713	3
6151	0
6094	3
70850	0
11811	3
6145	0
6310	3
773	0
7738	0
5978	0
12197	4
7566	3
6093	0
512	3
13872989	3
175	3
2018165	2
6148	0
12640	0
8902	0
13835336	2
6103	2
1039	0
7030	0
6333	3
71390	0
6338	2
6092	0
2005981	0
21106015	2
19475	0
23730	0
7736	0
12442	2
16841	2
7557	4
7558	4
10772140	2
11154	0
13835977	3
1004	3
3644	3
13835550	2
13835316	2
553742	2
558928	2
1577	0
7790	0
2916	0
8899	0
6190	2
7734	0
1005	3
6335	0
5894	0
13836674	3
659	0
29008	0
11749	3
11910	3
7012	4
11065	4
6164	3
11239	4
5977	0
7330	0
62827	3
7546	0
7737	0
11756	2
4514549	0
3102535	0
363458	0
7556	4
56442	4
4449912	4
7957	3
7564	3
1114	0
7777	4
7606	4
8904	0
8903	0
6149	0
6125	0
29040	2
454215	2
7029	0
7739	0
9391	3
7733	0
394562	4
6322	4
60524	0
6330	3
6334	0
5993	0
6100	0
13837190	0
13835224	3
7728	2
13839553	3
558020	0
62808	0
124968	0
14829	0
21111820	0
10437	3
6121	0
558875	2
8544	0
7553	3
11526	0
592	3
10771217	2
10498	3
6119	0
81815	0
14694	2
30713	2
7555	4
6120	3
24043	0
19476	3
6177	3
8012	4
12957	3
13875283	0
1020	0
10340	0
12225	0
1348	0
844	3
29015	0
10018	0
7717	4
6311	3
7732	0
6321	4
13871721	4
62597	4
6313	3
256	4
9016	2
9254	2
14441700	3
61213	3
7727	2
13836021	2
8733	3
13863629	0
9363	0
61111	0
7560	3
11729	0
10606755	3
38403	2
7636	0
374462	0
3951	3
7616	2
552744	4
8896	0
7615	3
387	3
5439	0
13837650	2
13853215	2
9392	2
7552	3
6118	0
733	3
454209	4
66565	0
7817	4
7081	5
11809	3
13837280	2
236	0
11731	0
8141	0
29036	0
13837537	0
2340753	2
10325184	2
107412	3
11099	5
6309	4
558883	5
56020	5
11806	5
1095	0
8351654	0
3168	2
10709	3
6312	3
258	4
6320	4
6146	3
415	3
4444456	3
12229	0
9614	0
5730	0
7551	2
2282428	2
9251	2
3441	2
9461	2
8329688	3
61346	3
9095782	4
21171407	3
7782	3
11755	0
10653	3
8525	0
6341	3
259	4
23621376	2
7021	0
11244	0
1141	0
21111806	0
21108550	0
9325	0
7961	2
10251740	0
66021	0
10437074	0
66996	0
6042	0
6326	2
10325078	2
11117	0
2062437	3
13867413	3
10675065	4
7630	2
7026	0
8554	0
7028	0
13835459	0
29004	0
13634	2
6106	0
10765	4
7713	5
4483639	5
4483638	5
10113	4
7469	5
7472	4
6649	5
21943	4
84036	3
68152	0
25889	0
7018	3
7716	4
23255	4
11230	0
7730	0
13838404	0
971	0
10008	0
7688	0
1664	0
71089	0
8543	3
6316	3
62826	3
10197150	4
10488	0
21168808	0
13647	0
221117	0
7220	2
10364	2
7672	0
59674	5
11752	0
13816	3
29107	0
61707	3
10464	4
65936	0
2038738	0
31029	3
6122	0
13836589	2
13836591	2
10948	4
13835209	4
13861343	0
4489	0
11351244	0
577	0
9360	0
9350	0
9326	0
9253	2
83734	2
71312	2
2293678	2
23055	3
10054	0
7714	4
6315	4
13299573	3
7689	0
11784	0
11785	0
9411	2
3631	2
7788	0
21105795	0
7791	0
13866746	0
70714	0
70715	0
7514	7
11036	7
472932	2
105291	0
5976	0
6188	2
99596	3
7712	5
6308	4
9646	3
2056044	4
61149	4
5889	0
21106520	0
13874733	0
13839199	0
1078	4
13836549	0
1015	0
7770	5
11525	5
12626	5
7772	5
10777	4
7016	5
7607	5
73583	3
7241	0
7225	0
78	0
60329	2
1609	3
13854944	2
13835861	3
24099	4
12816	0
9943	0
10772050	2
13837760	0
4878	0
17443	0
120489	0
9349	0
11600	0
764	0
21106535	3
7721	4
9233	0
18607	3
13837281	2
66567	3
7676	0
156255	0
9547	0
6406	3
13862665	3
29001	5
7024	0
7787	0
15077490	2
63054	0
11799	4
7466	0
10053	0
6307	3
7711	4
18971812	4
10781	5
11783	0
7685	0
