Compound Id	PetitjeanShapeIndex [topoShape]
937	N/A
127983	0.0
217	N/A
692	0.0
763	0.0
748	0.0
23208	1.0
291	N/A
11148	0.0
391	N/A
274	1.0
923	1.0
6105	1.0
21106179	1.0
6086	0.0
864	0.0
8960	0.0
22814	N/A
6153	1.0
518	N/A
278	1.0
1087	1.0
16641	1.0
6085	0.0
6089	0.0
4514529	N/A
22408	N/A
9642	1.0
13571291	0.5
693	1.0
6087	0.0
11153	1.0
6084	0.0
6102	1.0
7568	0.5
172	1.0
6132	1.0
9243	1.0
2275	0.5
12066	0.0
10205670	0.5
10441	0.5
4937830	0.5
6111	0.0
6135	1.0
6083	0.0
6128	1.0
6123	1.0
9484	1.0
6095	1.0
7956	1.0
682	1.0
1019	0.0
9990	0.5
4514586	N/A
12577	0.5
9286	0.5
11727	0.5
16425	1.0
7577	0.5
171	1.0
1143	1.0
6098	1.0
9256	0.5
9994	0.0
7954	1.0
6101	1.0
654	1.0
6108	1.0
6104	1.0
8900	0.0
6191	0.5
21106169	0.5
21112738	0.5
7559	0.5
4481813	0.5
28994	0.5
173	1.0
6088	0.0
13835235	0.5
6130	1.0
6097	1.0
6314	0.5
11228	0.5
13836713	0.5
6151	1.0
6094	1.0
70850	0.5
11811	1.0
6145	1.0
6310	0.5
773	0.0
7738	0.0
5978	1.0
12197	0.5
7566	0.5
6093	1.0
512	0.5
13872989	0.5
175	1.0
2018165	0.5
6148	1.0
12640	0.5
8902	0.0
13835336	0.5
6103	1.0
1039	1.0
7030	0.5
6333	0.5
71390	1.0
6338	0.5
6092	1.0
2005981	1.0
21106015	0.5
19475	1.0
23730	1.0
7736	0.0
12442	0.5
16841	0.5
7557	0.5
7558	0.5
10772140	0.5
11154	1.0
13835977	0.5
1004	0.5
3644	1.0
13835550	0.5
13835316	1.0
553742	0.5
558928	0.5
1577	0.5
7790	0.0
2916	1.0
8899	0.0
6190	0.5
7734	1.0
1005	0.5
6335	0.5
5894	0.5
13836674	0.5
659	1.0
29008	0.0
11749	1.0
11910	0.5
7012	1.0
11065	1.0
6164	0.5
11239	0.5
5977	1.0
7330	0.0
62827	1.0
7546	0.5
7737	0.0
11756	1.0
4514549	N/A
3102535	0.333
363458	0.333
7556	0.5
56442	0.5
4449912	0.5
7957	1.0
7564	0.5
1114	1.0
7777	0.667
7606	1.0
8904	0.0
8903	0.0
6149	1.0
6125	1.0
29040	0.5
454215	0.5
7029	0.5
7739	0.0
9391	0.5
7733	1.0
394562	1.0
6322	0.5
60524	0.5
6330	0.5
6334	0.5
5993	0.5
6100	1.0
13837190	1.0
13835224	0.5
7728	1.0
13839553	1.0
558020	0.333
62808	0.333
124968	0.333
14829	1.0
21111820	0.5
10437	0.5
6121	1.0
558875	0.5
8544	0.0
7553	0.5
11526	1.0
592	0.5
10771217	0.5
10498	1.0
6119	1.0
81815	1.0
14694	0.5
30713	0.5
7555	0.5
6120	1.0
24043	1.0
19476	0.667
6177	0.5
8012	1.0
12957	0.667
13875283	0.667
1020	0.0
10340	0.5
12225	0.5
1348	0.5
844	1.0
29015	0.0
10018	0.0
7717	1.0
6311	0.5
7732	1.0
6321	0.5
13871721	1.0
62597	1.0
6313	0.5
256	1.0
9016	0.5
9254	0.5
14441700	0.5
61213	0.5
7727	1.0
13836021	1.0
8733	1.0
13863629	1.0
9363	0.333
61111	0.333
7560	0.5
11729	0.5
10606755	1.0
38403	0.667
7636	1.0
374462	0.5
3951	0.5
7616	1.0
552744	1.0
8896	0.0
7615	1.0
387	0.5
5439	1.0
13837650	0.5
13853215	0.5
9392	0.5
7552	0.5
6118	1.0
733	1.0
454209	0.5
66565	0.333
7817	1.0
7081	1.0
11809	1.0
13837280	0.5
236	0.0
11731	0.5
8141	0.5
29036	1.0
13837537	0.0
2340753	0.5
10325184	0.5
107412	1.0
11099	1.0
6309	0.5
558883	1.0
56020	1.0
11806	1.0
1095	0.0
8351654	0.667
3168	1.0
10709	1.0
6312	0.5
258	1.0
6320	0.5
6146	1.0
415	1.0
4444456	1.0
12229	0.333
9614	0.333
5730	1.0
7551	0.5
2282428	0.5
9251	0.5
3441	0.5
9461	0.667
8329688	0.5
61346	1.0
9095782	0.5
21171407	0.5
7782	0.667
11755	1.0
10653	1.0
8525	1.0
6341	0.5
259	1.0
23621376	0.667
7021	1.0
11244	0.5
1141	0.333
21111806	0.333
21108550	0.667
9325	0.333
7961	0.5
10251740	1.0
66021	0.333
10437074	0.333
66996	0.333
6042	1.0
6326	0.5
10325078	0.5
11117	0.0
2062437	0.5
13867413	0.667
10675065	0.667
7630	1.0
7026	0.5
8554	0.0
7028	0.5
13835459	0.0
29004	0.333
13634	0.667
6106	1.0
10765	0.5
7713	1.0
4483639	1.0
4483638	1.0
10113	0.5
7469	0.667
7472	0.667
6649	1.0
21943	1.0
84036	0.667
68152	1.0
25889	1.0
7018	1.0
7716	1.0
23255	0.5
11230	0.5
7730	1.0
13838404	1.0
971	0.333
10008	0.333
7688	0.333
1664	0.333
71089	0.333
8543	1.0
6316	0.5
62826	1.0
10197150	0.667
10488	0.333
21168808	0.5
13647	0.667
221117	0.333
7220	0.667
10364	0.667
7672	0.333
59674	0.667
11752	1.0
13816	1.0
29107	0.5
61707	0.5
10464	1.0
65936	0.667
2038738	0.667
31029	0.5
6122	1.0
13836589	0.667
13836591	0.667
10948	1.0
13835209	0.667
13861343	0.5
4489	0.667
11351244	0.5
577	0.333
9360	0.333
9350	0.667
9326	0.333
9253	0.5
83734	0.5
71312	0.5
2293678	0.5
23055	0.5
10054	1.0
7714	1.0
6315	0.5
13299573	1.0
7689	0.333
11784	0.333
11785	0.333
9411	0.667
3631	0.667
7788	0.0
21105795	0.667
7791	0.0
13866746	0.667
70714	0.333
70715	0.333
7514	1.0
11036	1.0
472932	0.667
105291	0.667
5976	0.333
6188	0.5
99596	0.5
7712	1.0
6308	0.5
9646	1.0
