Compound Id	BCUT [BCUTp-1h]
937	1.4380
127983	2.0715
217	2.2510
692	2.6961
763	2.0185
748	2.9840
23208	1.6857
291	2.612
11148	2.5411
391	3.974
274	2.4264
923	2.8654
6105	2.4517
21106179	2.3626
6086	3.4485
864	3.1116
8960	3.451
22814	1.161
6153	2.2738
518	N/A
278	3.1186
1087	4.5544
16641	3.8695
6085	4.1110
6089	3.7517
4514529	2.73
22408	1.161
9642	4.9735
13571291	5.3380
693	3.7873
6087	4.5881
11153	4.4847
6084	3.9795
6102	4.1173
7568	6.0050
172	4.0185
6132	4.3940
9243	3.9136
2275	5.2506
12066	5.0115
10205670	4.3334
10441	4.9688
4937830	4.67
6111	4.84
6135	3.8172
6083	5.7451
6128	3.8520
6123	6.2272
9484	3.7942
6095	4.4529
7956	3.9956
682	4.3518
1019	5.0560
9990	5.0493
4514586	3.887
12577	3.6420
9286	3.6073
11727	4.3913
16425	4.9920
7577	4.1365
171	4.3579
1143	4.8161
6098	5.9002
9256	3.5510
9994	5.0720
7954	5.2222
6101	4.9809
654	4.7922
6108	8.4268
6104	6.5317
8900	4.8640
6191	3.4715
21106169	4.2161
21112738	6.2049
7559	5.3075
4481813	4.9503
28994	4.9377
173	4.9925
6088	8.0351
13835235	4.5859
6130	6.4378
6097	5.8377
6314	6.5870
11228	6.2263
13836713	7.6820
6151	6.3468
6094	5.1457
70850	6.8458
11811	6.2170
6145	7.4812
6310	6.9374
773	5.7308
7738	5.5599
5978	7.7358
12197	5.5802
7566	5.3065
6093	7.6866
512	5.2760
13872989	5.3938
175	5.1554
2018165	5.7345
6148	5.6569
12640	6.2399
8902	6.0635
13835336	5.2075
6103	6.8878
1039	6.5316
7030	5.1208
6333	5.5548
71390	7.5939
6338	5.0745
6092	6.9902
2005981	7.8517
21106015	6.0608
19475	6.4460
23730	6.2779
7736	5.9366
12442	6.9370
16841	5.6037
7557	5.9973
7558	5.5124
10772140	6.2218
11154	9.9787
13835977	5.7669
1004	5.3623
3644	5.6048
13835550	5.5156
13835316	7.8309
553742	6.8429
558928	6.8429
1577	5.9041
7790	4.8260
2916	8.8436
8899	7.6773
6190	5.5128
7734	5.0632
1005	5.5233
6335	5.0015
5894	5.6527
13836674	6.6305
659	7.2834
29008	6.1738
11749	6.9341
11910	7.7972
7012	7.1623
11065	7.0952
6164	7.8833
11239	7.2556
5977	8.4848
7330	6.5709
62827	4.8085
7546	5.8393
7737	5.8215
11756	4.9425
4514549	6.177
3102535	6.6469
363458	6.9405
7556	5.9245
56442	5.8021
4449912	5.8021
7957	6.4387
7564	5.6720
1114	6.0348
7777	6.6151
7606	7.2928
8904	5.8479
8903	6.0239
6149	8.3924
6125	7.7877
29040	6.7595
454215	6.7140
7029	5.9761
7739	7.8665
9391	5.4759
7733	5.5480
394562	5.9363
6322	5.9897
60524	6.2017
6330	5.8452
6334	5.6091
5993	6.1725
6100	9.2770
13837190	4.8105
13835224	5.8396
7728	5.2040
13839553	5.5975
558020	5.7319
62808	5.9512
124968	5.8985
14829	7.6968
21111820	8.5283
10437	6.4543
6121	7.0905
558875	8.5772
8544	6.4355
7553	7.7875
11526	4.8145
592	6.0003
10771217	8.1778
10498	6.5440
6119	9.6409
81815	6.0221
14694	6.7125
30713	6.6718
7555	5.7685
6120	6.3941
24043	7.0653
19476	6.8223
6177	8.0440
8012	7.4095
12957	6.6535
13875283	7.5229
1020	6.2740
10340	6.4120
12225	6.1565
1348	6.8656
844	5.9195
29015	5.4163
10018	5.7668
7717	5.9353
6311	6.5729
7732	5.3836
6321	5.9168
13871721	6.0225
62597	6.1598
6313	6.5335
256	5.9048
9016	7.6450
9254	6.6261
14441700	6.2772
61213	6.3633
7727	5.5140
13836021	5.8235
8733	5.9073
13863629	6.5345
9363	6.1373
61111	6.1145
7560	7.5048
11729	7.5048
10606755	5.2790
38403	4.6958
7636	6.3591
374462	7.1070
3951	6.8243
7616	5.5403
552744	6.1835
8896	6.2911
7615	5.7424
387	6.3320
5439	5.3218
13837650	6.8108
13853215	6.5354
9392	7.5579
7552	7.6113
6118	8.2455
733	6.0680
454209	5.6780
66565	6.1145
7817	6.5048
7081	7.7910
11809	6.5719
13837280	8.8078
236	6.3934
11731	8.8753
8141	6.4196
29036	10.7973
13837537	5.9967
2340753	7.8695
10325184	7.7785
107412	6.3178
11099	6.7220
6309	7.2255
558883	6.5848
56020	6.5848
11806	6.1265
1095	7.9644
8351654	6.5174
3168	5.2999
10709	5.6766
6312	6.6198
258	5.9910
6320	6.2263
6146	6.8603
415	6.2170
4444456	7.1188
12229	6.3856
9614	6.3269
5730	10.4394
7551	8.5452
2282428	7.7823
9251	7.7330
3441	8.8077
9461	5.3395
8329688	7.5203
61346	6.2090
9095782	5.4888
21171407	10.0775
7782	5.7268
11755	6.3106
10653	5.8498
8525	5.3717
6341	6.7890
259	6.1520
23621376	5.8613
7021	6.0535
11244	6.7380
1141	6.2859
21111806	6.2915
21108550	6.3091
9325	6.2104
7961	9.9728
10251740	6.8034
66021	7.7216
10437074	7.8867
66996	7.5385
6042	9.7416
6326	8.7595
10325078	8.7143
11117	6.8596
