Compound Id	EccentricConnectivityIndex
937	0
127983	2
217	0
692	2
763	2
748	2
23208	6
291	0
11148	2
391	0
274	6
923	6
6105	6
21106179	9
6086	2
864	2
8960	2
22814	0
6153	12
518	0
278	6
1087	6
16641	6
6085	2
6089	2
4514529	0
22408	0
9642	6
13571291	14
693	6
6087	2
11153	6
6084	2
6102	6
7568	14
172	6
6132	9
9243	6
2275	23
12066	20
10205670	19
10441	14
4937830	14
6111	6
6135	9
6083	2
6128	9
6123	9
9484	12
6095	6
7956	6
682	6
1019	20
9990	14
4514586	0
12577	24
9286	24
11727	14
16425	18
7577	14
171	9
1143	9
6098	6
9256	29
9994	16
7954	6
6101	6
654	6
6108	6
6104	6
8900	20
6191	34
21106169	24
21112738	14
7559	14
4481813	14
28994	14
173	9
6088	2
13835235	14
6130	9
6097	6
6314	19
11228	19
13836713	14
6151	12
6094	6
70850	19
11811	24
6145	12
6310	19
773	20
7738	20
5978	12
12197	14
7566	14
6093	6
512	14
13872989	14
175	9
2018165	19
6148	12
12640	29
8902	36
13835336	14
6103	6
1039	6
7030	29
6333	19
71390	9
6338	19
6092	6
2005981	9
21106015	14
19475	29
23730	29
7736	20
12442	14
16841	29
7557	14
7558	14
10772140	19
11154	6
13835977	14
1004	14
3644	9
13835550	14
13835316	9
553742	14
558928	14
1577	29
7790	36
2916	6
8899	20
6190	34
7734	24
1005	19
6335	19
5894	19
13836674	14
659	9
29008	20
11749	31
11910	24
7012	29
11065	31
6164	24
11239	24
5977	9
7330	20
62827	41
7546	25
7737	20
11756	31
4514549	0
3102535	45
363458	45
7556	14
56442	14
4449912	14
7957	9
7564	14
1114	9
7777	38
7606	31
8904	36
8903	36
6149	12
6125	9
29040	29
454215	29
7029	29
7739	20
9391	29
7733	24
394562	24
6322	19
60524	19
6330	19
6334	19
5993	19
6100	6
13837190	24
13835224	19
7728	24
13839553	24
558020	45
62808	45
124968	45
14829	12
21111820	29
10437	14
6121	9
558875	14
8544	20
7553	14
11526	29
592	24
10771217	24
10498	24
6119	9
81815	51
14694	24
30713	24
7555	14
6120	9
24043	36
19476	45
6177	29
8012	36
12957	45
13875283	58
1020	36
10340	29
12225	29
1348	29
844	38
29015	36
10018	36
7717	24
6311	19
7732	24
6321	19
13871721	24
62597	24
6313	19
256	24
9016	29
9254	29
14441700	24
61213	24
7727	24
13836021	24
8733	24
13863629	44
9363	45
61111	45
7560	14
11729	14
10606755	55
38403	72
7636	42
374462	30
3951	24
7616	31
552744	31
8896	20
7615	31
387	24
5439	31
13837650	14
13853215	34
9392	34
7552	14
6118	9
733	29
454209	24
66565	54
7817	54
7081	36
11809	24
13837280	19
236	36
11731	14
8141	29
29036	9
13837537	36
2340753	24
10325184	24
107412	41
11099	24
6309	19
558883	24
56020	24
11806	24
1095	20
8351654	68
3168	24
10709	24
6312	19
258	24
6320	19
6146	12
415	24
4444456	24
12229	45
9614	45
5730	12
7551	14
2282428	29
9251	29
3441	29
9461	56
8329688	24
61346	52
9095782	34
21171407	14
7782	38
11755	31
10653	29
8525	31
6341	24
259	31
23621376	38
7021	29
11244	24
1141	54
21111806	54
21108550	58
9325	54
7961	24
10251740	51
66021	45
10437074	45
66996	45
6042	12
6326	19
10325078	34
11117	36
2062437	29
13867413	45
10675065	63
7630	38
7026	29
8554	36
7028	29
13835459	36
29004	63
13634	60
6106	6
10765	19
7713	24
4483639	24
4483638	24
10113	19
7469	54
7472	54
6649	43
21943	63
84036	54
68152	43
25889	43
7018	29
7716	24
23255	19
11230	19
7730	24
13838404	9
971	45
10008	45
7688	45
1664	45
71089	45
8543	24
6316	19
62826	41
10197150	56
10488	45
21168808	29
13647	69
221117	54
7220	60
10364	60
7672	45
59674	38
11752	31
13816	29
29107	24
61707	24
10464	31
65936	60
2038738	60
31029	14
6122	9
13836589	38
13836591	38
10948	29
13835209	38
13861343	29
4489	58
11351244	40
577	54
9360	54
9350	58
9326	54
9253	29
83734	29
71312	29
2293678	29
23055	24
10054	12
7714	24
6315	19
13299573	52
7689	45
11784	45
11785	45
9411	63
3631	72
7788	36
21105795	71
7791	36
13866746	89
70714	45
70715	45
7514	63
11036	63
472932	73
105291	68
5976	63
6188	34
99596	29
7712	24
6308	19
9646	12
2056044	88
61149	84
5889	45
21106520	45
13874733	45
13839199	45
1078	56
13836549	102
1015	70
7770	38
11525	29
12626	38
7772	38
10777	24
7016	29
7607	31
73583	34
7241	60
7225	60
78	60
60329	38
1609	38
13854944	31
13835861	24
24099	38
12816	60
9943	60
10772050	29
13837760	54
4878	54
17443	60
120489	60
9349	58
11600	59
764	58
21106535	29
7721	24
9233	24
18607	24
13837281	24
66567	62
7676	45
156255	36
9547	76
6406	36
13862665	47
29001	38
7024	29
7787	36
15077490	29
63054	89
11799	47
7466	45
10053	12
6307	19
7711	24
18971812	34
10781	43
11783	45
7685	45
13630	45
63889	58
9228	58
1108	45
10534	42
7679	45
12643	45
7684	45
12499	102
24590970	29
6950	70
56144	55
11110	38
12209	38
10124	24
24041	85
25886	70
19477	74
17784	50
3973	41
7224	60
11833	38
29000	31
8398	29
6040	38
14672	24
21011	31
10947	29
6165	24
13837702	38
235	60
