Compound Id	MannholdLogP
937	1.350
127983	1.24
217	1.350
692	1.46
763	1.24
748	1.46
23208	1.13
291	1.57
11148	1.46
391	1.350
274	1.35
923	1.13
6105	1.35
21106179	1.24
6086	1.68
864	1.46
8960	1.24
22814	1.350
6153	1.130
518	1.350
278	1.35
1087	1.13
16641	1.13
6085	1.68
6089	1.46
4514529	1.350
22408	1.350
9642	1.79
13571291	1.68
693	1.35
6087	1.46
11153	1.35
6084	1.68
6102	1.570
7568	1.46
172	1.570
6132	1.24
9243	1.570
2275	1.57
12066	1.57
10205670	1.350
10441	1.68
4937830	1.68
6111	1.79
6135	1.24
6083	1.46
6128	1.46
6123	1.68
9484	1.350
6095	1.79
7956	1.570
682	1.570
1019	1.57
9990	1.9
4514586	1.350
12577	1.24
9286	1.24
11727	1.46
16425	0.69
7577	1.46
171	1.46
1143	1.24
6098	1.570
9256	1.13
9994	1.68
7954	1.79
6101	1.570
654	1.570
6108	1.35
6104	1.35
8900	1.350
6191	1.02
21106169	1.24
21112738	1.68
7559	1.68
4481813	1.46
28994	1.46
173	1.46
6088	1.46
13835235	1.46
6130	1.24
6097	1.570
6314	1.790
11228	1.790
13836713	1.68
6151	1.130
6094	1.79
70850	1.790
11811	1.790
6145	1.790
6310	1.790
773	1.57
7738	1.790
5978	1.350
12197	1.9
7566	1.68
6093	1.35
512	1.68
13872989	1.68
175	1.68
2018165	1.350
6148	1.350
12640	1.68
8902	1.68
13835336	1.46
6103	1.570
1039	1.570
7030	1.46
6333	1.57
71390	1.24
6338	1.350
6092	1.570
2005981	1.24
21106015	1.46
19475	1.46
23730	1.46
7736	1.790
12442	1.46
16841	1.13
7557	1.9
7558	1.9
10772140	1.350
11154	1.35
13835977	1.68
1004	1.68
3644	1.68
13835550	1.46
13835316	1.46
553742	1.46
558928	1.46
1577	1.24
7790	1.46
2916	1.35
8899	1.57
6190	1.02
7734	1.57
1005	1.57
6335	1.57
5894	1.350
13836674	1.68
659	1.46
29008	1.790
11749	1.9
11910	1.9
7012	1.9
11065	1.9
6164	1.9
11239	1.9
5977	1.24
7330	2.01
62827	1.24
7546	1.790
7737	1.790
11756	1.24
4514549	1.350
3102535	1.790
363458	1.790
7556	1.9
56442	1.9
4449912	1.9
7957	1.9
7564	1.68
1114	1.68
7777	1.9
7606	1.9
8904	1.68
8903	1.68
6149	1.130
6125	1.46
29040	1.13
454215	1.13
7029	1.68
7739	1.790
9391	1.35
7733	1.790
394562	1.790
6322	1.790
60524	1.57
6330	1.57
6334	1.57
5993	1.57
6100	1.570
13837190	1.57
13835224	1.57
7728	1.57
13839553	1.57
558020	1.570
62808	1.570
124968	1.570
14829	1.350
21111820	1.9
10437	1.68
6121	1.68
558875	1.46
8544	2.01
7553	1.68
11526	1.46
592	1.46
10771217	1.24
10498	1.57
6119	1.24
81815	1.02
14694	1.24
30713	1.24
7555	1.9
6120	1.9
24043	1.570
19476	1.570
6177	1.790
8012	1.790
12957	1.570
13875283	2.12
1020	1.9
10340	1.9
12225	1.68
1348	1.68
844	1.35
29015	1.68
10018	1.68
7717	1.790
6311	1.790
7732	1.790
6321	1.790
13871721	1.790
62597	1.790
6313	1.790
256	1.790
9016	1.13
9254	1.13
14441700	1.46
61213	1.46
7727	1.57
13836021	1.57
8733	1.57
13863629	1.790
9363	1.790
61111	1.790
7560	1.68
11729	1.68
10606755	1.02
38403	1.02
7636	1.570
374462	1.68
3951	1.68
7616	1.68
552744	1.68
8896	2.01
7615	1.46
387	1.46
5439	1.46
13837650	1.46
13853215	1.02
9392	1.02
7552	1.68
6118	1.68
733	1.46
454209	1.68
66565	1.680
7817	2.010
7081	2.010
11809	1.57
13837280	1.350
236	2.12
11731	1.46
8141	1.9
29036	1.24
13837537	1.68
2340753	1.24
10325184	1.24
107412	1.24
11099	2.01
6309	2.01
558883	2.01
56020	2.01
11806	2.01
1095	1.790
8351654	0.910
3168	1.790
10709	1.790
6312	1.790
258	1.790
6320	1.790
6146	1.790
415	1.57
4444456	1.57
12229	1.790
9614	2.010
5730	1.130
7551	1.46
2282428	1.13
9251	1.13
3441	1.13
9461	1.46
8329688	1.46
61346	1.13
9095782	1.46
21171407	1.68
7782	1.68
11755	1.68
10653	1.68
8525	1.68
6341	1.68
259	1.68
23621376	1.46
7021	1.46
11244	1.46
1141	1.46
21111806	1.9
21108550	1.9
9325	1.9
7961	1.24
10251740	1.680
66021	1.570
10437074	1.570
66996	1.570
6042	1.350
6326	1.350
10325078	1.02
11117	2.12
2062437	1.35
13867413	1.570
10675065	1.350
7630	1.570
7026	1.9
8554	1.9
7028	1.9
13835459	1.68
29004	1.79
13634	2.12
6106	1.35
10765	2.01
7713	2.01
4483639	2.01
4483638	2.01
10113	2.01
7469	1.9
7472	1.9
6649	1.9
21943	1.680
84036	1.680
68152	1.680
25889	1.680
7018	1.46
7716	1.790
23255	1.790
11230	1.790
7730	1.790
13838404	1.24
971	2.010
10008	1.790
7688	1.790
1664	1.790
71089	1.790
8543	1.57
6316	1.57
62826	1.24
10197150	1.46
10488	1.790
21168808	1.9
13647	1.79
221117	2.34
7220	2.34
10364	2.34
7672	2.010
59674	1.9
11752	1.68
13816	1.68
29107	1.68
61707	1.68
10464	1.68
65936	1.680
2038738	1.680
31029	1.68
6122	1.68
13836589	1.68
13836591	1.68
10948	1.68
13835209	1.68
13861343	0.91
4489	1.9
11351244	2.23
577	1.46
9360	1.9
9350	1.9
9326	1.9
9253	1.13
83734	1.13
71312	1.13
2293678	1.13
23055	1.46
10054	1.790
7714	1.790
6315	1.790
13299573	1.13
7689	1.790
11784	1.790
11785	1.790
9411	1.350
3631	1.02
7788	2.12
21105795	2.01
