Compound Id	BCUT [BCUTp-1l]
937	1.4380
127983	1.6090
217	2.2510
692	2.1249
763	1.7985
748	2.3345
23208	1.1503
291	2.612
11148	1.9204
391	3.974
274	1.9476
923	2.2776
6105	1.8732
21106179	1.8259
6086	2.8285
864	2.6664
8960	3.231
22814	1.161
6153	1.7782
518	N/A
278	2.4522
1087	4.0756
16641	2.6250
6085	3.6910
6089	3.4588
4514529	2.73
22408	1.161
9642	4.3270
13571291	3.5158
693	2.7620
6087	3.9674
11153	2.9108
6084	3.7595
6102	3.0875
7568	3.6107
172	2.8040
6132	2.8649
9243	2.5692
2275	3.2622
12066	4.5202
10205670	2.7674
10441	4.0047
4937830	3.3806
6111	4.64
6135	2.6442
6083	5.1244
6128	2.5228
6123	4.7660
9484	2.4772
6095	3.7672
7956	3.6687
682	3.3125
1019	4.5950
9990	4.5301
4514586	3.887
12577	2.4444
9286	2.4673
11727	2.7981
16425	4.2198
7577	2.7666
171	3.0930
1143	3.3190
6098	4.7850
9256	2.4214
9994	4.2672
7954	4.4661
6101	4.1372
654	4.3045
6108	6.6222
6104	4.9577
8900	4.6103
6191	2.3983
21106169	2.5949
21112738	4.2562
7559	3.2140
4481813	3.3339
28994	3.0764
173	3.4027
6088	7.4144
13835235	3.4312
6130	3.8917
6097	4.6162
6314	3.5649
11228	4.3263
13836713	5.2814
6151	3.8460
6094	4.4795
70850	4.9482
11811	4.7892
6145	5.3947
6310	4.7660
773	5.2905
7738	4.9345
5978	5.8435
12197	4.1660
7566	3.4266
6093	5.5384
512	3.1278
13872989	3.7145
175	3.4865
2018165	3.0053
6148	3.5008
12640	5.0394
8902	5.3819
13835336	3.5967
6103	5.3727
1039	6.2047
7030	3.2315
6333	3.4917
71390	4.4711
6338	2.9586
6092	5.4183
2005981	5.7336
21106015	3.8053
19475	3.0566
23730	3.0144
7736	5.6285
12442	3.3414
16841	2.9435
7557	4.8872
7558	4.0816
10772140	3.5570
11154	6.6890
13835977	4.5262
1004	3.6296
3644	3.9457
13835550	4.3987
13835316	5.7690
553742	5.2662
558928	5.2662
1577	4.5956
7790	4.5498
2916	6.6952
8899	6.3198
6190	2.9207
7734	2.9238
1005	3.4074
6335	3.4074
5894	2.8572
13836674	5.0074
659	5.6145
29008	5.83
11749	4.3263
11910	3.7889
7012	3.6317
11065	3.4745
6164	4.2674
11239	4.5817
5977	5.9384
7330	6.2926
62827	2.7727
7546	4.4848
7737	5.0170
11756	2.7223
4514549	6.177
3102535	4.4542
363458	5.4050
7556	4.7995
56442	4.9666
4449912	4.9666
7957	5.1705
7564	4.4411
1114	4.9481
7777	4.8688
7606	4.7660
8904	5.5283
8903	5.5486
6149	4.8711
6125	5.5933
29040	3.2327
454215	3.2555
7029	3.6250
7739	6.8432
9391	2.9092
7733	4.5951
394562	3.4017
6322	3.8852
60524	3.6542
6330	3.7171
6334	3.7171
5993	3.3630
6100	6.5665
13837190	3.9636
13835224	3.7562
7728	3.5991
13839553	3.6887
558020	3.5832
62808	3.6724
124968	3.4996
14829	4.5252
21111820	6.0794
10437	4.9306
6121	5.2450
558875	6.7136
8544	6.2215
7553	5.3080
11526	3.3282
592	3.5250
10771217	4.0514
10498	3.6837
6119	6.5179
81815	3.1924
14694	3.9860
30713	4.0088
7555	4.7999
6120	5.1173
24043	3.2138
19476	3.1141
6177	4.0361
8012	3.8789
12957	3.0930
13875283	3.9178
1020	5.7164
10340	5.2105
12225	4.9972
1348	5.3669
844	3.5054
29015	5.1401
10018	4.8829
7717	3.5924
6311	3.82
7732	4.6025
6321	3.8009
13871721	3.8725
62597	3.8380
6313	3.4481
256	3.3173
9016	3.4502
9254	3.9670
14441700	3.8110
61213	3.6405
7727	4.1448
13836021	3.7456
8733	3.7749
13863629	3.4905
9363	3.6668
61111	3.7504
7560	5.2412
11729	5.6871
10606755	2.8637
38403	2.5634
7636	3.3887
374462	5.2012
3951	3.8121
7616	3.6067
552744	3.6489
8896	6.0910
7615	3.1158
387	3.2730
5439	3.4808
13837650	5.0980
13853215	3.9402
9392	3.4325
7552	5.2680
6118	6.0491
733	3.8070
454209	3.4659
66565	3.6553
7817	4.7257
7081	3.7889
11809	3.8755
13837280	5.7690
236	6.0934
11731	7.4276
8141	4.0185
29036	7.0972
13837537	5.3110
2340753	4.2756
10325184	4.5683
107412	3.0298
11099	5.0061
6309	5.2169
558883	5.0857
56020	5.0857
11806	4.2388
1095	7.0645
8351654	3.3957
3168	4.5595
10709	4.1662
6312	3.9457
258	3.7877
6320	4.2674
6146	4.5764
415	4.5784
4444456	5.2530
12229	4.0620
9614	3.8392
5730	6.9176
7551	6.5453
2282428	4.2563
9251	4.2759
3441	3.7445
9461	2.8518
8329688	3.9298
61346	3.0134
9095782	3.4152
21171407	5.8805
7782	3.0024
11755	3.0810
10653	3.7217
8525	3.5646
6341	3.7217
259	3.5646
23621376	2.8482
7021	3.9477
11244	3.9477
1141	3.9699
21111806	3.8268
21108550	3.8325
9325	3.8110
7961	4.7864
10251740	3.7635
66021	5.6361
10437074	5.7194
66996	5.5466
6042	6.5713
6326	5.5887
10325078	3.7217
11117	6.6170
2062437	3.5651
13867413	3.6833
10675065	2.9535
7630	3.6038
7026	4.4795
8554	5.3554
7028	5.2655
13835459	6.1012
29004	5.2684
13634	5.4374
6106	10.1321
10765	5.1585
7713	4.9626
4483639	5.0542
4483638	5.0542
10113	5.2911
7469	3.8003
7472	3.8003
6649	4.0361
21943	3.1323
84036	3.2502
68152	3.3288
25889	3.3288
7018	3.9936
7716	4.6088
23255	5.0751
11230	5.0432
7730	4.8742
13838404	8.2538
971	4.5885
10008	5.2336
7688	5.5099
1664	5.3655
71089	5.4261
8543	5.1682
6316	5.4196
62826	3.1750
10197150	3.6975
10488	3.8064
21168808	6.5685
13647	3.6297
221117	6.1493
7220	5.4791
10364	4.7166
7672	6.9429
59674	3.8099
11752	3.8743
13816	4.0315
29107	4.0315
61707	4.0315
10464	3.8743
65936	4.0155
2038738	3.9160
31029	5.8429
6122	7.1959
13836589	4.1460
13836591	3.6689
10948	3.9134
13835209	3.8172
13861343	4.0945
4489	4.3715
11351244	7.1620
577	4.0477
9360	3.8980
9350	3.8686
9326	3.9568
9253	4.4756
83734	4.5025
71312	4.8348
2293678	4.0299
23055	4.8396
10054	5.8737
7714	5.0470
6315	5.2932
13299573	3.1580
7689	5.7194
11784	5.8028
11785	5.8445
9411	2.9112
3631	2.8210
7788	6.5718
21105795	3.8245
7791	6.1927
13866746	3.7701
70714	5.9655
70715	6.2990
7514	4.3510
11036	4.8175
472932	3.7192
105291	3.3990
5976	4.1128
6188	4.4560
99596	4.3008
7712	4.9588
6308	5.1174
9646	5.7491
2056044	2.8904
61149	2.9077
5889	5.4009
21106520	5.6848
13874733	5.7265
13839199	5.6014
1078	3.5895
13836549	3.7594
1015	6.0112
7770	3.7414
11525	4.6661
12626	3.8955
7772	3.3959
10777	4.1152
7016	4.1152
7607	3.9581
73583	3.7653
7241	4.0572
7225	4.1197
78	4.0450
60329	4.4804
1609	4.2357
13854944	3.9036
13835861	4.2192
24099	3.8639
12816	3.7742
9943	3.7534
10772050	4.5439
13837760	4.7063
4878	4.6473
17443	4.5243
120489	4.4822
9349	3.9073
11600	3.5948
764	4.6226
21106535	4.9310
7721	5.1793
9233	5.8381
18607	5.4071
13837281	6.7546
66567	3.1835
