Compound Id	ALOGP [ALogp2]
937	0.0
127983	0.016
217	0.0
692	0.782
763	0.848
748	0.322
23208	0.668
291	0.0
11148	0.339
391	0.0
274	0.022
923	0.154
6105	0.228
21106179	1.055
6086	0.882
864	0.128
8960	1.418
22814	0.0
6153	5.941
518	N/A
278	0.095
1087	0.002
16641	0.780
6085	0.897
6089	0.419
4514529	0.0
22408	0.0
9642	1.544
13571291	0.404
693	0.495
6087	0.717
11153	0.601
6084	0.465
6102	0.002
7568	0.333
172	0.033
6132	1.498
9243	0.693
2275	0.002
12066	0.078
10205670	0.001
10441	0.091
4937830	0.227
6111	0.746
6135	0.182
6083	0.982
6128	0.893
6123	0.487
9484	2.071
6095	1.979
7956	0.003
682	0.012
1019	0.0
9990	3.513
4514586	0.0
12577	2.526
9286	1.458
11727	0.755
16425	1.423
7577	0.003
171	0.053
1143	0.394
6098	1.004
9256	2.896
9994	0.175
7954	1.316
6101	0.158
654	0.047
6108	2.727
6104	1.151
8900	0.0
6191	4.823
21106169	0.422
21112738	2.313
7559	0.167
4481813	0.020
28994	0.362
173	0.391
6088	2.318
13835235	0.805
6130	2.018
6097	1.203
6314	0.924
11228	0.0
13836713	1.513
6151	9.066
6094	0.034
70850	0.071
11811	0.295
6145	0.080
6310	0.027
773	0.177
7738	0.024
5978	0.049
12197	2.168
7566	0.015
6093	1.650
512	0.011
13872989	0.067
175	0.060
2018165	1.849
6148	2.676
12640	0.193
8902	0.0
13835336	1.409
6103	0.746
1039	0.632
7030	0.233
6333	0.130
71390	2.638
6338	0.622
6092	1.541
2005981	0.074
21106015	0.094
19475	0.031
23730	0.116
7736	0.177
12442	1.937
16841	3.999
7557	2.002
7558	1.149
10772140	0.092
11154	2.844
13835977	0.001
1004	0.470
3644	0.167
13835550	2.180
13835316	2.849
553742	1.117
558928	1.117
1577	0.562
7790	0.199
2916	2.238
8899	0.349
6190	5.726
7734	0.037
1005	0.024
6335	0.0
5894	0.008
13836674	2.142
659	0.1
29008	0.947
11749	0.284
11910	1.860
7012	0.018
11065	0.172
6164	1.227
11239	0.013
5977	2.615
7330	0.996
62827	2.518
7546	0.185
7737	0.5
11756	1.092
4514549	0.0
3102535	3.626
363458	0.290
7556	0.222
56442	1.814
4449912	1.814
7957	3.225
7564	0.951
1114	0.102
7777	0.691
7606	0.206
8904	0.0
8903	0.0
6149	10.875
6125	2.374
29040	4.890
454215	4.420
7029	0.111
7739	0.349
9391	0.408
7733	0.048
394562	0.370
6322	0.120
60524	0.041
6330	0.301
6334	0.273
5993	0.249
6100	3.143
13837190	0.010
13835224	0.825
7728	0.239
13839553	1.405
558020	0.056
62808	0.230
124968	0.011
14829	3.358
21111820	1.519
10437	0.270
6121	0.634
558875	1.5
8544	0.477
7553	2.585
11526	0.441
592	0.649
10771217	0.932
10498	0.681
6119	3.316
81815	0.436
14694	4.205
30713	3.252
7555	0.224
6120	1.025
24043	0.181
19476	0.501
6177	1.733
8012	0.033
12957	0.056
13875283	1.258
1020	0.0
10340	0.081
12225	0.003
1348	0.013
844	0.198
29015	0.069
10018	0.322
7717	0.028
6311	0.591
7732	0.148
6321	0.028
13871721	0.210
62597	0.001
6313	0.294
256	0.155
9016	5.279
9254	4.825
14441700	1.120
61213	1.687
7727	0.606
13836021	0.570
8733	2.176
13863629	0.120
9363	0.056
61111	0.230
7560	0.082
11729	1.093
10606755	2.242
38403	5.001
7636	0.223
374462	4.738
3951	0.836
7616	0.011
