Compound Id	HybridizationRatio
11600	0.167
764	0.0
21106535	1.0
7721	1.0
9233	1.0
18607	1.0
13837281	0.0
66567	1.0
7676	0.0
156255	1.0
9547	0.0
6406	0.4
13862665	0.4
29001	0.6
7024	1.0
7787	1.0
15077490	1.0
63054	0.0
11799	1.0
7466	0.75
10053	1.0
6307	1.0
7711	1.0
18971812	1.0
10781	1.0
11783	0.0
7685	0.0
13630	0.0
63889	0.0
9228	0.0
1108	0.143
10534	0.143
7679	0.833
12643	0.667
7684	1.0
12499	0.0
24590970	1.0
6950	0.0
56144	1.0
11110	0.333
12209	1.0
10124	0.333
24041	1.0
25886	0.333
19477	1.0
17784	1.0
3973	1.0
7224	0.0
11833	1.0
29000	1.0
8398	1.0
6040	1.0
14672	1.0
21011	1.0
10947	1.0
6165	1.0
13837702	1.0
235	0.0
55091	0.5
66809	0.167
62489	0.167
11080	0.0
5596	0.0
392	0.0
13257	0.167
12231	0.167
2606	1.0
8528	0.0
8878	1.0
19231	0.8
7681	0.0
11911	1.0
6342	1.0
18219	1.0
7248	0.111
11661	0.111
7710	1.0
768	0.0
11125	0.8
10492	0.8
7463	0.8
7706	0.8
11680	0.8
7701	0.8
10001	0.8
7627	0.8
10571	0.8
5708	1.0
19953955	1.0
13848341	0.667
76394	0.0
13835604	1.0
7138	0.0
7443	0.0
913	0.0
5709	0.0
7673	0.0
13875432	0.0
13875219	0.0
13837686	0.0
7013	1.0
92731	1.0
13874867	0.6
71787	0.5
7745	0.5
7678	1.0
13255	1.0
59447	1.0
48024	1.0
8868	0.0
5593	0.0
13835932	1.0
28981	0.875
4510484	0.625
7534	0.875
215929	0.875
13662	0.0
123207	0.0
7090	0.143
12201	0.667
11109	0.667
12446	0.667
7769	1.0
63631	1.0
24263	0.8
6364	0.8
7221	0.0
7240	0.0
6186	1.0
6187	1.0
7238	0.143
13835772	0.143
13839082	0.143
21105871	0.143
13860335	0.143
24533	0.333
28992	0.333
20843	0.333
21106032	1.0
6156	1.0
789	0.2
13836520	0.667
10628694	0.0
185	0.0
21106036	0.0
4444608	0.5
13837797	0.333
7794	1.0
11795	0.8
120621	0.8
20119	0.8
26765	0.8
192642	0.8
12821	0.0
12478	0.0
7389	0.0
10497	1.0
109838	1.0
16778	1.0
7705	1.0
13835293	1.0
13839441	1.0
13863618	0.0
28682	0.167
238	0.0
123	0.0
63908	0.167
9581	0.143
13875196	0.143
2018460	1.0
10512	1.0
55090	1.0
456015	0.2
13869451	0.0
13854248	0.0
13869339	0.0
1151	0.0
9574	0.0
11086	0.714
11857	0.714
7677	1.0
11788	1.0
62589	1.0
7686	1.0
776	0.0
7478	0.8
15802	1.0
17976	1.0
9579	0.0
10664	0.0
955	0.0
13837787	0.0
1266393	0.25
13875441	0.0
13842573	0.0
6974	0.0
10437239	0.5
7767	1.0
7604	1.0
7010	1.0
6163	1.0
6340	1.0
7234	0.143
13854136	0.143
13835151	0.143
13860692	0.143
21105905	0.286
21106560	0.286
7242	0.286
11077	0.286
11042	0.286
10940	0.286
10937	0.286
13842613	0.286
21132380	0.286
7223	0.143
11582	0.0
6774	0.25
9218	0.125
7236	0.833
7480	0.833
499714	0.833
13857694	0.0
13866817	0.0
13837988	0.0
12228	0.0
83866	1.0
83850	1.0
6621	0.125
7671	0.875
7074	0.625
62467	0.0
30516	1.0
10487	1.0
11846	1.0
7098	0.143
61191	0.143
73412	1.0
6176	0.833
10791	0.833
10788	0.833
7621	0.833
11025	0.833
11095	0.833
5949	0.833
63156	0.667
10101	1.0
68156	1.0
9377	1.0
5026296	1.0
13648	0.143
2241	0.0
13644	0.143
13856009	0.143
11087	0.0
8657	0.143
8665	0.143
9564	0.143
447	0.143
2039535	0.333
10384035	0.333
4962	0.143
10437135	0.333
7776	1.0
7180	0.6
7182	0.6
10669	0.6
8531	0.4
8335	0.4
10253	0.4
10979	0.6
7181	0.6
13875160	0.143
13875281	0.143
13875230	0.143
13840690	0.143
4449	1.0
744	0.0
68832	0.667
7674	1.0
8908	1.0
191367	1.0
11695	0.8
7766	1.0
61487	1.0
331	0.0
7142	0.0
132	0.0
7145	0.0
13846959	0.0
13853943	0.0
222538	0.167
65523	0.167
2849146	0.167
10437210	0.0
21108548	0.0
21106019	0.0
21106014	0.0
16159	0.5
7786	1.0
7219	0.25
7521	0.25
7641	0.25
6967	0.25
9874	0.222
13054	0.25
15443	0.857
10939	0.857
6179	1.0
21106470	0.0
8855	0.0
11861	1.0
11845	1.0
13839308	0.143
10536	1.0
7823	1.0
7812	1.0
11793	1.0
7622	1.0
7459	1.0
11024	1.0
11794	1.0
11678	1.0
10787	1.0
7626	1.0
11996	1.0
55188	1.0
11732	1.0
10790	1.0
11056	1.0
11180	1.0
13866593	1.0
7703	1.0
21106020	0.0
13853953	0.0
21106013	0.0
256210	0.0
7518	0.0
13876539	0.125
7132	0.125
21106524	0.125
21168826	0.125
13865424	0.125
71433	0.6
455090	0.333
503239	0.333
13860775	0.143
13869480	0.143
13869414	0.143
11849	1.0
11083	0.0
6988	0.0
8140	0.0
65	0.0
10857	0.0
6633	0.0
21111822	0.143
7239	0.143
6550	0.0
26325086	1.0
71430	1.0
21106173	1.0
7765	1.0
13859497	0.125
6775	0.0
11672	0.0
11773	0.0
12012	0.833
7761	0.833
8552	0.833
62249	0.833
7515	0.833
7475	0.833
29012	0.833
11706	0.833
7064	0.833
11992	0.833
10446	0.833
7065	0.833
11207996	0.833
7747	0.833
11193	0.833
19956441	1.0
11107	0.8
11694	0.8
11930	0.8
9903	0.333
4963	0.0
953	0.0
21106146	0.143
21106144	0.143
13863774	0.143
73479	0.143
58563	0.0
299166	0.143
13875320	0.143
13875258	0.143
13875392	0.143
21112023	0.125
13851576	0.143
11769	0.0
10432	0.0
10328	0.0
63310	0.333
59573	1.0
7161	0.5
6720	0.9
13850142	0.8
390927	0.8
206493	0.0
11667	0.143
21106018	0.143
12823	0.143
55205	0.833
69982	1.0
10710415	0.5
13865426	0.667
6780	0.0
8098	0.0
6658	0.143
9970	1.0
7528	1.0
7530	1.0
11489	0.125
526	0.0
6339	1.0
7984	1.0
21111817	0.0
63906	0.0
3350	0.0
1446	0.0
18	0.0
71	0.0
7146	0.0
11121	0.714
555074	0.714
7811	1.0
8562	1.0
7624	1.0
8158	1.0
6079	0.0
434	0.0
8071	0.0
21105959	0.25
13865438	0.25
21106135	0.25
7391	0.25
28982	0.25
13839110	0.25
13839151	0.25
13865680	0.25
11604	0.25
13839128	0.25
13839174	0.25
13839105	0.25
13839123	0.25
11021	0.25
20570	0.286
7131	0.25
5830	0.25
24972	0.429
10992	0.25
553171	0.333
13860817	0.0
11778	0.0
13860720	0.0
136966	0.167
13848793	0.0
30572	0.6
7866	0.889
19957731	1.0
10257	0.0
7211	0.0
7172	0.0
13875356	0.0
13875212	0.0
13868640	0.0
10864	0.0
21181	0.833
12445	0.833
122446	0.833
62534	0.143
62408	0.143
11830	1.0
13835836	1.0
13835376	1.0
127750	1.0
13836399	1.0
13884973	1.0
13839416	1.0
21109330	1.0
18707	0.0
6883	0.125
7189	0.125
28969	0.125
61765	0.125
21111781	0.125
5915	0.0
68568	0.0
64699	0.667
7140	0.125
8070	0.125
7190	0.125
10181341	0.125
221226	0.286
10526	1.0
120464	1.0
7150	0.125
12259	0.455
13860	0.143
11563	0.0
7003	0.286
7662	0.0
13862559	0.0
13864445	0.0
13865630	0.75
553642	0.75
8876	0.0
906	0.0
13638	1.0
6480	0.111
11866	1.0
13839109	0.833
11591	0.0
9454	0.125
21106148	0.143
6781	0.143
206561	0.143
13803	1.0
8560	1.0
11094	1.0
11023	1.0
11055	1.0
10786	1.0
7619	1.0
10755	1.0
11551	1.0
221082	0.111
7129	0.111
8950	0.111
15965	0.3
13868660	0.0
7092	0.0
924	0.25
13860641	0.25
21106525	0.25
10991	0.25
13869434	0.25
6630	0.25
13840647	0.25
13860491	0.25
13869462	0.25
63903	0.375
62530	0.375
13856352	0.25
551	0.0
14627	0.0
191	0.667
558917	0.6
6301	0.6
10616	0.0
5882	0.0
8183	0.0
6646	1.0
84971	1.0
388391	1.0
10980	0.0
10972	0.0
6674	0.0
361	0.0
13063	0.167
10797	0.857
28986	0.857
7760	0.857
7838	0.857
230	0.5
13842001	1.0
18801	1.0
21108576	0.125
21106518	0.125
62466	0.125
62485	0.125
11460	0.125
10254	0.125
21169510	0.75
880	0.125
7397	0.125
8674	0.25
62517	0.25
11651	0.25
10437215	0.429
60121	0.25
21105859	0.25
13848467	0.25
120548	0.286
2923	0.0
28947	0.125
21105878	0.25
11625	0.125
7815	1.0
7827	1.0
11761	1.0
14998	1.0
21168831	0.25
15482	1.0
10975	0.0
10870	0.0
10837	0.0
9120	0.0
1448	0.0
22191	0.714
15438	1.0
14751	1.0
8909	1.0
10265264	1.0
10179173	1.0
21800	1.0
15765	1.0
11699	0.833
7810	1.0
12069	1.0
13839575	1.0
1253	0.125
7176	0.125
10181338	0.125
21105848	0.125
10892	0.125
124	0.125
87265	0.0
13848808	0.125
13860434	0.125
11629	0.125
73390	0.286
10437335	0.286
38364	0.0
27488	0.0
14227	0.125
13835126	0.125
17347	0.143
7385	0.333
7128	0.333
11660	0.333
11409	0.333
7659	0.333
6977	0.333
10236	0.333
11366	0.0
21106172	0.0
7001	0.0
13029	0.0
13030	0.0
11422351	0.25
6665	0.143
8341	0.0
6739	0.0
7208	0.0
992	0.0
8182	0.0
11038	0.0
16791	1.0
11864	1.0
12161	1.0
12061	0.25
7837	1.0
18717	1.0
15954	1.0
11029	1.0
10511	1.0
11819	1.0
99440	1.0
11543	1.0
11739	1.0
11194	1.0
11216	1.0
11210	1.0
7202	0.143
21168813	0.222
6881	0.222
8186	0.222
21105870	0.111
21106366	0.222
15517	0.111
25890	1.0
13811	0.889
7809	1.0
7042	0.0
6706	0.0
68179	1.0
5979	1.0
55123	0.857
7803	0.857
18688	0.857
7482	0.857
10420	0.857
11843	0.857
7536	0.857
55130	0.857
10433	0.857
7657	0.857
22453	0.857
11045	0.857
29016	0.857
14169248	1.0
11632	1.0
11265	1.0
65763	0.0
392447	0.0
8097	0.4
11585	0.125
78467	0.125
1906	0.125
11488212	0.125
14556	0.25
7383	0.25
6642	0.5
589165	0.0
11961	0.0
21111772	0.0
11954	0.0
21106586	0.714
6790	0.0
8319	0.0
21106581	0.125
21106145	0.125
6023	0.125
11588	0.0
6675	0.0
8883	1.0
68503	0.6
10614293	1.0
7833	0.75
4516601	0.75
4516599	0.75
4512361	0.75
4512642	0.75
7835	1.0
15093	0.125
11286	0.0
5142	0.0
96749	0.833
61538	0.333
10246	0.333
12244	0.333
10248	0.333
9911	0.333
16119	0.333
13871718	0.333
25552	0.5
13658	0.5
12060	0.333
11647	0.875
61739	0.0
8282	0.0
6492	0.0
21106571	0.0
21106163	0.0
21106540	0.0
6737	0.0
6789	0.0
61001	0.222
4446445	0.625
71628	1.0
59577	0.857
11875	1.0
12010	1.0
455353	1.0
205483	0.125
7278	0.222
11576	0.222
6897	0.222
6035	0.222
13835344	0.222
10181339	0.222
11589	0.222
30595	0.222
7175	0.222
7157	0.222
8807	0.0
11865	1.0
20124	0.0
17619	1.0
2068	0.286
5236	0.286
4103087	0.0
6736	0.091
6788	0.091
83962	0.917
7044	0.0
16359	0.0
10986	0.111
191058	0.111
13835630	1.0
2937774	0.25
11708	0.0
86394	0.571
10411	0.125
349	1.0
11035	1.0
11104	1.0
10795	1.0
305	0.5
10445	1.0
71193	0.143
67270	0.143
6033	0.143
21159695	0.333
13853758	0.333
18724	0.444
15427	0.333
10996	0.222
6296	0.667
11776	0.0
17868	0.0
13867714	0.0
21105699	0.0
376	0.714
11586	0.125
62472	0.125
11584	0.125
29026	1.0
57726	1.0
7802	0.875
441	0.875
9633	1.0
11465	0.222
10243171	0.222
11332993	0.222
11610	0.222
11422	0.222
194092	0.222
7199	0.222
26516	0.25
27296	0.333
72556	0.333
19709	0.333
391428	0.8
14198	0.8
6402	0.8
14680	1.0
6478	0.167
8262	0.0
8273	0.0
7888	0.909
6735	0.0
6588	0.0
7420	0.333
10343	0.143
19766	0.0
13047	0.0
11294	0.0
75951	0.75
72793	0.75
7076	0.625
10422	0.857
11863	1.0
13846749	0.222
21108577	0.222
7406	0.222
21106008	0.222
65701	0.125
21105897	0.222
11596	0.222
21106900	0.222
9965	0.222
10410	0.4
7419	0.4
8356	0.4
6999	0.4
7088	0.4
7448	0.4
7183	0.4
7155	0.0
11871	1.0
13835351	0.143
6773	0.143
6852	0.091
2157	0.111
6604	0.0
17880	1.0
99681	0.75
67460	0.333
18920	1.0
11841	1.0
8569	1.0
455420	1.0
7533	1.0
7434	1.0
932	1.0
123993	1.0
62230	1.0
9893	0.3
10586285	0.1
6688	0.0
109705	0.333
7151	0.0
9724	1.0
10265270	1.0
10179239	1.0
6586	0.0
13872122	0.333
11862	1.0
440	1.0
7694	0.875
11716	0.875
29005	0.875
8568	0.875
