Compound Id	ChiCluster [SC-3]
9349	0.577
11600	0.493
764	0.577
21106535	0.289
7721	0.0
9233	0.0
18607	0.0
13837281	0.667
66567	3.25
7676	0.289
156255	0.471
9547	0.705
6406	0.569
13862665	0.408
29001	0.816
7024	0.289
7787	0.0
15077490	1.655
63054	1.049
11799	0.408
7466	0.289
10053	2.0
6307	0.408
7711	0.0
18971812	2.5
10781	1.570
11783	0.289
7685	0.289
13630	0.289
63889	0.577
9228	0.577
1108	0.289
10534	0.0
7679	0.289
12643	0.289
7684	0.289
12499	1.155
24590970	1.655
6950	0.333
56144	2.366
11110	0.0
12209	0.0
10124	0.667
24041	0.289
25886	0.204
19477	0.204
17784	1.510
3973	1.339
7224	0.204
11833	0.0
29000	0.408
8398	0.289
6040	0.0
14672	1.561
21011	0.408
10947	0.289
6165	1.561
13837702	0.0
235	0.204
55091	1.655
66809	0.204
62489	0.204
11080	0.577
5596	0.471
392	0.577
13257	0.577
12231	0.471
2606	1.655
8528	0.577
8878	0.408
19231	0.204
7681	0.289
11911	1.561
6342	0.667
18219	0.0
7248	0.493
11661	0.493
7710	0.0
768	0.538
11125	0.0
10492	0.408
7463	0.289
7706	0.408
11680	0.289
7701	0.408
10001	0.816
7627	0.816
10571	0.569
5708	0.204
19953955	0.0
13848341	0.577
76394	0.493
13835604	0.0
7138	0.5
7443	0.493
913	0.5
5709	0.5
7673	0.289
13875432	0.577
13875219	0.577
13837686	0.471
7013	0.289
92731	1.488
13874867	0.697
71787	0.697
7745	0.816
7678	0.289
13255	0.577
59447	0.289
48024	0.289
8868	0.333
5593	0.333
13835932	0.471
28981	0.204
4510484	0.204
7534	0.577
215929	0.289
13662	0.789
123207	0.577
7090	1.510
12201	0.408
11109	0.0
12446	0.408
7769	0.0
63631	0.667
24263	1.435
6364	1.388
7221	0.204
7240	0.204
6186	2.5
6187	2.5
7238	0.204
13835772	0.471
13839082	0.577
21105871	0.577
13860335	0.204
24533	0.204
28992	0.577
20843	0.471
21106032	0.0
6156	2.0
789	0.977
13836520	0.204
10628694	0.622
185	0.538
21106036	0.994
4444608	0.0
13837797	0.0
7794	0.816
11795	0.408
120621	0.816
20119	0.408
26765	0.289
192642	0.569
12821	0.493
12478	0.493
7389	0.204
10497	0.0
109838	0.0
16778	0.0
7705	0.408
13835293	1.207
13839441	0.0
13863618	0.402
28682	0.5
238	0.5
123	0.493
63908	0.493
9581	0.493
13875196	0.493
2018460	1.570
10512	0.0
55090	1.561
456015	0.204
13869451	0.577
13854248	0.471
13869339	0.577
1151	0.827
9574	0.789
11086	0.289
11857	0.0
7677	0.289
11788	0.289
62589	0.289
7686	0.289
776	0.333
7478	0.289
15802	0.289
17976	1.969
9579	0.789
10664	0.789
955	0.789
13837787	0.705
1266393	0.408
13875441	0.577
13842573	0.577
6974	0.471
10437239	0.704
7767	0.0
7604	0.408
7010	0.289
6163	1.561
6340	0.667
7234	0.204
13854136	0.471
13835151	0.577
13860692	0.577
21105905	0.204
21106560	0.204
