Compound Id	LargestChain
937	0
127983	1
217	0
692	1
763	1
748	1
23208	3
291	0
11148	1
391	0
274	2
923	3
6105	3
21106179	4
6086	1
864	1
8960	1
22814	0
6153	5
518	0
278	2
1087	3
16641	3
6085	1
6089	1
4514529	0
22408	0
9642	2
13571291	4
693	3
6087	1
11153	3
6084	1
6102	3
7568	4
172	3
6132	4
9243	3
2275	0
12066	0
10205670	5
10441	4
4937830	4
6111	0
6135	4
6083	1
6128	4
6123	4
9484	5
6095	3
7956	3
682	3
1019	0
9990	4
4514586	0
12577	6
9286	6
11727	4
16425	7
7577	4
171	4
1143	3
6098	3
9256	7
9994	0
7954	3
6101	3
654	2
6108	2
6104	3
8900	0
6191	8
21106169	6
21112738	4
7559	4
4481813	4
28994	4
173	4
6088	1
13835235	4
6130	4
6097	3
6314	5
11228	5
13836713	4
6151	5
6094	3
70850	5
11811	5
6145	5
6310	5
773	0
7738	0
5978	5
12197	4
7566	4
6093	3
512	4
13872989	4
175	4
2018165	5
6148	5
12640	0
8902	0
13835336	4
6103	3
1039	2
7030	0
6333	5
71390	4
6338	5
6092	3
2005981	3
21106015	4
19475	6
23730	6
7736	0
12442	4
16841	7
7557	4
7558	4
10772140	5
11154	3
13835977	4
1004	4
3644	4
13835550	4
13835316	4
553742	4
558928	4
1577	0
7790	0
2916	3
8899	0
6190	8
7734	5
1005	5
6335	5
5894	5
13836674	4
659	4
29008	0
11749	6
11910	6
7012	6
11065	6
6164	6
11239	6
5977	4
7330	0
62827	8
7546	1
7737	0
11756	6
4514549	0
3102535	0
363458	0
7556	4
56442	4
4449912	4
7957	4
7564	4
1114	3
7777	6
7606	6
8904	0
8903	0
6149	5
6125	4
29040	7
454215	7
7029	0
7739	0
9391	7
7733	5
394562	5
6322	5
60524	5
6330	5
6334	5
5993	5
6100	3
13837190	5
13835224	5
7728	5
13839553	5
558020	0
62808	0
124968	0
14829	5
21111820	0
10437	4
6121	4
558875	4
8544	0
7553	4
11526	6
592	6
10771217	6
10498	5
6119	4
81815	3
14694	6
30713	6
7555	4
6120	4
24043	7
19476	7
6177	7
8012	7
12957	7
13875283	0
1020	0
10340	0
12225	0
1348	0
844	7
29015	0
10018	0
7717	5
6311	5
7732	5
6321	5
13871721	5
62597	5
6313	5
256	5
9016	7
9254	7
14441700	6
61213	6
7727	5
13836021	5
8733	5
13863629	1
9363	0
61111	0
7560	4
11729	4
10606755	10
38403	10
7636	0
374462	0
3951	6
7616	6
552744	6
8896	0
7615	6
387	6
5439	6
13837650	4
13853215	8
9392	8
7552	4
6118	4
733	6
454209	6
66565	0
7817	7
7081	7
11809	5
13837280	5
236	0
11731	4
8141	0
29036	4
13837537	0
2340753	6
10325184	6
107412	8
11099	5
6309	5
558883	5
56020	5
11806	5
1095	0
8351654	3
3168	5
10709	5
6312	5
258	5
6320	5
6146	5
415	5
4444456	5
12229	0
9614	0
5730	5
7551	4
2282428	7
9251	7
3441	7
9461	8
8329688	6
61346	9
9095782	8
21171407	4
7782	6
11755	6
10653	6
8525	6
6341	6
259	6
23621376	6
7021	6
11244	6
1141	0
21111806	0
21108550	0
9325	0
7961	6
10251740	3
66021	0
10437074	0
66996	0
6042	5
6326	5
10325078	8
11117	0
2062437	7
13867413	7
10675065	9
7630	7
7026	0
8554	0
7028	0
13835459	0
29004	0
13634	2
6106	3
10765	5
7713	5
4483639	5
4483638	5
10113	5
7469	8
7472	8
6649	8
21943	8
84036	8
68152	8
25889	8
7018	6
7716	5
23255	5
11230	5
7730	5
13838404	4
971	0
10008	0
7688	0
1664	0
71089	0
8543	5
6316	5
62826	8
10197150	8
10488	0
21168808	0
13647	3
221117	0
7220	2
10364	2
7672	0
59674	6
11752	6
13816	6
29107	6
61707	6
10464	6
65936	2
2038738	1
31029	4
6122	4
13836589	6
13836591	6
10948	6
13835209	6
13861343	7
4489	0
11351244	0
577	0
9360	0
9350	0
9326	0
9253	7
83734	7
71312	7
2293678	7
23055	6
10054	5
7714	5
6315	5
13299573	9
7689	0
11784	0
11785	0
9411	9
3631	10
7788	0
21105795	2
7791	0
13866746	0
70714	0
70715	0
7514	8
11036	8
472932	4
105291	3
5976	0
6188	8
99596	7
7712	5
6308	5
9646	5
2056044	12
61149	12
5889	0
21106520	0
13874733	0
13839199	0
1078	8
13836549	0
1015	0
7770	6
11525	6
12626	6
7772	6
10777	6
7016	6
7607	6
73583	8
7241	2
7225	2
78	1
60329	6
1609	6
13854944	6
13835861	6
24099	6
12816	2
9943	2
10772050	7
13837760	0
4878	0
17443	1
120489	1
9349	0
11600	2
764	0
21106535	6
7721	5
9233	5
18607	5
13837281	6
66567	11
7676	0
156255	0
9547	3
6406	7
13862665	7
29001	7
7024	0
7787	0
15077490	7
63054	0
11799	7
7466	7
10053	5
6307	5
7711	5
18971812	8
10781	8
11783	0
7685	0
13630	0
63889	0
9228	0
1108	0
10534	0
7679	0
12643	0
7684	0
12499	0
24590970	7
6950	0
56144	10
11110	6
12209	6
10124	6
24041	9
25886	9
19477	9
17784	9
3973	8
7224	1
11833	6
29000	6
8398	6
6040	6
14672	6
21011	6
10947	6
6165	6
13837702	6
235	1
55091	7
66809	1
62489	1
11080	0
5596	0
392	0
13257	0
12231	0
2606	7
8528	0
8878	0
19231	2
7681	0
11911	6
6342	6
18219	5
7248	2
11661	2
7710	5
768	0
11125	7
10492	7
7463	7
7706	7
11680	7
7701	7
10001	7
7627	7
10571	7
5708	7
19953955	7
13848341	10
76394	1
13835604	7
7138	2
7443	2
913	3
5709	2
7673	0
13875432	0
13875219	0
13837686	0
7013	6
92731	9
13874867	8
71787	8
7745	8
7678	0
13255	0
59447	0
48024	0
8868	0
5593	0
13835932	8
28981	9
4510484	9
7534	9
215929	9
13662	2
123207	0
7090	3
12201	6
11109	6
12446	6
7769	6
63631	6
24263	0
6364	0
7221	2
7240	1
6186	8
6187	8
7238	2
13835772	0
13839082	0
21105871	0
13860335	1
24533	1
28992	0
20843	0
21106032	6
6156	5
789	9
13836520	5
10628694	0
185	0
21106036	3
4444608	7
13837797	7
7794	9
11795	7
120621	7
20119	7
26765	7
192642	7
12821	2
12478	2
7389	3
10497	5
109838	7
16778	7
7705	7
13835293	7
13839441	7
13863618	2
28682	3
238	3
123	2
63908	1
9581	1
13875196	1
2018460	8
10512	6
55090	6
456015	1
13869451	0
13854248	0
13869339	0
1151	0
9574	3
11086	0
11857	0
7677	0
11788	0
62589	0
7686	0
776	0
7478	8
15802	9
17976	9
9579	3
10664	3
955	2
13837787	3
1266393	7
13875441	0
13842573	0
6974	0
10437239	3
7767	6
7604	6
7010	6
6163	6
6340	6
7234	2
13854136	0
13835151	0
13860692	0
21105905	2
21106560	2
7242	1
11077	0
11042	0
10940	0
10937	0
13842613	0
21132380	0
7223	1
11582	2
6774	1
9218	4
7236	2
7480	0
499714	3
13857694	0
13866817	0
13837988	0
12228	0
83866	0
83850	0
6621	0
7671	10
7074	10
62467	3
30516	10
10487	0
11846	7
7098	4
61191	4
73412	6
6176	7
10791	7
10788	7
7621	7
11025	7
11095	7
5949	7
63156	7
10101	8
68156	7
9377	7
5026296	0
13648	3
2241	2
13644	3
13856009	3
11087	0
8657	1
8665	2
9564	0
447	2
2039535	3
10384035	3
4962	2
10437135	3
7776	6
7180	2
7182	2
10669	2
8531	1
8335	1
10253	2
10979	2
7181	2
13875160	0
13875281	0
13875230	0
13840690	1
4449	0
744	0
68832	8
7674	0
8908	0
191367	8
11695	8
7766	6
61487	6
331	3
7142	3
132	3
7145	3
13846959	2
13853943	3
222538	4
65523	4
2849146	4
10437210	1
21108548	0
21106019	2
21106014	2
16159	7
7786	6
7219	2
7521	0
7641	0
6967	0
9874	5
13054	5
15443	2
10939	0
6179	7
21106470	0
8855	0
11861	10
11845	7
13839308	3
10536	9
7823	7
7812	7
11793	7
7622	7
7459	7
11024	7
11794	7
11678	7
10787	7
7626	7
11996	7
55188	7
11732	7
10790	7
11056	7
11180	7
13866593	7
7703	7
21106020	3
13853953	3
21106013	3
256210	0
7518	0
13876539	3
7132	3
21106524	2
21168826	2
13865424	2
71433	6
455090	2
503239	2
13860775	1
13869480	1
13869414	2
11849	7
11083	0
6988	0
8140	0
65	0
10857	0
6633	0
21111822	0
7239	1
6550	0
26325086	0
71430	1
21106173	0
7765	6
13859497	2
6775	2
11672	1
11773	2
12012	8
7761	8
8552	8
62249	8
7515	8
7475	8
29012	8
11706	8
7064	8
11992	8
10446	8
7065	8
11207996	8
7747	8
11193	8
19956441	8
11107	8
11694	8
11930	8
9903	0
4963	3
953	3
21106146	3
21106144	2
13863774	3
73479	2
58563	3
299166	2
13875320	0
13875258	0
13875392	0
21112023	3
13851576	1
11769	0
10432	0
10328	0
63310	0
59573	7
7161	2
6720	2
13850142	3
390927	4
206493	0
11667	1
21106018	0
12823	1
55205	8
69982	12
10710415	9
13865426	9
6780	0
8098	0
6658	4
9970	0
7528	0
7530	0
11489	0
526	2
6339	6
7984	9
21111817	2
63906	2
3350	3
1446	2
18	2
71	3
7146	3
11121	7
555074	7
7811	7
8562	7
7624	7
8158	7
6079	3
434	3
8071	3
21105959	1
13865438	1
21106135	1
7391	3
28982	1
13839110	0
13839151	0
13865680	2
11604	1
13839128	0
13839174	0
13839105	0
13839123	0
11021	2
20570	2
7131	3
5830	3
24972	0
10992	2
553171	10
13860817	0
11778	0
13860720	0
136966	1
13848793	0
30572	10
7866	11
19957731	11
10257	3
7211	3
7172	2
13875356	0
13875212	0
13868640	0
10864	3
21181	8
12445	8
122446	8
62534	3
62408	3
11830	6
13835836	8
13835376	8
127750	8
13836399	8
13884973	8
13839416	8
21109330	8
18707	0
6883	4
7189	3
28969	4
61765	4
21111781	2
5915	4
68568	3
64699	9
7140	3
8070	3
7190	3
10181341	4
221226	3
10526	7
120464	7
7150	4
12259	0
13860	3
11563	3
7003	9
7662	0
13862559	0
13864445	0
13865630	12
553642	0
8876	0
906	0
13638	0
6480	0
11866	8
13839109	9
11591	3
9454	4
21106148	2
6781	3
206561	4
13803	8
8560	7
11094	7
11023	7
11055	7
10786	7
7619	7
10755	7
11551	7
221082	3
7129	3
8950	3
15965	6
13868660	0
7092	4
924	2
13860641	2
21106525	2
10991	1
13869434	0
6630	0
13840647	0
13860491	0
13869462	0
63903	3
62530	3
13856352	3
551	0
14627	0
191	10
558917	11
6301	11
10616	2
5882	3
8183	3
6646	10
84971	10
388391	10
10980	3
10972	3
6674	3
361	3
13063	2
10797	8
28986	8
7760	8
7838	8
230	4
13842001	8
18801	8
21108576	3
21106518	3
62466	3
62485	2
11460	4
10254	3
21169510	9
880	4
7397	4
8674	2
62517	3
11651	3
10437215	4
60121	3
21105859	2
13848467	4
120548	2
2923	2
28947	4
21105878	2
11625	4
7815	7
7827	7
11761	7
14998	7
