Compound Id	ALOGP [ALogP]
937	0.0
127983	-0.127
217	0.0
692	-0.884
763	-0.921
748	0.568
23208	-0.817
291	0.0
11148	0.582
391	0.0
274	-0.147
923	-0.392
6105	0.477
21106179	1.027
6086	0.939
864	-0.358
8960	-1.191
22814	0.0
6153	2.437
518	N/A
278	-0.309
1087	-0.047
16641	0.883
6085	0.947
6089	-0.648
4514529	0.0
22408	0.0
9642	1.242
13571291	0.636
693	-0.704
6087	0.847
11153	0.775
6084	0.682
6102	0.045
7568	0.577
172	-0.183
6132	1.224
9243	0.832
2275	-0.045
12066	-0.279
10205670	0.038
10441	0.301
4937830	0.477
6111	-0.864
6135	0.426
6083	0.991
6128	0.945
6123	-0.698
9484	1.439
6095	1.407
7956	0.050
682	-0.108
1019	0.0
9990	1.874
4514586	0.0
12577	1.589
9286	1.208
11727	-0.869
16425	1.193
7577	-0.058
171	-0.230
1143	-0.628
6098	1.002
9256	1.702
9994	-0.419
7954	1.147
6101	-0.397
654	-0.216
6108	1.651
6104	1.073
8900	0.0
6191	2.196
21106169	0.649
21112738	1.521
7559	0.408
4481813	-0.141
28994	-0.601
173	-0.625
6088	1.522
13835235	-0.897
6130	1.420
6097	1.097
6314	0.962
11228	0.0
13836713	1.230
6151	3.011
6094	-0.185
70850	-0.266
11811	-0.543
6145	0.284
6310	-0.165
773	-0.420
7738	-0.154
5978	-0.221
12197	1.472
7566	0.121
6093	1.284
512	-0.106
13872989	0.259
175	-0.244
2018165	1.360
6148	1.636
12640	0.440
8902	0.0
13835336	-1.187
6103	0.864
1039	0.795
7030	0.483
6333	0.361
71390	1.624
6338	0.789
6092	1.242
2005981	0.271
21106015	0.307
19475	0.175
23730	0.341
7736	-0.420
12442	1.392
16841	2.0
7557	1.415
7558	1.072
10772140	0.303
11154	1.686
13835977	-0.031
1004	-0.685
3644	-0.408
13835550	-1.477
13835316	1.688
553742	1.057
558928	1.057
1577	-0.750
7790	-0.446
2916	1.496
8899	0.591
6190	2.393
7734	0.193
1005	-0.154
6335	0.021
5894	0.091
13836674	1.463
659	-0.317
29008	-0.973
11749	0.533
11910	1.364
7012	-0.134
11065	0.415
6164	1.108
11239	0.113
5977	1.617
7330	0.998
62827	1.587
7546	-0.430
7737	-0.707
11756	1.045
4514549	0.0
3102535	-1.904
363458	-0.539
7556	0.471
56442	1.347
4449912	1.347
7957	1.796
7564	-0.975
1114	0.320
7777	-0.831
7606	-0.453
8904	0.0
8903	0.0
6149	3.298
6125	1.541
29040	2.211
454215	2.102
7029	-0.333
7739	0.591
9391	0.639
7733	0.219
394562	0.608
6322	0.347
60524	-0.202
6330	-0.549
6334	-0.523
5993	-0.499
6100	1.773
13837190	-0.098
13835224	-0.908
7728	-0.489
13839553	-1.185
558020	0.236
62808	0.480
124968	0.103
14829	1.833
21111820	1.233
10437	0.519
6121	0.797
558875	1.225
8544	0.691
7553	1.608
11526	0.664
592	-0.806
10771217	0.965
10498	0.825
6119	1.821
81815	0.660
14694	2.051
30713	1.803
7555	-0.473
6120	1.012
24043	0.425
19476	0.708
6177	1.316
8012	-0.182
12957	-0.237
13875283	1.122
1020	0.0
10340	0.285
12225	0.051
1348	0.115
844	-0.445
29015	-0.262
10018	-0.567
7717	-0.167
6311	0.769
7732	0.385
6321	-0.168
13871721	0.459
62597	-0.029
6313	0.542
256	-0.394
9016	2.298
9254	2.197
14441700	1.058
61213	1.299
7727	-0.778
13836021	-0.755
8733	-1.475
13863629	-0.347
9363	0.236
61111	0.480
7560	0.286
11729	1.046
10606755	1.497
38403	2.236
7636	0.472
374462	-2.177
3951	0.914
7616	0.105
552744	0.561
8896	-1.440
7615	0.211
387	0.6
5439	0.269
13837650	1.512
13853215	2.590
9392	2.590
7552	0.664
6118	0.941
733	-1.408
454209	0.306
66565	0.472
7817	-0.481
7081	-0.810
11809	0.019
13837280	1.743
236	0.0
11731	1.386
8141	-0.770
29036	2.025
13837537	-0.528
2340753	2.195
10325184	2.255
107412	1.851
11099	1.477
6309	1.861
558883	1.615
56020	1.615
11806	0.591
1095	0.038
8351654	0.872
3168	0.551
10709	-0.277
