Compound Id	ALOGP [AMR]
11600	13.646
764	5.129
21106535	26.618
7721	25.126
9233	27.775
18607	27.013
13837281	30.945
66567	23.469
7676	5.616
156255	23.975
9547	8.092
6406	26.418
13862665	26.576
29001	26.09
7024	23.262
7787	17.470
15077490	29.468
63054	6.055
11799	20.137
7466	24.480
10053	28.1
6307	27.579
7711	25.033
18971812	26.052
10781	36.472
11783	8.599
7685	8.919
13630	8.599
63889	7.561
9228	6.488
1108	5.502
10534	35.821
7679	23.179
12643	26.556
7684	29.063
12499	6.927
24590970	29.165
6950	0.0
56144	26.401
11110	29.198
12209	24.351
10124	28.858
24041	33.7
25886	38.376
19477	35.082
17784	38.148
3973	27.975
7224	6.199
11833	23.750
29000	24.456
8398	24.622
6040	21.910
14672	26.816
21011	23.583
10947	23.583
6165	25.143
13837702	23.692
235	6.294
55091	28.380
66809	7.316
62489	7.316
11080	6.787
5596	6.787
392	6.787
13257	7.447
12231	32.942
2606	29.246
8528	8.444
8878	28.278
19231	29.262
7681	8.692
11911	31.267
6342	30.764
18219	34.774
7248	15.649
11661	15.649
7710	29.534
768	14.042
11125	24.078
10492	26.624
7463	26.730
7706	25.239
11680	25.348
7701	23.490
10001	26.036
7627	26.911
10571	27.075
5708	28.638
19953955	22.562
13848341	33.075
76394	8.144
13835604	27.278
7138	3.89
7443	4.008
913	7.219
5709	7.219
7673	8.599
13875432	8.180
13875219	8.180
13837686	8.180
7013	29.669
92731	28.411
13874867	27.308
71787	25.332
7745	23.981
7678	20.521
13255	26.036
59447	30.033
48024	30.744
8868	1.619
5593	3.3
13835932	26.479
28981	34.9
4510484	39.005
7534	37.689
215929	34.977
13662	5.835
123207	10.544
7090	6.435
12201	29.280
11109	26.321
12446	28.105
7769	23.568
63631	29.487
24263	44.991
6364	41.926
7221	10.147
7240	10.147
6186	32.208
6187	32.208
7238	7.316
13835772	8.067
13839082	8.067
21105871	8.067
13860335	7.277
24533	8.810
28992	11.465
20843	11.465
21106032	26.479
6156	22.196
789	27.915
13836520	30.920
10628694	5.463
185	7.522
21106036	5.635
4444608	29.8
13837797	31.338
7794	41.260
11795	23.713
120621	28.061
20119	26.388
26765	26.498
192642	28.225
12821	8.763
12478	8.763
7389	7.442
10497	30.380
109838	28.350
16778	27.131
7705	28.803
13835293	28.178
13839441	23.288
13863618	8.859
28682	10.770
238	7.219
123	8.859
63908	9.261
9581	8.188
13875196	8.188
2018460	31.743
10512	24.961
55090	28.194
456015	13.490
13869451	9.838
13854248	9.838
13869339	9.838
1151	8.429
9574	8.092
11086	29.741
11857	27.957
7677	22.178
11788	26.754
62589	27.083
7686	26.044
776	3.3
7478	27.624
15802	37.971
17976	42.712
9579	8.092
10664	6.455
955	6.455
13837787	5.450
1266393	32.793
13875441	11.164
13842573	11.164
6974	11.164
10437239	16.779
7767	23.444
7604	27.530
7010	26.156
6163	29.477
6340	28.536
7234	8.997
13854136	9.724
13835151	9.724
13860692	9.724
21105905	10.351
21106560	10.351
7242	8.810
11077	11.004
11042	11.235
10940	11.235
10937	11.004
13842613	11.465
21132380	11.235
7223	8.934
11582	10.089
6774	17.196
9218	13.738
7236	26.714
7480	25.438
499714	29.442
13857694	11.231
13866817	11.231
13837988	11.231
12228	0.0
83866	23.571
83850	23.571
6621	11.004
7671	39.732
7074	39.701
62467	13.057
30516	38.614
10487	23.572
11846	25.381
7098	8.999
61191	8.999
73412	29.462
6176	29.897
10791	30.880
10788	28.935
7621	29.587
11025	29.153
11095	27.042
5949	25.477
63156	27.699
10101	28.099
68156	24.946
9377	23.130
5026296	44.282
13648	10.770
2241	7.442
13644	10.770
13856009	10.770
11087	13.946
8657	9.880
8665	9.880
9564	10.631
447	9.880
2039535	11.610
10384035	11.610
4962	9.841
10437135	11.610
7776	28.037
7180	46.855
7182	47.698
10669	45.634
8531	20.701
8335	20.701
10253	19.770
10979	47.969
7181	47.476
13875160	11.118
13875281	11.118
13875230	11.118
13840690	10.328
4449	26.886
744	14.964
68832	31.114
7674	26.174
8908	20.381
191367	23.049
11695	28.774
7766	27.945
61487	31.177
331	9.784
7142	9.784
132	9.784
7145	8.112
13846959	7.108
13853943	8.112
222538	11.988
65523	11.988
2849146	11.988
10437210	8.230
21108548	14.819
21106019	11.910
21106014	11.910
16159	34.205
7786	35.568
7219	10.351
7521	11.004
7641	11.004
6967	11.004
9874	16.573
13054	19.066
15443	27.554
10939	29.524
6179	36.321
21106470	0.0
8855	0.0
11861	35.230
11845	27.263
13839308	10.748
10536	40.662
7823	28.664
7812	24.822
11793	28.908
7622	30.581
7459	29.074
11024	27.534
11794	26.495
11678	26.495
10787	29.207
7626	32.010
11996	31.110
55188	29.894
11732	30.855
10790	29.041
11056	29.595
11180	30.6
13866593	26.603
7703	30.850
21106020	9.506
13853953	9.506
21106013	9.506
256210	1.945
7518	14.215
13876539	10.843
7132	10.770
21106524	11.796
21168826	11.796
13865424	11.796
71433	26.130
455090	14.291
503239	14.291
13860775	11.538
13869480	11.538
13869414	11.538
11849	28.044
11083	13.796
6988	13.796
8140	13.796
65	13.796
10857	13.796
6633	13.796
21111822	14.194
7239	13.490
6550	12.383
26325086	31.645
71430	28.429
21106173	30.225
7765	32.446
13859497	13.766
6775	12.397
11672	12.397
11773	12.397
12012	26.990
7761	29.536
8552	26.402
62249	31.115
7515	30.262
7475	29.642
29012	28.150
11706	28.260
7064	29.836
11992	31.935
10446	31.217
7065	31.369
11207996	26.836
7747	30.696
11193	31.195
19956441	25.474
11107	26.377
11694	29.924
11930	32.729
9903	12.642
4963	10.006
953	11.441
21106146	9.392
21106144	9.392
13863774	9.392
73479	9.510
58563	10.006
299166	12.715
13875320	14.101
13875258	14.101
13875392	14.101
21112023	11.643
13851576	13.311
11769	16.511
10432	16.511
10328	16.511
63310	35.763
59573	26.523
7161	46.593
6720	45.224
13850142	47.919
390927	47.919
206493	13.66
11667	12.931
21106018	13.682
12823	12.892
55205	29.3
69982	35.316
10710415	32.135
13865426	31.602
6780	0.0
8098	0.0
6658	16.644
9970	23.432
7528	34.618
7530	36.038
11489	5.899
526	10.184
6339	42.030
7984	31.728
21111817	14.893
63906	14.893
3350	12.349
1446	12.349
18	12.349
71	12.349
7146	12.349
11121	29.232
555074	32.225
7811	26.479
8562	30.345
7624	33.691
8158	32.870
6079	12.835
434	12.835
8071	12.835
21105959	12.818
13865438	12.818
21106135	12.818
7391	11.610
28982	12.915
13839110	13.569
13839151	13.569
13865680	12.915
11604	12.915
13839128	13.569
13839174	13.569
13839105	13.569
13839123	13.569
11021	12.779
20570	14.291
7131	11.861
5830	11.729
24972	17.197
10992	12.779
553171	34.145
13860817	15.453
11778	15.453
13860720	15.453
136966	16.43
13848793	6.292
30572	29.444
7866	35.137
