Compound Id	KierHallSmarts [khs.sCH3]
937	0
127983	0
217	0
692	0
763	0
748	0
23208	0
291	0
11148	1
391	0
274	0
923	0
6105	0
21106179	0
6086	0
864	1
8960	0
22814	0
6153	0
518	N/A
278	0
1087	0
16641	0
6085	0
6089	1
4514529	0
22408	0
9642	0
13571291	0
693	0
6087	1
11153	0
6084	1
6102	1
7568	0
172	1
6132	0
9243	1
2275	0
12066	0
10205670	0
10441	2
4937830	1
6111	0
6135	1
6083	1
6128	1
6123	2
9484	1
6095	1
7956	2
682	1
1019	0
9990	2
4514586	0
12577	0
9286	0
11727	1
16425	0
7577	1
171	1
1143	0
6098	0
9256	0
9994	0
7954	1
6101	1
654	2
6108	0
6104	0
8900	0
6191	0
21106169	0
21112738	0
7559	0
4481813	1
28994	1
173	1
6088	1
13835235	0
6130	0
6097	1
6314	1
11228	3
13836713	0
6151	0
6094	2
70850	3
11811	2
6145	3
6310	2
773	0
7738	0
5978	2
12197	0
7566	1
6093	0
512	1
13872989	0
175	2
2018165	0
6148	1
12640	1
8902	0
13835336	0
6103	1
1039	2
7030	0
6333	0
71390	0
6338	1
6092	1
2005981	0
21106015	0
19475	1
23730	2
7736	0
12442	0
16841	0
7557	0
7558	1
10772140	0
11154	0
13835977	0
1004	1
3644	2
13835550	0
13835316	0
553742	0
558928	0
1577	0
7790	0
2916	0
8899	0
6190	0
7734	1
1005	1
6335	2
5894	2
13836674	0
659	2
29008	0
11749	3
11910	3
7012	2
11065	2
6164	3
11239	3
5977	0
7330	0
62827	0
7546	1
7737	0
11756	1
4514549	0
3102535	0
363458	1
7556	1
56442	2
4449912	2
7957	2
7564	1
1114	3
7777	2
7606	2
8904	0
8903	0
6149	0
6125	1
29040	0
454215	0
7029	0
7739	0
9391	1
7733	0
394562	1
6322	1
60524	2
6330	1
6334	2
5993	2
6100	1
13837190	2
13835224	1
7728	1
13839553	0
558020	0
62808	0
124968	0
14829	1
21111820	1
10437	1
6121	2
558875	0
8544	0
7553	0
11526	2
592	1
10771217	0
10498	0
6119	0
81815	0
14694	0
30713	0
7555	2
6120	3
24043	1
19476	1
6177	3
8012	2
12957	2
13875283	1
1020	0
10340	1
12225	1
1348	1
844	0
29015	0
10018	0
7717	1
6311	2
7732	1
6321	2
13871721	1
62597	0
6313	2
256	1
9016	0
9254	0
14441700	1
61213	1
7727	1
13836021	1
8733	0
13863629	0
9363	0
61111	0
7560	1
11729	2
10606755	0
38403	0
7636	1
374462	0
3951	1
7616	1
552744	1
8896	0
7615	1
387	2
5439	1
13837650	0
13853215	0
9392	0
7552	1
6118	2
733	0
454209	2
66565	0
7817	1
7081	2
11809	0
13837280	0
236	0
11731	2
8141	0
29036	0
13837537	0
2340753	0
10325184	0
107412	0
11099	0
6309	1
558883	1
56020	1
11806	1
1095	0
8351654	0
3168	2
10709	2
6312	2
258	1
6320	2
6146	3
415	0
4444456	0
12229	0
9614	0
5730	0
7551	0
2282428	0
9251	0
3441	0
9461	0
8329688	1
61346	0
9095782	2
21171407	0
7782	1
11755	2
10653	2
8525	2
6341	2
259	1
23621376	1
7021	2
11244	2
1141	0
21111806	0
21108550	0
9325	0
7961	0
10251740	0
66021	0
10437074	0
66996	0
6042	1
6326	0
10325078	0
11117	0
2062437	1
13867413	1
10675065	0
7630	2
7026	0
8554	0
7028	1
13835459	0
29004	3
13634	0
6106	0
10765	2
7713	1
4483639	2
4483638	2
10113	3
7469	2
7472	3
6649	2
21943	2
84036	2
68152	4
25889	3
7018	0
7716	1
23255	2
11230	3
7730	2
13838404	0
971	0
10008	0
7688	1
1664	0
71089	1
8543	0
6316	1
62826	0
10197150	0
10488	0
21168808	1
13647	0
221117	2
7220	0
10364	0
7672	0
59674	1
11752	2
13816	2
29107	3
61707	2
10464	1
65936	0
2038738	0
31029	1
6122	2
13836589	2
13836591	1
10948	1
13835209	0
13861343	0
4489	0
11351244	0
577	0
9360	0
9350	0
9326	0
9253	0
83734	0
71312	0
2293678	0
23055	1
10054	3
7714	1
6315	2
13299573	0
7689	0
11784	0
11785	0
9411	1
3631	0
7788	0
21105795	0
7791	0
13866746	0
70714	0
70715	0
7514	2
11036	2
472932	0
105291	1
5976	0
6188	0
99596	1
7712	2
6308	3
9646	4
2056044	0
61149	0
5889	0
21106520	1
13874733	1
13839199	1
1078	0
13836549	0
1015	0
7770	1
11525	1
12626	0
7772	1
10777	3
7016	2
7607	2
73583	1
7241	0
7225	0
78	0
60329	1
1609	1
13854944	2
13835861	2
24099	0
12816	0
9943	0
10772050	0
13837760	0
4878	0
17443	1
120489	1
9349	0
11600	1
764	0
21106535	0
7721	1
9233	2
18607	2
13837281	0
66567	1
7676	0
156255	0
9547	0
6406	2
13862665	1
29001	2
7024	1
7787	0
15077490	0
63054	0
11799	1
7466	2
10053	3
6307	2
7711	1
18971812	2
10781	5
