Compound Id	PetitjeanNumber
937	0.0
127983	0.0
217	0.0
692	0.0
763	0.0
748	0.0
23208	0.5
291	0.0
11148	0.0
391	0.0
274	0.5
923	0.5
6105	0.5
21106179	0.5
6086	0.0
864	0.0
8960	0.0
22814	0.0
6153	0.5
518	0.0
278	0.5
1087	0.5
16641	0.5
6085	0.0
6089	0.0
4514529	0.0
22408	0.0
9642	0.5
13571291	0.333
693	0.5
6087	0.0
11153	0.5
6084	0.0
6102	0.5
7568	0.333
172	0.5
6132	0.5
9243	0.5
2275	0.333
12066	0.0
10205670	0.333
10441	0.333
4937830	0.333
6111	0.0
6135	0.5
6083	0.0
6128	0.5
6123	0.5
9484	0.5
6095	0.5
7956	0.5
682	0.5
1019	0.0
9990	0.333
4514586	0.0
12577	0.333
9286	0.333
11727	0.333
16425	0.5
7577	0.333
171	0.5
1143	0.5
6098	0.5
9256	0.333
9994	0.0
7954	0.5
6101	0.5
654	0.5
6108	0.5
6104	0.5
8900	0.0
6191	0.333
21106169	0.333
21112738	0.333
7559	0.333
4481813	0.333
28994	0.333
173	0.5
6088	0.0
13835235	0.333
6130	0.5
6097	0.5
6314	0.333
11228	0.333
13836713	0.333
6151	0.5
6094	0.5
70850	0.333
11811	0.5
6145	0.5
6310	0.333
773	0.0
7738	0.0
5978	0.5
12197	0.333
7566	0.333
6093	0.5
512	0.333
13872989	0.333
175	0.5
2018165	0.333
6148	0.5
12640	0.333
8902	0.0
13835336	0.333
6103	0.5
1039	0.5
7030	0.333
6333	0.333
71390	0.5
6338	0.333
6092	0.5
2005981	0.5
21106015	0.333
19475	0.5
23730	0.5
7736	0.0
12442	0.333
16841	0.333
7557	0.333
7558	0.333
10772140	0.333
11154	0.5
13835977	0.333
1004	0.333
3644	0.5
13835550	0.333
13835316	0.5
553742	0.333
558928	0.333
1577	0.333
7790	0.0
2916	0.5
8899	0.0
6190	0.333
7734	0.5
1005	0.333
6335	0.333
5894	0.333
13836674	0.333
659	0.5
29008	0.0
11749	0.5
11910	0.333
7012	0.5
11065	0.5
6164	0.333
11239	0.333
5977	0.5
7330	0.0
62827	0.5
7546	0.333
7737	0.0
11756	0.5
4514549	0.0
3102535	0.25
363458	0.25
7556	0.333
56442	0.333
4449912	0.333
7957	0.5
7564	0.333
1114	0.5
7777	0.4
7606	0.5
8904	0.0
8903	0.0
6149	0.5
6125	0.5
29040	0.333
454215	0.333
7029	0.333
7739	0.0
9391	0.333
7733	0.5
394562	0.5
6322	0.333
60524	0.333
6330	0.333
6334	0.333
5993	0.333
6100	0.5
13837190	0.5
13835224	0.333
7728	0.5
13839553	0.5
558020	0.25
62808	0.25
124968	0.25
14829	0.5
21111820	0.333
10437	0.333
6121	0.5
558875	0.333
8544	0.0
7553	0.333
11526	0.5
592	0.333
10771217	0.333
10498	0.5
6119	0.5
81815	0.5
14694	0.333
30713	0.333
7555	0.333
6120	0.5
24043	0.5
19476	0.4
6177	0.333
8012	0.5
12957	0.4
13875283	0.4
1020	0.0
10340	0.333
12225	0.333
1348	0.333
844	0.5
29015	0.0
10018	0.0
7717	0.5
6311	0.333
7732	0.5
6321	0.333
13871721	0.5
62597	0.5
6313	0.333
256	0.5
9016	0.333
9254	0.333
14441700	0.333
61213	0.333
7727	0.5
13836021	0.5
8733	0.5
13863629	0.5
9363	0.25
61111	0.25
7560	0.333
11729	0.333
10606755	0.5
38403	0.4
7636	0.5
374462	0.333
3951	0.333
7616	0.5
552744	0.5
8896	0.0
7615	0.5
387	0.333
5439	0.5
13837650	0.333
13853215	0.333
9392	0.333
7552	0.333
6118	0.5
733	0.5
454209	0.333
66565	0.25
7817	0.5
7081	0.5
11809	0.5
13837280	0.333
236	0.0
11731	0.333
8141	0.333
29036	0.5
13837537	0.0
2340753	0.333
10325184	0.333
107412	0.5
11099	0.5
6309	0.333
558883	0.5
56020	0.5
11806	0.5
1095	0.0
8351654	0.4
3168	0.5
10709	0.5
6312	0.333
258	0.5
6320	0.333
6146	0.5
415	0.5
4444456	0.5
12229	0.25
