Compound Id	WeightedPath [WTPT-3]
9349	4.990
11600	5.392
764	4.990
21106535	7.109
7721	2.362
9233	2.707
18607	2.634
13837281	9.301
66567	16.344
7676	2.491
156255	4.938
9547	7.332
6406	5.039
13862665	5.171
29001	4.707
7024	0.0
7787	0.0
15077490	11.588
63054	12.436
11799	7.671
7466	7.859
10053	2.25
6307	2.329
7711	2.362
18971812	9.25
10781	0.0
11783	5.435
7685	5.425
13630	5.438
63889	8.157
9228	4.990
1108	0.0
10534	0.0
7679	2.491
12643	2.491
7684	6.106
12499	14.906
24590970	9.260
6950	9.129
56144	16.427
11110	0.0
12209	0.0
10124	0.0
24041	8.148
25886	8.376
19477	8.325
17784	8.215
3973	12.049
7224	2.452
11833	2.670
29000	2.372
8398	2.364
6040	2.388
14672	2.591
21011	2.348
10947	2.382
6165	2.302
13837702	4.777
235	2.452
55091	11.588
66809	5.747
62489	5.733
11080	4.988
5596	4.978
392	4.990
13257	5.662
12231	5.646
2606	11.588
8528	7.913
8878	0.0
19231	8.703
7681	2.491
11911	9.237
6342	9.301
18219	7.975
7248	0.0
11661	0.0
7710	4.725
768	14.696
11125	5.218
10492	5.186
7463	5.199
7706	5.171
11680	5.077
7701	4.730
10001	4.707
7627	5.113
10571	5.039
5708	8.173
19953955	7.944
13848341	10.242
76394	8.148
13835604	7.656
7138	7.831
7443	7.726
913	7.795
5709	7.791
7673	2.491
13875432	4.988
13875219	4.990
13837686	4.978
7013	7.109
92731	14.135
13874867	7.452
71787	9.961
7745	9.472
7678	2.491
13255	2.895
59447	5.878
48024	6.106
8868	3.050
5593	6.101
13835932	9.597
28981	2.424
4510484	2.424
7534	2.434
215929	2.442
13662	13.535
123207	8.157
7090	7.118
12201	0.0
11109	0.0
12446	0.0
7769	2.388
63631	2.873
24263	0.0
6364	0.0
7221	2.971
7240	2.986
6186	13.875
6187	13.875
7238	2.761
13835772	2.489
13839082	2.495
21105871	2.494
13860335	2.452
24533	5.961
28992	5.871
20843	5.876
21106032	4.777
6156	3.0
789	9.458
13836520	5.651
10628694	11.845
185	14.696
21106036	12.857
4444608	2.401
13837797	2.854
7794	2.880
11795	4.730
120621	5.113
20119	5.171
26765	5.077
192642	5.039
12821	4.962
12478	4.961
7389	5.341
10497	2.362
109838	5.506
16778	5.255
7705	5.199
13835293	4.716
13839441	4.803
13863618	4.965
28682	8.383
238	4.815
123	4.961
63908	8.458
9581	5.272
13875196	5.271
2018460	11.752
10512	2.388
55090	2.302
456015	8.733
13869451	4.988
13854248	4.978
13869339	4.990
1151	17.183
9574	7.328
11086	0.0
11857	0.0
7677	2.491
11788	3.159
62589	2.947
7686	2.934
776	3.050
7478	8.064
15802	0.0
17976	0.0
9579	7.327
10664	10.345
955	10.345
13837787	10.347
1266393	7.536
13875441	4.988
13842573	4.990
6974	4.978
10437239	17.123
7767	0.0
7604	0.0
7010	0.0
6163	0.0
6340	0.0
7234	2.761
13854136	2.489
13835151	2.495
13860692	2.494
21105905	2.975
21106560	2.971
7242	2.986
11077	2.946
11042	2.935
10940	2.938
10937	2.950
13842613	2.925
21132380	2.939
7223	2.452
11582	10.315
6774	8.070
9218	7.848
7236	5.214
7480	5.461
499714	4.736
13857694	4.988
13866817	4.990
13837988	4.978
12228	2.491
83866	4.978
83850	4.978
6621	5.553
7671	5.209
7074	5.326
62467	7.328
30516	8.427
10487	2.491
11846	2.401
7098	9.632
61191	9.630
73412	4.777
6176	2.327
10791	2.394
10788	2.348
7621	2.354
11025	2.417
11095	2.365
5949	2.401
63156	2.401
10101	13.709
68156	4.803
9377	2.401
5026296	2.522
13648	5.403
2241	4.815
13644	5.383
13856009	5.388
11087	2.491
8657	5.272
8665	5.271
9564	4.981
447	5.274
2039535	8.910
10384035	8.932
4962	4.965
10437135	8.887
7776	2.388
7180	0.0
7182	0.0
10669	0.0
8531	0.0
8335	0.0
10253	0.0
10979	0.0
7181	0.0
13875160	2.495
13875281	2.489
13875230	2.494
13840690	2.452
4449	4.978
744	17.183
68832	4.788
7674	0.0
8908	0.0
191367	7.703
11695	8.064
7766	2.388
61487	2.302
331	7.332
7142	7.328
132	7.327
7145	10.345
13846959	10.345
13853943	10.347
222538	11.160
65523	11.182
2849146	11.204
10437210	10.225
21108548	4.990
21106019	4.961
21106014	4.965
16159	7.113
7786	5.561
7219	0.0
7521	0.0
7641	0.0
6967	0.0
9874	4.760
13054	8.211
15443	2.452
10939	2.489
6179	11.588
21106470	6.138
8855	6.105
11861	2.380
11845	0.0
13839308	2.433
10536	2.927
7823	2.854
7812	2.401
11793	2.393
7622	2.354
7459	2.381
11024	2.389
11794	2.365
11678	2.417
10787	2.348
7626	2.759
11996	2.737
55188	2.628
11732	2.373
10790	2.394
11056	2.328
11180	2.311
13866593	4.803
7703	5.334
21106020	10.345
13853953	10.347
21106013	10.345
256210	5.777
7518	4.990
13876539	2.433
7132	2.408
21106524	2.452
21168826	2.454
13865424	2.455
71433	3.104
455090	9.006
503239	8.976
13860775	5.274
13869480	5.272
13869414	5.271
11849	2.817
11083	7.484
6988	7.477
8140	7.477
65	7.477
10857	7.467
6633	7.467
21111822	2.495
7239	2.761
6550	8.071
26325086	8.775
71430	8.523
21106173	8.782
7765	4.777
13859497	8.597
6775	4.928
11672	4.921
11773	4.922
12012	5.243
7761	5.227
8552	4.747
62249	5.042
7515	5.289
7475	5.258
29012	5.216
11706	5.106
7064	4.720
11992	5.231
10446	5.118
7065	5.220
11207996	4.730
7747	5.187
11193	4.689
19956441	7.996
11107	7.590
11694	8.064
11930	8.246
9903	0.0
4963	7.332
953	7.327
21106146	7.834
21106144	7.829
13863774	7.836
73479	7.722
58563	7.327
299166	8.108
13875320	2.489
13875258	2.495
13875392	2.494
21112023	4.918
13851576	2.452
11769	4.988
10432	4.990
10328	4.978
63310	11.288
59573	8.462
7161	2.505
6720	2.518
13850142	2.374
390927	2.374
206493	10.637
11667	5.271
21106018	4.988
12823	4.961
55205	5.216
69982	15.256
10710415	7.964
13865426	7.639
6780	3.069
8098	3.036
6658	10.361
9970	2.505
7528	5.871
7530	6.334
11489	6.077
526	10.312
6339	9.301
7984	9.639
21111817	4.965
63906	4.961
3350	9.846
1446	9.841
18	9.832
71	9.827
7146	9.839
11121	0.0
555074	0.0
7811	2.401
8562	2.854
7624	2.759
8158	3.091
6079	7.327
434	7.328
8071	7.332
21105959	2.760
13865438	2.764
21106135	2.763
7391	2.908
28982	2.507
13839110	2.495
13839151	2.491
13865680	2.514
11604	2.508
13839128	2.490
13839174	2.485
13839105	2.496
13839123	2.491
11021	2.455
20570	6.011
7131	2.408
5830	2.433
24972	5.861
10992	2.454
553171	10.242
13860817	7.477
11778	7.484
13860720	7.477
136966	7.925
13848793	5.589
30572	11.932
7866	4.762
19957731	8.042
10257	15.729
7211	15.706
7172	15.711
13875356	4.988
13875212	4.978
13868640	4.990
10864	10.347
21181	5.106
12445	5.118
122446	5.042
62534	5.345
62408	5.339
11830	2.388
13835836	5.613
13835376	5.670
127750	5.588
13836399	5.298
13884973	4.687
13839416	4.815
21109330	4.625
18707	7.477
6883	5.179
7189	4.918
28969	5.329
61765	4.888
21111781	5.241
5915	7.723
68568	7.327
64699	14.626
7140	4.817
8070	4.814
7190	4.818
10181341	4.790
221226	8.620
10526	2.401
120464	2.354
7150	12.698
12259	0.0
13860	5.423
11563	7.328
7003	5.310
7662	7.484
13862559	7.477
13864445	7.467
13865630	10.614
553642	0.0
8876	0.0
906	0.0
13638	2.984
6480	3.049
11866	2.408
13839109	8.078
11591	7.287
9454	7.305
21106148	10.624
6781	10.639
206561	10.891
13803	11.303
8560	0.0
11094	0.0
11023	0.0
11055	0.0
10786	0.0
7619	0.0
10755	0.0
11551	0.0
221082	0.0
7129	0.0
8950	0.0
15965	5.450
13868660	4.990
7092	10.363
924	3.015
13860641	2.514
21106525	2.507
10991	2.508
13869434	2.490
6630	2.485
13840647	2.491
13860491	2.496
13869462	2.491
63903	2.984
62530	3.012
13856352	2.433
551	3.168
14627	5.819
191	9.514
558917	2.404
6301	2.4
10616	12.698
5882	12.680
8183	12.684
6646	12.085
84971	12.085
388391	12.085
10980	7.327
10972	7.328
6674	7.332
361	12.324
13063	0.0
10797	2.407
28986	2.451
7760	2.373
7838	2.408
230	15.371
13842001	5.557
18801	4.815
21108576	4.918
21106518	4.919
62466	4.817
62485	4.818
11460	5.179
10254	4.814
21169510	12.234
880	5.329
7397	4.790
8674	5.547
62517	5.425
11651	5.423
10437215	9.003
60121	5.432
21105859	5.233
13848467	5.405
120548	8.717
2923	7.479
28947	13.209
21105878	5.545
11625	7.848
7815	2.401
7827	2.854
11761	2.759
14998	5.893
21168831	2.433
15482	2.963
10975	18.236
10870	18.254
10837	18.234
9120	18.231
1448	18.237
22191	4.828
15438	0.0
14751	0.0
8909	0.0
10265264	0.0
10179173	0.0
21800	0.0
15765	0.0
11699	8.167
7810	2.401
12069	7.719
13839575	8.332
1253	7.249
7176	7.694
10181338	7.6
21105848	7.759
10892	7.611
124	7.305
87265	4.961
13848808	7.704
13860434	7.757
11629	7.756
73390	11.377
10437335	11.402
38364	7.467
27488	7.467
14227	4.919
13835126	4.918
17347	7.991
7385	0.0
7128	0.0
11660	0.0
11409	0.0
7659	0.0
6977	0.0
10236	0.0
11366	9.962
21106172	9.962
7001	9.964
13029	9.954
13030	9.962
11422351	10.364
6665	17.530
8341	2.537
6739	2.553
7208	9.654
992	9.667
8182	9.657
11038	4.990
16791	0.0
11864	0.0
12161	14.218
12061	2.424
7837	2.408
18717	2.396
15954	2.360
11029	2.451
10511	2.373
11819	2.368
99440	2.355
11543	2.429
11739	2.341
11194	2.363
11216	2.379
11210	2.405
7202	10.312
21168813	2.409
6881	2.477
8186	2.409
21105870	2.424
21106366	2.395
15517	8.291
25890	8.503
13811	8.870
7809	4.803
7042	15.213
6706	9.846
68179	5.255
5979	13.875
55123	5.255
7803	4.756
18688	5.223
7482	5.348
10420	5.287
11843	5.239
7536	5.121
55130	5.290
10433	5.305
7657	5.268
22453	5.259
11045	5.334
29016	5.225
14169248	7.978
11632	8.376
11265	8.246
65763	12.841
392447	4.777
8097	0.0
11585	7.694
78467	7.305
1906	7.846
11488212	7.323
14556	8.348
7383	2.433
6642	0.0
589165	7.723
11961	9.962
21111772	9.964
11954	9.954
21106586	7.630
6790	2.537
8319	2.553
21106581	10.267
21106145	10.270
6023	4.888
11588	7.327
6675	7.332
8883	0.0
68503	11.517
10614293	0.0
7833	0.0
4516601	0.0
4516599	0.0
4512361	0.0
4512642	0.0
7835	2.408
15093	7.305
11286	15.996
5142	12.878
96749	14.573
61538	2.492
10246	2.496
12244	2.490
10248	2.486
9911	2.491
16119	2.485
13871718	2.424
25552	6.023
13658	5.847
12060	2.512
11647	5.329
61739	5.090
8282	5.082
6492	5.106
21106571	9.962
21106163	9.964
21106540	9.954
6737	2.553
6789	2.537
61001	9.547
4446445	2.411
71628	5.591
59577	5.592
11875	4.822
12010	2.401
455353	5.319
205483	7.694
7278	5.157
11576	4.819
6897	5.360
6035	4.991
13835344	5.187
10181339	4.777
11589	4.826
30595	5.178
7175	5.182
7157	5.181
8807	0.0
11865	2.408
20124	5.6
17619	8.603
2068	17.557
5236	17.566
4103087	20.743
6736	0.0
6788	0.0
83962	5.356
7044	15.209
16359	15.213
10986	7.241
191058	7.243
13835630	10.540
2937774	11.078
11708	4.990
86394	13.377
10411	7.846
349	0.0
11035	0.0
11104	0.0
10795	0.0
305	16.754
10445	0.0
71193	10.876
67270	10.367
6033	10.369
21159695	2.512
13853758	2.509
18724	2.976
15427	2.424
10996	10.950
6296	2.493
11776	7.484
17868	6.062
13867714	6.114
21105699	6.010
376	9.521
11586	13.047
62472	13.052
11584	7.694
29026	2.411
57726	2.577
7802	2.378
441	2.411
9633	2.411
11465	5.360
10243171	5.332
11332993	5.331
11610	5.446
11422	5.456
194092	4.760
7199	5.486
26516	2.433
27296	5.499
72556	5.436
19709	5.461
391428	0.0
14198	0.0
6402	0.0
14680	2.408
6478	0.0
8262	7.826
8273	7.822
7888	4.764
6735	2.553
6588	7.908
7420	2.424
10343	18.227
19766	12.436
13047	12.436
11294	5.103
75951	4.848
72793	4.909
7076	5.355
10422	8.185
11863	2.408
13846749	7.877
21108577	7.965
7406	7.572
21106008	8.039
65701	4.918
21105897	7.889
11596	7.750
21106900	7.712
9965	7.293
10410	0.0
7419	0.0
8356	0.0
6999	0.0
7088	0.0
7448	0.0
7183	0.0
7155	20.588
11871	5.780
13835351	10.725
6773	10.713
6852	2.794
2157	10.192
6604	8.158
17880	0.0
99681	5.226
67460	2.419
18920	2.378
11841	2.880
8569	2.927
455420	2.703
7533	2.418
7434	2.424
932	2.411
123993	2.440
62230	2.431
9893	2.511
10586285	13.018
6688	26.150
109705	21.436
7151	15.342
9724	0.0
10265270	0.0
10179239	0.0
6586	4.856
13872122	2.424
11862	4.815
440	14.573
7694	5.393
11716	5.357
29005	5.302
8568	5.250
7538	5.128
370	4.760
7073	5.326
26325090	8.062
6898	4.898
556589	5.217
13854242	7.877
7310	8.345
11595	7.853
6593	3.168
2441	2.522
56117	8.895
68676	10.198
6635	14.314
62265	17.573
20939	0.0
6828	0.0
6577	8.729
13104	8.729
21106570	12.436
18177	10.175
15755	5.082
67470	5.091
15756	5.075
15524	5.075
14995	5.103
14994	5.106
15475	5.069
15478	5.055
15476	5.090
15477	5.102
62484	7.694
29025	0.0
7851	2.411
7856	2.927
454638	0.0
1406720	0.0
21105998	2.518
61411	2.491
69177	2.485
10244	2.484
15855	2.505
24535	5.993
14678	2.515
13846663	2.509
69340	2.419
63863	13.766
63968	5.737
70660	12.982
62628	4.825
123860	5.835
4611	4.771
13885245	5.338
6745	4.806
13876103	5.304
7279	8.427
6592	0.0
3756	4.764
13850082	5.249
1266019	5.253
7850	2.411
541032	12.436
58234	2.522
218253	2.547
8912	11.996
2424	17.762
66656	8.852
71437	2.577
10831	0.0
10829	0.0
10851	0.0
10813	0.0
13677	0.0
10849	0.0
10850	0.0
10909	0.0
10918	0.0
10841	0.0
10908	0.0
642951	15.580
917	6.241
9824	2.599
1278	6.222
10437836	17.303
2206	13.446
7849	0.0
17558	0.0
13439	0.0
13402	0.0
76154	11.182
2915	3.168
6794	3.255
21106519	2.515
65750	2.993
12637	10.532
20198	9.587
7302	3.108
10903	2.528
13839012	2.547
6855	2.423
7315	8.626
13846658	2.522
26325182	16.024
10025	9.525
967	14.906
28993	0.0
15846	2.413
29029	2.413
7670	2.463
9976	2.486
12632	2.380
6287	14.491
23886	5.094
33421	5.096
67465	5.332
15753	5.323
79280	5.540
28973	5.537
7852	2.411
72551	4.858
24641	4.949
18410	0.0
8910	0.0
4366810	8.227
7848	2.411
14256731	7.399
6907	7.968
8860	3.172
62310	7.982
70988	7.721
86435	7.559
6840	3.172
10801842	8.470
11974	9.964
15461	0.0
10404	0.0
89258	20.569
192748	20.960
6835	2.522
11003	3.108
10756	2.499
2656	2.981
13837329	10.398
502855	10.540
34863	7.642
6753	5.768
14692	0.0
12456	0.0
10438331	10.354
8574	2.413
18336	10.429
59482	2.528
8935	5.195
60886	20.189
66675	6.25
15488	2.528
15489	2.522
558878	2.404
553578	2.404
55084	5.423
7509	5.309
7800	5.132
12954	8.478
13229	8.412
158870	7.634
157093	7.620
83374	7.619
457144	7.632
135925	7.653
457145	7.640
84188	7.610
136000	7.622
135983	7.607
136001	7.606
136002	7.618
136003	7.607
84235	7.593
457140	7.579
12674	0.0
64155	8.217
970	0.0
4590	8.271
8111	0.0
12013	4.764
12044	0.0
12045	0.0
12047	0.0
7299	0.0
21106140	5.580
25677	10.188
67991	13.766
15803	2.518
502245	10.540
10227261	9.762
44152	13.481
12809	0.0
15387	2.413
8470	10.947
5027	17.516
21106365	6.343
21106091	2.512
16804	2.484
55443	2.417
67653	4.825
2185	6.162
2991	2.571
137720	7.568
11919	3.414
26010	5.058
30600	5.075
33455	5.066
33934	5.070
33932	5.076
6600	4.810
2121	9.183
13849989	2.404
13849981	2.4
7506	2.404
18685	4.827
3741	19.154
8374	5.496
247721	5.141
15409	5.327
79969	4.832
13871489	15.535
23150	9.1
6807	5.036
15620	0.0
15621	0.0
26260	0.0
68437	0.0
15619	0.0
15861	0.0
12682	0.0
42330	13.481
15413	12.008
34866	7.604
34665	7.612
34664	7.623
37904	7.604
34864	7.624
34188	7.606
34865	7.619
14840	0.0
13448	0.0
14866	0.0
20132	8.654
10400	3.081
13835294	5.198
67360	2.413
12218	2.381
55075	14.906
9873	5.768
14349	2.413
6842	6.343
6066	10.345
512621	9.101
13090	5.870
15702	15.587
11369	9.962
12219	2.413
56793	10.150
454495	10.152
40191	10.152
56791	10.160
35581	10.171
15495	8.028
466305	7.781
65785	7.863
6916	8.014
70652	7.552
12133	17.909
17131	11.809
13487	0.0
7170	0.0
553649	0.0
8816	0.0
15473	5.056
17099	5.036
17098	5.051
33933	5.053
15474	5.045
82755	10.163
82712	10.181
157094	10.137
103011	10.161
102798	10.2
82762	10.157
27793	10.1
82754	10.132
457138	10.117
102897	10.117
457139	10.129
102947	10.160
97173	10.147
102720	10.147
102801	10.159
102833	10.138
102721	10.150
102856	10.168
102933	10.124
103066	10.148
97172	10.111
106355	10.133
15486	2.481
12220	2.963
7882	2.413
63518	2.537
707	14.906
8067	14.906
6827	0.0
5807	22.098
8800	0.0
29153	0.0
70682	4.825
11439687	17.217
56774	12.697
82765	12.699
7511	5.313
7872	5.259
14846	5.134
2863	4.763
7600	4.756
12699	0.0
8058	8.143
3918	8.628
24326358	12.973
3008	13.455
13835706	15.908
66655	9.253
34868	7.586
37905	7.560
34869	7.581
37918	7.581
37915	7.594
34867	7.605
25605	7.577
26011	7.6
34870	7.583
34666	7.6
21924	7.589
29117	8.481
8241	10.948
69371	9.1
70806	2.499
1710	11.163
12635	0.0
8576	2.413
25472	10.947
2169	17.554
453675	2.415
40130	13.117
2297441	23.138
34095	4.828
8329	5.087
60858	8.338
6610	8.143
34874	10.115
36972	10.107
56788	10.123
533188	10.128
35579	10.134
16182	10.131
46262	10.124
35580	10.142
82818	10.132
56790	10.098
56795	10.127
33458	10.105
82777	10.135
35584	10.132
56785	10.148
56792	10.130
34189	10.152
2283071	0.0
4932499	0.0
6453	7.757
13249	4.764
4450907	11.731
7964	16.065
13619	0.0
13303	17.909
13302	17.733
5004	9.527
15853	2.414
12972	2.503
7871	2.382
36973	12.661
37744	12.644
46894	12.655
45444	12.669
56769	12.651
56780	12.675
34847	12.679
39406	12.663
35081	12.671
56781	12.672
56771	12.681
56232	5.558
27749	13.754
8030	4.869
8093	5.087
13856959	5.574
8577	2.413
71876	5.395
34667	7.564
34871	7.581
34873	7.559
56784	7.545
34872	7.576
14620	17.947
102741	12.688
97055	12.664
97198	12.687
102834	12.649
102722	12.637
154865	12.648
96948	12.660
102743	12.678
102857	12.634
154866	12.658
106356	12.644
102787	12.675
97240	12.705
102742	12.674
68328	9.406
4268	13.896
4599	13.542
33416	14.999
13492	0.0
13837303	10.765
34859	15.205
84346	15.191
56760	15.207
56755	15.198
33666	15.210
6838	6.253
6270	15.230
7892	2.414
66887	2.541
89076	5.868
5026	20.054
36975	12.618
56778	12.638
56787	10.089
35583	10.094
82807	10.109
56794	10.111
33386	10.084
33457	10.067
47912	10.104
82817	10.106
46893	10.119
33280	10.113
35582	10.130
33304	10.101
46263	10.092
67594	5.986
3513	27.467
220998	8.528
17339596	23.966
8060	8.108
5233	16.716
14916	12.996
7891	0.0
10452	18.790
61266	25.164
20848	17.560
4768	17.593
43354	12.626
37779	12.613
45445	12.646
36974	12.657
35585	12.635
34848	12.643
84344	12.627
34850	12.640
82819	12.634
56772	12.657
82820	12.622
16415	12.584
56779	12.629
56768	12.643
56777	12.659
84345	12.640
34668	12.653
28552	20.005
3544	4.765
21361761	8.404
1262	7.568
4333	18.215
4575	13.494
2079	13.502
6193	16.169
82783	15.155
34852	15.164
37000	15.162
37019	15.183
56765	15.163
39198	15.166
82740	15.130
56761	15.161
56756	15.173
56766	15.170
83413	15.186
34851	15.180
36976	15.180
56767	15.182
56763	15.151
7890	0.0
12705	17.947
26325183	15.668
16387	17.458
6514	5.207
2457	8.382
15789876	12.277
3841535	16.211
16177	2.414
33281	10.073
56786	10.073
56789	10.090
33456	10.107
46264	10.068
13300034	9.945
21153	2.382
10106	14.882
1361549	2.469
32555	25.221
97257	15.164
97224	15.177
102923	15.195
96868	15.154
96864	15.157
97234	15.184
97233	15.184
154062	15.154
97142	15.211
5739	0.0
8817	0.0
56782	17.699
36977	17.706
83414	17.701
84348	17.676
82823	17.708
33617	17.953
4759	17.985
30881	18.018
3277	7.334
11632871	15.0
15747	0.0
4444100	13.366
10033	4.764
33282	12.597
46285	12.595
46284	12.618
82806	12.614
56776	12.634
47913	12.590
32952	12.614
45446	12.631
43353	12.611
56773	12.622
7901	2.414
66895	2.543
199342	2.406
6371	5.032
86007	15.839
12549	6.354
7757	5.316
7875	5.261
59483	18.790
34853	15.121
37745	15.124
36978	15.141
34190	15.161
34191	15.132
36771	15.143
36710	15.158
56757	15.135
549017	15.113
84347	15.151
56764	15.142
56758	15.149
47914	15.158
56762	15.108
33984	15.138
33983	15.155
91432	16.918
2700	19.218
16180	0.0
12933	14.804
7340	3.360
4445317	2.387
204209	6.119
4444102	15.882
72056	4.828
4437893	5.542
34860	17.669
82738	17.678
36982	17.665
36979	17.685
47915	17.649
56783	17.672
36981	17.674
