Compound Id	theoretical descriptor of aromaticity
1	0
2	0.6
3	1
4	0.5
5	0
6	1
7	0.46
8	0.67
9	0.38
10	0
11	0.33
12	0.84
13	0.57
14	1
15	0
16	0
17	0.91
18	0
19	0.55
20	0.75
21	0.67
22	0.67
23	0
24	0
25	0.83
26	0.5
27	0.86
28	0
29	0
30	0
31	0.69
32	0.55
33	0.6
34	0
35	0
36	0.67
37	0
38	0
39	0
40	0
41	0
42	0
43	1
44	0
45	0
46	0.55
47	0.63
48	0.63
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0.48
68	0.6
69	0.43
70	0.79
71	0.67
72	0.38
73	0.3
74	0.3
75	0.25
76	1
77	1
78	0.46
79	0.46
80	0.5
81	0.5
82	0.25
83	0.75
84	0.3
85	0.8
86	1
87	0.73
88	0.73
89	0.67
90	0.5
91	0.6
92	0.6
93	0.35
94	0.5
95	0.67
96	0.92
97	0.92
98	0.57
99	0.8
100	0.6
101	1
102	1
103	0.92
104	0.55
105	0.58
106	0.71
107	1
108	0.92
109	1
110	0.8
111	0.75
112	0.79
113	0.6
114	0.4
115	0.43
116	0.55
117	0.75
118	0.5
119	0.46
120	0.46
121	0.46
122	1
123	1
124	0.75
125	0.75
126	0.75
127	0.75
128	0.75
129	0.67
130	0.67
131	0.67
132	0.6
133	0.6
134	0.6
135	0
136	0.55
137	0.67
138	0.67
139	0.67
140	0.6
141	0.5
142	0.4
143	0.4
144	0.55
145	0.5
146	0.43
147	0.6
148	0.6
149	0.6
150	0.6
151	0.75
152	0.75
153	0.75
154	0.75
155	0.75
156	0.75
157	0.71
158	0.43
159	0.5
160	0.6
161	0.75
162	0.86
163	0.5
164	0.5
165	0.5
166	0
167	0.8
168	0.67
169	0.67
170	0.6
171	0.6
172	0.55
173	0.6
174	0
175	0
176	0.75
177	0.75
178	0.75
179	0.75
180	0.75
181	0.75
182	0.75
183	0.75
184	0
185	0
186	0
187	0
188	0.75
189	0.75
190	0.75
191	0.75
192	0.75
193	0
194	0.67
195	0.67
196	0.67
197	0.86
198	0.86
199	0.86
200	0.86
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0.4
209	0.55
210	0
211	0
212	0.57
213	0.33
214	0
215	0.46
216	0.21
217	0.21
218	0.5
219	0
220	0.38
221	0.8
222	0.96
223	1
224	0.43
225	0.5
226	0.75
227	0.67
228	0.67
229	0.67
230	0
231	0.4
232	0.35
233	0.46
234	0.46
235	0.86
236	0.46
237	0.8
238	0
239	0
240	0
241	0
242	0
243	0.74
244	1
245	0.43
246	1
247	1
248	0
249	0.35
250	0.5
251	0.92
252	0
253	0.4
254	0.75
255	0
256	0
257	0
258	0
259	0
260	0.94
261	0.55
262	0.6
263	0.67
264	0.46
265	0.67
266	0
267	0
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	0.79
278	1
279	1
280	1
281	0.85
282	1
283	1
284	0.38
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0.46
295	0.43
296	0.4
297	0.46
298	0.32
299	0
300	0.55
301	0.43
302	0.55
303	0.92
304	0.57
305	0.6
306	0.55
307	0.67
308	0.5
309	0.4
310	0.55
311	0.55
312	0
313	0.75
314	0
315	0.67
316	0.6
317	0.35
318	0
319	0
320	0.67
321	0.85
322	0.6
323	0.46
324	0.55
325	0.55
326	0.67
327	0.86
328	0
329	0
330	0
331	0.67
332	0.55
333	0.6
334	0.6
335	0.5
336	0.55
337	0.94
338	0.6
339	0.35
340	0.46
341	0.6
342	0.5
343	0.55
344	0.67
345	0.67
346	0
347	0.38
348	0.6
349	0.6
350	0.55
351	0.6
352	0.5
353	0.4
354	0.55
355	0.55
356	0.43
357	0
358	0.6
359	0.46
360	0.84
361	0.3
362	0.26
363	0
364	0.55
365	0.94
366	0.84
367	0.33
368	0.46
369	0.4
370	0.81
371	0.46
372	0.38
373	0.35
374	0
375	0.6
376	0.85
377	0.43
378	0
379	0.38
380	0.63
381	0.32
382	0.55
383	0
384	0
385	0.85
386	0.5
387	0.43
388	0.6
389	0.5
390	0.89
391	0.55
392	0.43
393	0.35
394	0.26
395	0.4
396	0.38
397	0
398	0
399	0
400	0.55
401	0.3
402	0.38
403	0.43
404	0.46
405	0.63
406	0.6
407	0.33
408	0.26
409	0.43
410	0.43
411	0.38
412	0.4
413	0.46
414	0.46
415	0.55
416	0.43
417	0.46
418	0
419	0.55
420	0.55
421	0.4
422	0.55
423	0.55
424	0.57
425	0.33
426	0
427	0.55
428	0.4
429	0.8
430	0.86
431	0.86
432	0.3
433	0.55
434	0.65
435	0.38
436	0.5
437	0.43
438	0.38
439	0
440	0.58
441	0
442	0
443	0.38
444	0.27
445	0.24
446	0.5
447	0
448	0.46
449	0.46
450	0.65
451	0.46
452	0.42
453	0.96
454	0.5
455	0.5
456	0.43
457	0.33
458	0
459	0.55
460	0.55
461	0.43
462	0.35
463	0
464	0.4
465	0.43
466	0.27
467	0.55
468	0.46
469	0.8
470	0
471	0.4
472	0.38
473	0.5
474	0.35
475	0.6
476	0.26
477	0.85
478	0.35
479	0.32
480	0.6
481	0.46
482	0.38
483	0
484	0.4
485	0.21
486	0.6
487	0
488	0.67
489	0.75
490	0.46
491	0.43
492	0.46
493	0.46
494	0.43
495	0.46
496	0.38
497	0.29
498	0
499	0
500	0
501	0
502	0
503	0.4
504	0.57
505	0.8
506	0
507	0.43
508	0.43
509	0.38
510	0
511	0
512	0.4
513	0.52
514	0.52
515	0.32
516	0.52
517	0.43
518	0.71
519	0.33
520	0
521	0.46
522	0.46
523	0.63
524	0.3
525	0.3
526	0.26
527	0.26
528	0.4
529	0.35
530	0.43
531	0.5
532	0
533	0.57
534	0.38
535	0.46
536	0.32
537	0.35
538	0.35
539	0
540	0.29
541	0.27
542	0.38
543	0
544	0.35
545	0.46
546	0.27
547	0.33
548	0.3
549	0.38
550	0.3
551	0.24
552	0
553	0.29
554	0.43
555	0.38
556	0.27
557	0.32
558	0.55
559	0
560	0.3
561	0.29
562	0.27
563	0.71
564	0.26
565	0.29
566	0.27
567	0.33
568	0.4
569	0.33
570	0.8
571	0.63
572	0.55
573	0.33
574	0.55
575	0.71
576	0.63
577	0.43
578	0.27
579	0.75
580	0.75
581	0.67
582	0.67
583	0.63
584	0.29
585	0.3
586	0.33
587	0.38
588	0.93
589	0.28
590	0.52
591	0.48
592	0.52
593	0.32
594	0
595	0.52
596	0.56
597	0.69
598	0.4
599	0.43
600	0.63
601	0.6
602	0.26
603	0
604	0.43
605	0.33
606	0
607	0.3
608	0.35
609	0
610	0.46
611	0.75
612	0.46
613	0.3
614	0.41
615	0.4
616	0.5
617	0.46
618	0.56
619	0.59
620	0.38
621	0.46
622	0.39
623	0.43
624	0.51
625	0.43
626	0
627	0.46
628	0.44
629	0.61
630	0.71
631	0.4
632	0.67
633	0.5
634	0.5
635	0.24
636	0.52
637	0.42
638	0.3
639	0.44
640	0.39
641	0.27
642	0.43
643	0.36
