Compound Id	complementary information content index neighbourhood symmetry of 0 order
1	0.5
2	3.337
3	4.046
4	2.982
5	2.238
6	4.206
7	3.405
8	2.456
9	3.18
10	1.6
11	3.067
12	4.223
13	4.087
14	3.936
15	1.25
16	2.366
17	4.179
18	2.585
19	1.962
20	3.301
21	3.646
22	3.012
23	2.558
24	3.057
25	1.8
26	2.309
27	2.512
28	1.512
29	1.25
30	2.092
31	3.195
32	2.82
33	2.536
34	1.946
35	1.5
36	2.477
37	1.333
38	0.951
39	2.189
40	2.396
41	2.748
42	3.035
43	2.585
44	1.439
45	3.057
46	3.593
47	3.376
48	3.281
49	0.951
50	0.8
51	1.429
52	0.951
53	0.4
54	1.5
55	1
56	0.951
57	1.523
58	0.965
59	2.931
60	2.465
61	4.004
62	3.41
63	2.024
64	1.439
65	1.126
66	1.5
67	3.916
68	3.402
69	2.08
70	3.465
71	3.304
72	3.477
73	4.05
74	4.05
75	4.475
76	3.605
77	3.332
78	2.623
79	2.354
80	2.45
81	4.073
82	4.179
83	3.13
84	2.831
85	3.536
86	3.252
87	3.243
88	3.26
89	2.085
90	2.086
91	1.925
92	2.125
93	3.098
94	2.639
95	2.685
96	3.394
97	3.012
98	3.948
99	3.505
100	2.961
101	3.179
102	2.834
103	3.394
104	3.532
105	3.75
106	3.086
107	3.936
108	3.465
109	3.137
110	3.386
111	3.568
112	3.315
113	2.778
114	2.622
115	2.375
116	3.036
117	3.333
118	3.26
119	3.111
120	2.81
121	2.435
122	2.277
123	2.634
124	3.179
125	2.728
126	2.62
127	2.126
128	2.086
129	3.407
130	2.08
131	1.962
132	3.605
133	2.126
134	1.925
135	1.67
136	2.348
137	3.012
138	2.824
139	2.08
140	2.189
141	1.844
142	2.377
143	2.252
144	1.733
145	2.094
146	2.829
147	2.778
148	2.495
149	2.189
150	2.125
151	3.179
152	3
153	2.728
154	2.126
155	2.834
156	2.728
157	2.519
158	3.009
159	3.065
160	4.136
161	3.566
162	3.315
163	3.26
164	2.982
165	3.936
166	4.891
167	3.26
168	3.407
169	2.677
170	2.778
171	2.765
172	2.526
173	3.605
174	3.641
175	3.802
176	2.216
177	2.086
178	3.179
179	2.728
180	2.126
181	2.216
182	2.086
183	2.834
184	1.636
185	1.5
186	1.594
187	1.5
188	3.179
189	2.728
190	2.086
191	2.834
192	2.359
193	2.882
194	3.407
195	3.012
196	2.085
197	2.26
198	2.91
199	2.26
200	2.386
201	2.878
202	3.277
203	2.267
204	3.485
205	3.669
206	3.98
207	4.237
208	3.38
209	2.295
210	2.61
211	2.572
212	3.222
213	3.358
214	2.96
215	1.822
216	4.81
217	4.81
218	2.585
219	2.126
220	2.454
221	3.389
222	3.752
223	3.605
224	2.695
225	3.023
226	2.359
227	2.085
228	1.962
229	3.103
230	3.459
231	2.381
232	2.868
233	2.607
234	2.971
235	3.378
236	3.205
237	3.386
238	1.667
239	3.462
240	2.429
241	0.4
242	1.667
243	4.08
244	3.739
245	3.102
246	3.191
247	3.191
248	2.47
249	2.164
250	2.074
251	3.087
252	2.855
253	3.359
254	3.261
255	3.213
256	3.026
257	3.832
258	3.164
259	2.993
260	2.744
261	2.217
262	2.43
263	2.685
264	2.858
265	2.685
266	1.701
267	1
268	4.298
269	4.151
270	4.046
271	4.151
272	3.957
273	4.046
274	4.046
275	3.739
276	4.046
277	3.351
278	3.936
279	4.206
280	3.708
281	3.88
282	3.957
283	3.332
284	2.647
285	3.196
286	3.378
287	1.983
288	3.004
289	3.174
290	2.986
291	2.752
292	2.585
293	2.585
294	2.858
295	2.74
296	2.71
297	2.858
298	3.55
299	3.084
300	2.526
301	2.604
302	2.526
303	2.961
304	4.06
305	3.25
306	3.545
307	3.407
308	2.08
309	2.377
310	2.526
311	3.027
312	3.259
313	2.126
314	1.639
315	2.08
316	2.125
317	3.364
318	0.965
319	3.528
320	1.962
321	3.585
322	1.822
323	2.858
324	2.526
325	2.526
326	1.962
327	2.26
328	0.8
329	0.973
330	1.774
331	2.08
332	2.26
333	1.925
334	2.198
335	2.329
336	3.027
337	3.514
338	2.765
339	2.802
340	2.215
341	2.765
342	2.329
343	2.526
344	3.407
345	2.08
346	1.5
347	2.333
348	2.126
349	2.019
350	2.019
351	2.126
352	2.329
353	2.112
354	2.295
355	2.295
356	3.249
357	3.029
358	3.252
359	2.684
360	3.475
361	2.938
362	3.747
363	3.524
364	2.295
365	3.764
366	3.69
367	3.2
368	3.822
369	3.426
370	3.517
371	1.822
372	3.587
373	3.681
374	2.995
375	1.925
376	3.585
377	3.235
378	2.53
379	2.797
380	3.814
381	2.777
382	2.82
383	2.803
384	3.69
385	3.585
386	3.253
387	3.469
388	2.031
389	1.965
390	3.629
391	3.087
392	3.402
393	3.432
394	3.323
395	3.426
396	3.587
397	2.946
398	2.952
399	2.963
400	1.886
401	3.57
402	2.695
403	2.823
404	2.927
405	2.777
406	2.722
407	2.697
408	3.323
409	2.429
410	3.175
411	3.526
412	3.359
413	2.435
414	1.814
415	2.079
416	3.263
417	2.383
418	3.69
419	2.019
420	2.726
421	2.931
422	2.295
423	2.295
424	3.463
425	3.831
426	3.84
427	2.079
428	3.289
429	3.137
430	3.252
431	3.252
432	2.798
433	3.274
434	3.62
435	2.333
436	2.403
437	3.249
438	2.89
439	3.38
440	3.179
441	3.272
442	3.187
443	3.622
444	3.101
445	4.218
446	2.176
447	3.465
448	3.205
449	2.859
450	2.511
451	2.215
452	1.763
453	3.849
454	2.236
455	2.6
456	3.402
457	2.624
458	2.657
459	2.295
