Compound Id	Logarithm of octanol-water partition coefficient
1	2.86
2	-1.66
3	2.66
4	4.05
5	2.99
6	3.57
7	2.96
8	1.79
9	2.35
10	1.1
11	0.69
12	-1.22
13	1.02
14	1.42
15	1.95
16	0.1
Table1-4	4.55
Table1-11	4.08
Table3-1	-0.24
Table3-2	2.46
Table3-3	3.54
Table3-4	4.08
Table4-1	1.21
Table4-2	3.05
Table4-3	0.97
Table4-4	3.14
Table4-5	2.09
Table4-6	2.45
Table4-7	2.93
Table4-8	1.65
Table4-9	2.03
Table5-1	1.5
Table5-2	3.73
Table5-3	1.87
Table5-4	4.38
Table5-5	5.2
Table5-6	2.95
Table6-1	0.35
Table6-2	-0.17
Table7-1	2.2
Table7-2	2.73
