Compound Id	Sum of Taft sigma* values for the two groups R and R’ in RCOR’
1	0.33
2	2.64
3	0.3
4	0.26
5	0.24
6	0.3
7	0.33
8	0.86
9	0.68
10	0.3
11	1.62
12	1.81
13	2.2
14	0.5
15	0.26
16	2
Table1-4	0.3
Table1-11	0.68
Table3-1	0
Table3-2	-0.25
Table3-3	-0.25
Table3-4	-0.25
Table4-1	0.68
Table4-2	0.63
Table4-3	0.53
Table4-4	0.88
Table4-5	0.88
Table4-6	0.32
Table4-7	0.88
Table4-8	3.49
Table4-9	0.58
Table5-1	1.75
Table5-2	1.57
Table5-3	1.57
Table5-4	2.79
Table5-5	3.06
Table5-6	2.73
Table6-1	0.98
Table6-2	0.63
Table7-1	1.39
Table7-2	2.22
