Compound Id	logarithm of octanol/water partition
1	3.72
2	2.59
3	3.69
4	2.25
5	2.3
6	3.18
7	3.26
8	4.31
9	1.58
10	2.41
11	1.12
12	1.54
13	1.68
14	1.58
15	1.79
16	2.59
17	2.59
18	1.81
19	1.16
20	3.26
21	2.84
22	2.3
23	3.72
24	3.14
25	2.28
26	3.26
27	3.72
28	2.96
29	2.58
30	2.43
31	1.58
32	3.51
33	1.81
34	1.58
35	3.3
36	2.29
37	2.3
38	4.2
39	2.7
40	3.26
41	1.63
42	2.13
43	3.66
44	2.5
45	4.46
46	1.59
47	1.99
48	3.3
49	2.86
50	2.3
51	2.7
52	3.26
53	1.36
54	2.18
55	3.72
56	2.26
57	1.28
58	3.65
59	1.24
60	1.23
61	2.43
62	2.43
63	2.96
64	1.16
65	4.98
66	1.28
67	3.72
68	3.72
69	1.79
70	3.26
71	3.56
72	1.34
73	0.95
74	0.93
75	0.9
76	1.88
77	1.55
78	1.55
79	0.04
80	0.17
81	7.31
82	5.72
83	6.26
84	5.46
85	4.66
86	3.6
87	2.8
88	1.58
89	1.18
90	0.62
91	2.41
92	4.03
93	3.69
94	2.97
95	1.91
96	1.91
97	3.05
98	2.91
99	2.34
100	2.32
101	1.26
102	2.11
103	1.96
104	1.74
105	1.39
106	1.4
107	1.32
108	4.86
109	4.75
110	3.8
111	3.8
