Compound Id	Lowest Unoccupied Molecular Orbital
1	-0.816
2	-0.176
3	-0.804
4	-0.195
5	-0.115
6	-0.191
7	-0.357
8	-0.7
9	0.267
10	0.581
11	0.722
12	-0.085
13	0.605
14	0.215
15	-0.029
16	-0.203
17	-0.199
18	0.154
19	0.478
20	-0.771
21	0.107
22	0.025
23	-0.887
24	-0.108
25	-0.198
26	-0.365
27	-0.865
28	0.305
29	0.226
30	0.289
31	0.056
32	-0.142
33	-0.005
34	0.103
35	-0.007
36	-0.104
37	-0.107
38	-0.818
39	-0.182
40	-0.203
41	-0.376
42	0.589
43	0.605
44	0.186
45	0.61
46	0.576
47	-1.33
48	0.069
49	0.048
50	-0.029
51	-0.157
52	-0.411
53	0.317
54	0.047
55	-0.85
56	0.212
57	0.241
58	0.62
59	0.513
60	0.474
61	0.274
62	0.293
63	0.255
64	-0.395
65	-0.592
66	-0.383
67	-0.895
68	-0.853
69	-0.294
70	-0.712
71	-0.364
72	0.147
73	0.492
74	0.597
75	0.615
76	0.246
77	0.621
78	0.525
79	0.408
80	0.504
81	0.666
82	0.643
83	0.673
84	0.641
85	0.636
86	0.624
87	-0.003
88	0.167
89	0.525
90	0.448
91	0.616
92	-0.319
93	-0.258
94	0.594
95	0.597
96	0.582
97	-0.069
98	0.001
99	0.211
100	0.204
101	0.275
102	0.203
103	0.613
104	0.593
105	0.606
106	0.589
107	0.585
108	0.041
109	0.059
110	-0.549
111	-0.401
