Compound Id	Molar Refractivity of substituent in position 2
1	0.56
2	0.56
3	0.8
4	0.8
5	0.54
6	0.56
7	0.8
8	0.8
9	2.98
10	0.56
11	1.5
12	0.09
13	0.56
14	2.98
15	0.6
16	0.56
17	0.56
18	0.28
19	0.28
20	0.1
21	2.54
22	0.1
23	0.1
24	0.1
25	0.1
26	0.1
27	0.1
28	1.03
29	0.56
30	0.56
31	0.1
32	0.6
33	0.79
34	0.1
35	0.56
36	0.1
37	0.1
38	0.8
39	0.1
40	0.1
41	0.1
42	0.1
43	1.03
44	0.09
45	1.5
46	0.1
47	0.1
48	0.56
49	0.1
50	0.56
51	0.56
52	0.8
53	0.1
54	0.1
55	0.8
56	0.1
57	0.54
58	0.1
59	0.1
60	0.56
61	0.6
62	0.6
63	0.1
64	0.8
65	0.8
66	0.1
67	0.56
68	0.1
69	0.65
70	0.8
71	0.8
72	0.1
73	0.1
74	0.1
75	0.1
76	0.1
77	0.1
78	1.25
79	0.1
80	0.1
81	1.5
82	1.03
83	1.96
84	1.5
85	1.03
86	0.56
87	0.1
88	0.54
89	0.79
90	0.28
91	0.56
92	0.89
93	0.6
94	1.03
95	0.1
96	0.56
97	0.89
98	0.6
99	0.1
100	1.39
101	0.09
102	0.89
103	0.1
104	1.03
105	0.1
106	0.1
107	0.6
108	0.1
109	0.1
110	0.1
111	0.1
