Compound Id	Molar Refractivity of substituent in position 3
1	0.8
2	0.1
3	0.8
4	0.8
5	0.56
6	0.56
7	0.8
8	0.8
9	0.1
10	0.1
11	0.1
12	0.1
13	0.1
14	0.1
15	0.1
16	0.8
17	0.1
18	0.1
19	0.1
20	0.8
21	0.1
22	0.54
23	0.56
24	0.56
25	0.8
26	0.8
27	0.8
28	0.1
29	0.1
30	0.1
31	2.98
32	0.1
33	0.1
34	2.98
35	0.1
36	0.5
37	0.56
38	0.8
39	0.56
40	0.8
41	0.8
42	0.1
43	0.1
44	0.1
45	0.1
46	0.1
47	0.1
48	0.1
49	0.1
50	0.54
51	0.56
52	0.8
53	0.1
54	0.1
55	0.8
56	0.1
57	0.1
58	0.1
59	0.1
60	0.1
61	0.1
62	0.1
63	0.1
64	0.65
65	0.8
66	0.8
67	0.56
68	0.56
69	0.8
70	0.8
71	0.8
72	0.1
73	0.1
74	0.79
75	0.1
76	0.6
77	1.25
78	0.1
79	0.1
80	0.28
81	0.1
82	0.1
83	0.1
84	0.1
85	0.1
86	0.1
87	2.54
88	2.54
89	0.1
90	0.1
91	0.1
92	0.1
93	0.1
94	0.1
95	0.56
96	0.1
97	0.1
98	0.1
99	0.1
100	0.1
101	0.1
102	0.1
103	0.1
104	0.1
105	0.1
106	0.56
107	0.1
108	0.1
109	0.1
110	0.1
111	0.1
