Compound Id	PetitjeanShapeIndex [topoShape]
13837650	0.5
29015	0.0
258	1.0
7714	1.0
7882	1.0
7837	0.75
7812	1.0
932	1.0
6040	0.667
1004	0.5
10445	1.0
6320	0.5
6312	0.5
6146	1.0
21011	1.0
3644	1.0
29000	1.0
175	1.0
6102	1.0
236	0.0
7224	0.667
7673	0.333
6321	0.5
29012	1.0
5730	1.0
7676	0.333
5977	1.0
7787	0.0
7679	0.333
14840	0.8
8569	1.0
121365	0.8
6104	1.0
3168	1.0
12181	1.0
7890	0.833
682	1.0
8525	1.0
7219	0.667
9614	0.333
8560	1.0
7767	0.667
864	0.0
6335	0.5
14672	0.5
7674	0.333
7641	0.333
11752	1.0
11815	1.0
13014	0.333
6334	0.5
28994	0.5
12814	0.5
7849	1.0
349	0.75
6967	0.333
7712	1.0
7636	1.0
7521	0.667
29080	0.5
7737	0.0
1108	0.333
13619	1.0
