Compound Id	AutocorrelationMass [ATSm1]
13837650	19.426
29015	7.549
258	5.774
7714	12.713
7882	11.774
7837	8.774
7812	7.774
932	9.774
6040	6.774
1004	4.774
10445	8.0
6320	5.774
6312	5.774
6146	5.774
21011	6.774
3644	4.774
29000	6.774
175	4.774
6102	3.360
236	6.0
7224	8.360
7673	50.258
6321	5.774
29012	9.549
5730	35.851
7676	14.713
5977	27.138
7787	6.0
7679	7.774
14840	10.0
8569	9.774
121365	12.134
6104	18.426
3168	5.774
12181	9.134
7890	12.0
682	3.774
8525	7.549
7219	8.0
9614	8.502
8560	7.0
7767	6.0
864	2.774
6335	6.549
14672	6.774
7674	7.0
7641	8.0
11752	7.134
11815	6.134
13014	9.134
6334	6.134
28994	5.134
12814	8.134
7849	9.0
349	8.0
6967	8.0
7712	5.0
7636	9.323
7521	8.0
29080	14.677
7737	5.774
1108	7.0
13619	11.0
