Compound Id	e
13837650	0.294
29015	0.347
258	0.401
7714	0.273
7882	0.616
7837	0.398
7812	0.492
932	0.489
6040	0.536
1004	0.405
10445	0.511
6320	0.253
6312	0.354
6146	0.171
21011	0.455
3644	0.343
29000	0.36
175	0.312
6102	0.077
236	0.464
7224	0.285
7673	0.436
6321	0.256
29012	0.356
5730	0.523
7676	0.381
5977	0.105
7787	0.784
7679	0.225
14840	0.722
8569	0.394
121365	0.302
6104	0.102
3168	0.358
12181	0.034
7890	0.668
682	0.471
8525	0.369
7219	0.467
9614	0.152
8560	0.643
7767	0.56
864	0.334
6335	0.223
14672	0.307
7674	0.782
7641	0.377
11752	0.128
11815	0.034
13014	0.332
6334	0.205
28994	0.407
12814	0.532
7849	0.619
349	0.738
6967	0.518
7712	0.386
7636	0.168
7521	0.477
29080	0.147
7737	0.363
1108	0.431
13619	0.603
