solvent,SMILES,e,csid
"1,2-dichloroethane",ClCCCl,0.294,13837650
"1,4-dioxane",O1CCOCC1,0.347,29015
1-butanol,CCCCO,0.401,258
1-chlorobutane,ClCCCC,0.273,7714
1-decanol,OCCCCCCCCCC,0.616,7882
1-heptanol,OCCCCCCC,0.398,7837
1-hexanol,OCCCCCC,0.492,7812
1-octanol,OCCCCCCCC,0.489,932
1-pentanol,OCCCCC,0.536,6040
1-propanol,CCCO,0.405,1004
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,0.511,10445
2-butanol,OC(C)CC,0.253,6320
2-methyl-1-propanol,OCC(C)C,0.354,6312
2-methyl-2-propanol,OC(C)(C)C,0.171,6146
2-pentanol,OC(C)CCC,0.455,21011
2-propanol,CC(O)C,0.343,3644
3-methyl-1-butanol,OCCC(C)C,0.36,29000
acetone,CC(=O)C,0.312,175
acetonitrile,CC#N,0.077,6102
benzene,c1ccccc1,0.464,236
benzonitrile,c1ccc(cc1)C#N,0.285,7224
bromobenzene,Brc1ccccc1,0.436,7673
butanone,O=C(C)CC,0.256,6321
butyl acetate,O=C(OCCCC)C,0.356,29012
carbon tetrachloride,ClC(Cl)(Cl)Cl,0.523,5730
chlorobenzene,Clc1ccccc1,0.381,7676
chloroform,C(Cl)(Cl)Cl,0.105,5977
cyclohexane,C1CCCCC1,0.784,7787
cyclohexanone,O=C1CCCCC1,0.225,7679
decane,C(CCCCCCCC)C,0.722,14840
dibutyl ether,O(CCCC)CCCC,0.394,8569
dibutylformamide,O=C(NCCCC)CCCC,0.302,121365
dichloromethane,C(Cl)Cl,0.102,6104
diethyl ether,CCOCC,0.358,3168
diethylacetamide,O=C(N(CC)CC)C,0.034,12181
dodecane,C(CCCCCCCC)CCC,0.668,7890
ethanol,CCO,0.471,682
ethyl acetate,O=C(OCC)C,0.369,8525
ethylbenzene,CCc1ccccc1,0.467,7219
fluorobenzene,Fc1ccccc1,0.152,9614
heptane,CCCCCCC,0.643,8560
hexane,CCCCCC,0.56,7767
methanol,CO,0.334,864
methyl acetate,O=C(OC)C,0.223,6335
methyl tert-butyl ether,O(C(C)(C)C)C,0.307,14672
methylcyclohexane,CC1CCCCC1,0.782,7674
m-xylene,Cc1cccc(c1)C,0.377,7641
N-ethylacetamide,O=C(NCC)C,0.128,11752
N-ethylformamide,O=CNCC,0.034,11815
N-methyl-2-piperidone,O=C1N(C)CCCC1,0.332,13014
N-methylacetamide,O=C(NC)C,0.205,6334
N-methylformamide,O=CNC,0.407,28994
N-methylpyrrolidinone,O=C1N(C)CCC1,0.532,12814
nonane,CCCCCCCCC,0.619,7849
octane,CCCCCCCC,0.738,349
o-xylene,Cc1ccccc1C,0.518,6967
pentane,CCCCC,0.386,7712
propylene carbonate,CC1COC(=O)O1,0.168,7636
p-xylene,Cc1ccc(cc1)C,0.477,7521
sulfolane,C1CCS(=O)(=O)C1,0.147,29080
THF,C1CCOC1,0.363,7737
toluene,c1ccccc1C,0.431,1108
undecane,C(CCCCCCCC)CC,0.603,13619
