Compound Id	VCC_logS
t2	-5.040
t3	-3.210
t4	-5.030
t8	-5.650
t9	-5.990
t10	-3.420
t11	-5.250
t15	-4.240
t16	-4.470
t17	-4.810
t18	-5.210
t19	-3.290
t20	-3.910
t22	-4.600
t24	-3.170
t27	-2.770
t28	-5.010
t29	-4.820
t30	-5.570
t31	-5.720
t32	-6.940
t33	-5.990
t35	-6.300
t36	-6.270
t37	-6.300
t38	-7.300
t39	-7.760
t41	-7.660
t42	-8.310
t44	-8.690
t46	-4.420
t52	-5.320
t53	-5.850
t54	-5.880
t56	-4.290
t57	-3.840
t58	-1.580
t60	-4.550
t62	-0.560
t63	0.520
t64	0.550
t65	-0.280
t66	-2.900
t69	0.510
t72	0.320
t74	-3.160
t78	-3.850
t79	-3.660
t81	-2.530
t82	-4.750
t84	-3.820
t89	-2.710
t90	-0.940
t91	-0.960
t92	-0.940
t93	-1.360
t94	-1.580
t95	-1.410
t96	-1.560
t98	-1.520
t100	-1.800
t102	-1.780
t103	-1.760
t104	-1.790
t106	-3.370
t107	-3.090
t108	-2.430
t111	-3.880
t113	-4.780
t114	-5.940
t116	-3.350
t117	-0.650
t118	-6.110
t121	-5.970
t122	-3.420
t123	-5.080
t124	-2.330
t125	-1.010
t126	-3.860
t127	-2.950
t128	-3.350
t129	-3.600
t130	-2.160
t131	-2.560
t132	-2.610
t133	-3.730
t134	-5.920
t135	-2.430
t136	-3.340
t137	-3.750
t138	-4.500
t139	-4.820
t140	-5.360
t144	-5.590
t146	-3.230
t147	-1.840
t148	-3.620
t149	-5.660
t150	-5.980
t151	-5.250
t154	-5.980
t155	-5.320
t156	-4.690
t160	-6.230
t161	-6.320
t162	-5.650
t163	-5.600
t164	-5.620
t166	-5.620
t167	-6.320
t168	-6.320
t169	-6.290
t171	-6.900
t172	-6.930
t173	-6.950
t175	-6.960
t176	-6.960
t177	-6.930
t178	-6.910
t179	-6.950
t180	-7.580
t181	-7.620
t182	-7.590
t184	-7.620
t185	-7.680
t188	-7.600
t191	-2.930
t192	-3.040
t193	-3.050
t194	-3.060
t195	-3.580
t196	-2.670
t197	-3.770
t198	-3.770
t200	-4.660
t201	-5.430
t202	-4.690
t203	-5.760
t207	-6.410
t208	-6.410
t209	-7.070
t210	-6.440
t212	-7.090
t213	-7.090
t214	-5.610
t215	-6.770
t216	-6.640
t218	-0.690
t219	-1.230
t221	-2.130
t222	-1.800
t225	-3.630
t226	-0.960
t227	-1.790
t229	-6.110
t230	-3.810
t231	-5.110
t232	-1.730
t233	-2.150
t234	-2.730
t235	-2.980
t236	-3.280
t239	-2.700
t240	-1.530
t244	-3.120
t245	-1.850
t248	-4.730
t249	-6.100
t251	-4.780
t252	-6.560
t253	-4.280
t256	-3.360
t257	-5.000
t259	-5.290
t262	-6.820
t263	-6.450
t266	-6.290
t268	-5.550
t269	-6.120
t271	-6.560
t272	-6.420
t273	-7.480
t274	-7.400
t276	-7.480
t277	0.640
t279	0.750
t281	0.120
t282	-0.790
t284	-1.160
t286	-0.900
t287	-1.530
t288	-1.810
t289	-0.920
t290	-1.310
t291	-0.490
t293	-1.380
t294	-2.830
t295	-4.630
t296	-0.180
t297	-1.460
t298	-1.700
t299	-1.450
t300	-1.400
t301	-2.160
t303	-2.430
t304	-1.970
t306	-1.210
t307	-1.680
t308	-1.840
t312	-3.210
t313	-2.030
t314	-2.420
t315	-2.460
t316	-2.490
t323	-0.050
t324	-1.270
t327	-1.590
t328	-2.260
t330	-2.230
t331	-1.830
t334	-6.020
t335	-2.230
t336	-2.230
t339	-3.230
t340	-4.320
t342	-4.090
t344	-4.770
t345	-2.480
t346	-2.010
t349	-4.920
t350	-3.510
t351	-3.500
t352	-4.260
t354	0.420
t355	0.450
t357	0.510
t358	0.630
t359	-0.850
t360	-0.630
t361	-3.080
t363	-1.640
t364	-1.890
t366	-0.550
t368	-1.640
t369	-2.170
t370	-5.270
t372	-6.040
t373	-0.530
t374	-2.150
t378	-3.250
t380	-2.940
t381	-2.600
t382	-2.710
t383	-4.040
t384	-2.250
t385	-1.840
t386	-4.800
t387	-2.370
t388	-4.560
t389	-1.740
t390	-1.780
t391	-2.030
t392	-3.090
t393	-2.060
t394	-2.370
t398	-1.460
t402	-2.370
t403	-1.540
t404	0.360
t406	0.050
t407	0.100
t408	-1.900
t410	-0.710
t411	-4.210
t412	-5.290
t413	-4.630
t416	-4.220
t422	-2.700
t423	-5.930
t427	-2.040
